S No,Norms,State,Year,Month,Value
2,BHARAT STAGE IV,Haryana(104),2026,JAN,0
3,BHARAT STAGE VI,Haryana(104),2026,JAN,"95,250"
4,BHARAT (TREM) STAGE III,Haryana(104),2026,JAN,0
5,BHARAT (TREM) STAGE III A,Haryana(104),2026,JAN,"5,197"
6,BHARAT (TREM) STAGE III B,Haryana(104),2026,JAN,4
7,CEV STAGE IV,Haryana(104),2026,JAN,1
8,CEV STAGE V,Haryana(104),2026,JAN,265
9,NOT AVAILABLE,Haryana(104),2026,JAN,"2,731"
10,TREM STAGE IV,Haryana(104),2026,JAN,243
11,TREM STAGE V,Haryana(104),2026,JAN,0
1,BHARAT STAGE III (CEV),Haryana(104),2026,FEB,3
2,BHARAT STAGE IV,Haryana(104),2026,FEB,2
3,BHARAT STAGE VI,Haryana(104),2026,FEB,"60,371"
4,BHARAT (TREM) STAGE III,Haryana(104),2026,FEB,1
5,BHARAT (TREM) STAGE III A,Haryana(104),2026,FEB,"3,778"
6,BHARAT (TREM) STAGE III B,Haryana(104),2026,FEB,15
7,CEV STAGE IV,Haryana(104),2026,FEB,3
8,CEV STAGE V,Haryana(104),2026,FEB,252
9,NOT AVAILABLE,Haryana(104),2026,FEB,"1,764"
10,TREM STAGE IV,Haryana(104),2026,FEB,262
11,TREM STAGE V,Haryana(104),2026,FEB,2
1,BHARAT STAGE III (CEV),Jharkhand(25),2026,JAN,0
2,BHARAT STAGE VI,Jharkhand(25),2026,JAN,"53,646"
3,BHARAT (TREM) STAGE III A,Jharkhand(25),2026,JAN,"1,519"
4,CEV STAGE IV,Jharkhand(25),2026,JAN,1
5,CEV STAGE V,Jharkhand(25),2026,JAN,81
6,NOT AVAILABLE,Jharkhand(25),2026,JAN,"2,797"
7,TREM STAGE IV,Jharkhand(25),2026,JAN,9
1,BHARAT STAGE III (CEV),Jharkhand(25),2026,FEB,2
2,BHARAT STAGE VI,Jharkhand(25),2026,FEB,"34,892"
3,BHARAT (TREM) STAGE III A,Jharkhand(25),2026,FEB,"1,244"
4,CEV STAGE IV,Jharkhand(25),2026,FEB,11
5,CEV STAGE V,Jharkhand(25),2026,FEB,59
6,NOT AVAILABLE,Jharkhand(25),2026,FEB,"2,265"
7,TREM STAGE IV,Jharkhand(25),2026,FEB,8
1,BHARAT STAGE III,Jammu and Kashmir(21),2026,JAN,1
2,BHARAT STAGE VI,Jammu and Kashmir(21),2026,JAN,"13,298"
3,BHARAT (TREM) STAGE III,Jammu and Kashmir(21),2026,JAN,3
4,BHARAT (TREM) STAGE III A,Jammu and Kashmir(21),2026,JAN,346
5,CEV STAGE V,Jammu and Kashmir(21),2026,JAN,27
6,NOT AVAILABLE,Jammu and Kashmir(21),2026,JAN,850
7,TREM STAGE IV,Jammu and Kashmir(21),2026,JAN,6
1,BHARAT STAGE III,Jammu and Kashmir(21),2026,FEB,0
2,BHARAT STAGE VI,Jammu and Kashmir(21),2026,FEB,"11,331"
3,BHARAT (TREM) STAGE III,Jammu and Kashmir(21),2026,FEB,1
4,BHARAT (TREM) STAGE III A,Jammu and Kashmir(21),2026,FEB,218
5,CEV STAGE V,Jammu and Kashmir(21),2026,FEB,38
6,NOT AVAILABLE,Jammu and Kashmir(21),2026,FEB,750
7,TREM STAGE IV,Jammu and Kashmir(21),2026,FEB,1
1,BHARAT STAGE I,Karnataka(68),2026,JAN,0
2,BHARAT STAGE III,Karnataka(68),2026,JAN,5
3,BHARAT STAGE III (CEV),Karnataka(68),2026,JAN,1
4,BHARAT STAGE IV,Karnataka(68),2026,JAN,6
5,BHARAT STAGE VI,Karnataka(68),2026,JAN,"1,67,378"
6,BHARAT (TREM) STAGE III,Karnataka(68),2026,JAN,4
7,BHARAT (TREM) STAGE III A,Karnataka(68),2026,JAN,"6,529"
8,CEV STAGE IV,Karnataka(68),2026,JAN,2
9,CEV STAGE V,Karnataka(68),2026,JAN,532
10,EURO 6,Karnataka(68),2026,JAN,1
11,NOT AVAILABLE,Karnataka(68),2026,JAN,"21,062"
12,TREM STAGE IV,Karnataka(68),2026,JAN,108
13,TREM STAGE V,Karnataka(68),2026,JAN,3
1,BHARAT STAGE I,Karnataka(68),2026,FEB,1
2,BHARAT STAGE III,Karnataka(68),2026,FEB,0
3,BHARAT STAGE III (CEV),Karnataka(68),2026,FEB,0
4,BHARAT STAGE IV,Karnataka(68),2026,FEB,2
5,BHARAT STAGE VI,Karnataka(68),2026,FEB,"1,06,517"
6,BHARAT (TREM) STAGE III,Karnataka(68),2026,FEB,1
7,BHARAT (TREM) STAGE III A,Karnataka(68),2026,FEB,"4,612"
8,CEV STAGE IV,Karnataka(68),2026,FEB,2
9,CEV STAGE V,Karnataka(68),2026,FEB,258
10,EURO 6,Karnataka(68),2026,FEB,0
11,NOT AVAILABLE,Karnataka(68),2026,FEB,"12,970"
12,TREM STAGE IV,Karnataka(68),2026,FEB,82
13,TREM STAGE V,Karnataka(68),2026,FEB,4
1,BHARAT STAGE IV,Kerala(87),2026,JAN,3
2,BHARAT STAGE VI,Kerala(87),2026,JAN,"79,698"
3,BHARAT (TREM) STAGE III,Kerala(87),2026,JAN,1
4,BHARAT (TREM) STAGE III A,Kerala(87),2026,JAN,43
5,CEV STAGE IV,Kerala(87),2026,JAN,0
6,CEV STAGE V,Kerala(87),2026,JAN,66
7,NOT AVAILABLE,Kerala(87),2026,JAN,"10,149"
8,TREM STAGE IV,Kerala(87),2026,JAN,6
1,BHARAT STAGE IV,Kerala(87),2026,FEB,0
2,BHARAT STAGE VI,Kerala(87),2026,FEB,"47,247"
3,BHARAT (TREM) STAGE III,Kerala(87),2026,FEB,0
4,BHARAT (TREM) STAGE III A,Kerala(87),2026,FEB,38
5,CEV STAGE IV,Kerala(87),2026,FEB,1
6,CEV STAGE V,Kerala(87),2026,FEB,36
7,NOT AVAILABLE,Kerala(87),2026,FEB,"6,713"
8,TREM STAGE IV,Kerala(87),2026,FEB,2
1,BHARAT STAGE VI,Ladakh(3),2026,JAN,289
2,BHARAT (TREM) STAGE III A,Ladakh(3),2026,JAN,7
3,CEV STAGE V,Ladakh(3),2026,JAN,1
4,NOT AVAILABLE,Ladakh(3),2026,JAN,1
1,BHARAT STAGE VI,Ladakh(3),2026,FEB,101
