S No,Norms,State,Year,Vehicle Category,Value
13,EURO 1,All Vahan4 Running States (35/36),2026,4WIC,0
14,EURO 2,All Vahan4 Running States (35/36),2026,4WIC,0
15,EURO 3,All Vahan4 Running States (35/36),2026,4WIC,0
16,EURO 6,All Vahan4 Running States (35/36),2026,4WIC,0
17,NOT AVAILABLE,All Vahan4 Running States (35/36),2026,4WIC,7
18,TREM STAGE IV,All Vahan4 Running States (35/36),2026,4WIC,0
19,TREM STAGE V,All Vahan4 Running States (35/36),2026,4WIC,0
1,BHARAT STAGE I,All Vahan4 Running States (35/36),2026,HGV,0
2,BHARAT STAGE II,All Vahan4 Running States (35/36),2026,HGV,0
3,BHARAT STAGE III,All Vahan4 Running States (35/36),2026,HGV,23
4,BHARAT STAGE III (CEV),All Vahan4 Running States (35/36),2026,HGV,0
5,BHARAT STAGE III/IV,All Vahan4 Running States (35/36),2026,HGV,0
6,BHARAT STAGE IV,All Vahan4 Running States (35/36),2026,HGV,10
7,BHARAT STAGE VI,All Vahan4 Running States (35/36),2026,HGV,"57,402"
8,BHARAT (TREM) STAGE III,All Vahan4 Running States (35/36),2026,HGV,0
9,BHARAT (TREM) STAGE III A,All Vahan4 Running States (35/36),2026,HGV,0
10,BHARAT (TREM) STAGE III B,All Vahan4 Running States (35/36),2026,HGV,0
11,CEV STAGE IV,All Vahan4 Running States (35/36),2026,HGV,0
12,CEV STAGE V,All Vahan4 Running States (35/36),2026,HGV,1
13,EURO 1,All Vahan4 Running States (35/36),2026,HGV,0
14,EURO 2,All Vahan4 Running States (35/36),2026,HGV,0
15,EURO 3,All Vahan4 Running States (35/36),2026,HGV,0
16,EURO 6,All Vahan4 Running States (35/36),2026,HGV,0
17,NOT AVAILABLE,All Vahan4 Running States (35/36),2026,HGV,508
18,TREM STAGE IV,All Vahan4 Running States (35/36),2026,HGV,0
19,TREM STAGE V,All Vahan4 Running States (35/36),2026,HGV,0
1,BHARAT STAGE I,All Vahan4 Running States (35/36),2026,HMV,0
2,BHARAT STAGE II,All Vahan4 Running States (35/36),2026,HMV,0
3,BHARAT STAGE III,All Vahan4 Running States (35/36),2026,HMV,3
4,BHARAT STAGE III (CEV),All Vahan4 Running States (35/36),2026,HMV,1
5,BHARAT STAGE III/IV,All Vahan4 Running States (35/36),2026,HMV,0
6,BHARAT STAGE IV,All Vahan4 Running States (35/36),2026,HMV,0
7,BHARAT STAGE VI,All Vahan4 Running States (35/36),2026,HMV,229
8,BHARAT (TREM) STAGE III,All Vahan4 Running States (35/36),2026,HMV,0
9,BHARAT (TREM) STAGE III A,All Vahan4 Running States (35/36),2026,HMV,0
10,BHARAT (TREM) STAGE III B,All Vahan4 Running States (35/36),2026,HMV,7
11,CEV STAGE IV,All Vahan4 Running States (35/36),2026,HMV,1
12,CEV STAGE V,All Vahan4 Running States (35/36),2026,HMV,241
13,EURO 1,All Vahan4 Running States (35/36),2026,HMV,0
14,EURO 2,All Vahan4 Running States (35/36),2026,HMV,0
15,EURO 3,All Vahan4 Running States (35/36),2026,HMV,0
16,EURO 6,All Vahan4 Running States (35/36),2026,HMV,5
17,NOT AVAILABLE,All Vahan4 Running States (35/36),2026,HMV,5
18,TREM STAGE IV,All Vahan4 Running States (35/36),2026,HMV,0
19,TREM STAGE V,All Vahan4 Running States (35/36),2026,HMV,0
1,BHARAT STAGE I,All Vahan4 Running States (35/36),2026,HPV,0
2,BHARAT STAGE II,All Vahan4 Running States (35/36),2026,HPV,0
3,BHARAT STAGE III,All Vahan4 Running States (35/36),2026,HPV,0
4,BHARAT STAGE III (CEV),All Vahan4 Running States (35/36),2026,HPV,0
5,BHARAT STAGE III/IV,All Vahan4 Running States (35/36),2026,HPV,0
6,BHARAT STAGE IV,All Vahan4 Running States (35/36),2026,HPV,1
7,BHARAT STAGE VI,All Vahan4 Running States (35/36),2026,HPV,"3,721"
8,BHARAT (TREM) STAGE III,All Vahan4 Running States (35/36),2026,HPV,0
9,BHARAT (TREM) STAGE III A,All Vahan4 Running States (35/36),2026,HPV,0
10,BHARAT (TREM) STAGE III B,All Vahan4 Running States (35/36),2026,HPV,0
11,CEV STAGE IV,All Vahan4 Running States (35/36),2026,HPV,0
12,CEV STAGE V,All Vahan4 Running States (35/36),2026,HPV,0
13,EURO 1,All Vahan4 Running States (35/36),2026,HPV,0
14,EURO 2,All Vahan4 Running States (35/36),2026,HPV,0
15,EURO 3,All Vahan4 Running States (35/36),2026,HPV,0
16,EURO 6,All Vahan4 Running States (35/36),2026,HPV,0
17,NOT AVAILABLE,All Vahan4 Running States (35/36),2026,HPV,829
18,TREM STAGE IV,All Vahan4 Running States (35/36),2026,HPV,0
19,TREM STAGE V,All Vahan4 Running States (35/36),2026,HPV,0
1,BHARAT STAGE I,All Vahan4 Running States (35/36),2026,LGV,0
2,BHARAT STAGE II,All Vahan4 Running States (35/36),2026,LGV,1
3,BHARAT STAGE III,All Vahan4 Running States (35/36),2026,LGV,30
4,BHARAT STAGE III (CEV),All Vahan4 Running States (35/36),2026,LGV,0
5,BHARAT STAGE III/IV,All Vahan4 Running States (35/36),2026,LGV,4
6,BHARAT STAGE IV,All Vahan4 Running States (35/36),2026,LGV,15
7,BHARAT STAGE VI,All Vahan4 Running States (35/36),2026,LGV,"99,580"
8,BHARAT (TREM) STAGE III,All Vahan4 Running States (35/36),2026,LGV,4
9,BHARAT (TREM) STAGE III A,All Vahan4 Running States (35/36),2026,LGV,"9,808"
10,BHARAT (TREM) STAGE III B,All Vahan4 Running States (35/36),2026,LGV,0
11,CEV STAGE IV,All Vahan4 Running States (35/36),2026,LGV,0
12,CEV STAGE V,All Vahan4 Running States (35/36),2026,LGV,0
13,EURO 1,All Vahan4 Running States (35/36),2026,LGV,0
14,EURO 2,All Vahan4 Running States (35/36),2026,LGV,0
15,EURO 3,All Vahan4 Running States (35/36),2026,LGV,0
16,EURO 6,All Vahan4 Running States (35/36),2026,LGV,0
17,NOT AVAILABLE,All Vahan4 Running States (35/36),2026,LGV,"6,085"
18,TREM STAGE IV,All Vahan4 Running States (35/36),2026,LGV,210
19,TREM STAGE V,All Vahan4 Running States (35/36),2026,LGV,0
1,BHARAT STAGE I,All Vahan4 Running States (35/36),2026,LMV,3
2,BHARAT STAGE II,All Vahan4 Running States (35/36),2026,LMV,5
3,BHARAT STAGE III,All Vahan4 Running States (35/36),2026,LMV,81
4,BHARAT STAGE III (CEV),All Vahan4 Running States (35/36),2026,LMV,0
5,BHARAT STAGE III/IV,All Vahan4 Running States (35/36),2026,LMV,4
6,BHARAT STAGE IV,All Vahan4 Running States (35/36),2026,LMV,103
7,BHARAT STAGE VI,All Vahan4 Running States (35/36),2026,LMV,"7,30,691"
8,BHARAT (TREM) STAGE III,All Vahan4 Running States (35/36),2026,LMV,8
9,BHARAT (TREM) STAGE III A,All Vahan4 Running States (35/36),2026,LMV,"1,68,357"
10,BHARAT (TREM) STAGE III B,All Vahan4 Running States (35/36),2026,LMV,1
11,CEV STAGE IV,All Vahan4 Running States (35/36),2026,LMV,2
12,CEV STAGE V,All Vahan4 Running States (35/36),2026,LMV,21
13,EURO 1,All Vahan4 Running States (35/36),2026,LMV,9
14,EURO 2,All Vahan4 Running States (35/36),2026,LMV,3
15,EURO 3,All Vahan4 Running States (35/36),2026,LMV,11
16,EURO 6,All Vahan4 Running States (35/36),2026,LMV,4
17,NOT AVAILABLE,All Vahan4 Running States (35/36),2026,LMV,"36,853"
18,TREM STAGE IV,All Vahan4 Running States (35/36),2026,LMV,"3,238"
19,TREM STAGE V,All Vahan4 Running States (35/36),2026,LMV,6
1,BHARAT STAGE I,All Vahan4 Running States (35/36),2026,LPV,0
2,BHARAT STAGE II,All Vahan4 Running States (35/36),2026,LPV,0
3,BHARAT STAGE III,All Vahan4 Running States (35/36),2026,LPV,0
4,BHARAT STAGE III (CEV),All Vahan4 Running States (35/36),2026,LPV,0
5,BHARAT STAGE III/IV,All Vahan4 Running States (35/36),2026,LPV,0
6,BHARAT STAGE IV,All Vahan4 Running States (35/36),2026,LPV,11
7,BHARAT STAGE VI,All Vahan4 Running States (35/36),2026,LPV,"63,675"
8,BHARAT (TREM) STAGE III,All Vahan4 Running States (35/36),2026,LPV,0
9,BHARAT (TREM) STAGE III A,All Vahan4 Running States (35/36),2026,LPV,0
10,BHARAT (TREM) STAGE III B,All Vahan4 Running States (35/36),2026,LPV,0
11,CEV STAGE IV,All Vahan4 Running States (35/36),2026,LPV,0
12,CEV STAGE V,All Vahan4 Running States (35/36),2026,LPV,0
13,EURO 1,All Vahan4 Running States (35/36),2026,LPV,0
14,EURO 2,All Vahan4 Running States (35/36),2026,LPV,0
15,EURO 3,All Vahan4 Running States (35/36),2026,LPV,0
16,EURO 6,All Vahan4 Running States (35/36),2026,LPV,0
17,NOT AVAILABLE,All Vahan4 Running States (35/36),2026,LPV,887
18,TREM STAGE IV,All Vahan4 Running States (35/36),2026,LPV,0
19,TREM STAGE V,All Vahan4 Running States (35/36),2026,LPV,0
1,BHARAT STAGE I,All Vahan4 Running States (35/36),2026,MGV,0
2,BHARAT STAGE II,All Vahan4 Running States (35/36),2026,MGV,0
3,BHARAT STAGE III,All Vahan4 Running States (35/36),2026,MGV,6
4,BHARAT STAGE III (CEV),All Vahan4 Running States (35/36),2026,MGV,0
5,BHARAT STAGE III/IV,All Vahan4 Running States (35/36),2026,MGV,0
6,BHARAT STAGE IV,All Vahan4 Running States (35/36),2026,MGV,1
7,BHARAT STAGE VI,All Vahan4 Running States (35/36),2026,MGV,"10,411"
8,BHARAT (TREM) STAGE III,All Vahan4 Running States (35/36),2026,MGV,0
9,BHARAT (TREM) STAGE III A,All Vahan4 Running States (35/36),2026,MGV,6
10,BHARAT (TREM) STAGE III B,All Vahan4 Running States (35/36),2026,MGV,0
11,CEV STAGE IV,All Vahan4 Running States (35/36),2026,MGV,0
12,CEV STAGE V,All Vahan4 Running States (35/36),2026,MGV,14
13,EURO 1,All Vahan4 Running States (35/36),2026,MGV,0
14,EURO 2,All Vahan4 Running States (35/36),2026,MGV,0
15,EURO 3,All Vahan4 Running States (35/36),2026,MGV,0
16,EURO 6,All Vahan4 Running States (35/36),2026,MGV,0
17,NOT AVAILABLE,All Vahan4 Running States (35/36),2026,MGV,29
18,TREM STAGE IV,All Vahan4 Running States (35/36),2026,MGV,0
19,TREM STAGE V,All Vahan4 Running States (35/36),2026,MGV,0
1,BHARAT STAGE I,All Vahan4 Running States (35/36),2026,MMV,0
2,BHARAT STAGE II,All Vahan4 Running States (35/36),2026,MMV,1
3,BHARAT STAGE III,All Vahan4 Running States (35/36),2026,MMV,0
4,BHARAT STAGE III (CEV),All Vahan4 Running States (35/36),2026,MMV,7
5,BHARAT STAGE III/IV,All Vahan4 Running States (35/36),2026,MMV,0
6,BHARAT STAGE IV,All Vahan4 Running States (35/36),2026,MMV,0
7,BHARAT STAGE VI,All Vahan4 Running States (35/36),2026,MMV,33
8,BHARAT (TREM) STAGE III,All Vahan4 Running States (35/36),2026,MMV,1
9,BHARAT (TREM) STAGE III A,All Vahan4 Running States (35/36),2026,MMV,140
