state_code,state_name,vehicle_group,maker,year,count
-1,All India,FOUR WHEELER,AARTI AGRO INDUSTRIES,LMV,0
-1,All India,FOUR WHEELER,AARTI AGRO INDUSTRIES,MMV,0
-1,All India,FOUR WHEELER,AARTI AGRO INDUSTRIES,HMV,0
-1,All India,FOUR WHEELER,AARTI AGRO INDUSTRIES,,1
-1,All India,FOUR WHEELER,AARYA AUTOMOBILES,4WIC,3
-1,All India,FOUR WHEELER,AARYA AUTOMOBILES,LMV,1
-1,All India,FOUR WHEELER,AARYA AUTOMOBILES,MMV,0
-1,All India,FOUR WHEELER,AARYA AUTOMOBILES,HMV,3
-1,All India,FOUR WHEELER,AARYA AUTOMOBILES,,1
-1,All India,FOUR WHEELER,AASHI INDIA AUTOMOBILES PVT LTD,4WIC,1
-1,All India,FOUR WHEELER,AASHI INDIA AUTOMOBILES PVT LTD,LMV,15
-1,All India,FOUR WHEELER,AASHI INDIA AUTOMOBILES PVT LTD,MMV,29
-1,All India,FOUR WHEELER,AASHI INDIA AUTOMOBILES PVT LTD,HMV,45
-1,All India,FOUR WHEELER,AASHI INDIA AUTOMOBILES PVT LTD,,14
-1,All India,FOUR WHEELER,A. A. TRAILOR,4WIC,0
-1,All India,FOUR WHEELER,A. A. TRAILOR,LMV,1
-1,All India,FOUR WHEELER,A. A. TRAILOR,MMV,0
-1,All India,FOUR WHEELER,A. A. TRAILOR,HMV,0
-1,All India,FOUR WHEELER,A. A. TRAILOR,,0
-1,All India,FOUR WHEELER,A.B. AGRO ENGINEERING WORKS,4WIC,0
-1,All India,FOUR WHEELER,A.B. AGRO ENGINEERING WORKS,LMV,1
-1,All India,FOUR WHEELER,A.B. AGRO ENGINEERING WORKS,MMV,0
-1,All India,FOUR WHEELER,A.B. AGRO ENGINEERING WORKS,HMV,2
-1,All India,FOUR WHEELER,A.B. AGRO ENGINEERING WORKS,,1
-1,All India,FOUR WHEELER,A B EXCAVATORS & EARTHMOVER LTD,4WIC,1
-1,All India,FOUR WHEELER,A B EXCAVATORS & EARTHMOVER LTD,LMV,10
-1,All India,FOUR WHEELER,A B EXCAVATORS & EARTHMOVER LTD,MMV,9
-1,All India,FOUR WHEELER,A B EXCAVATORS & EARTHMOVER LTD,HMV,12
-1,All India,FOUR WHEELER,A B EXCAVATORS & EARTHMOVER LTD,,5
-1,All India,FOUR WHEELER,A B EXCAVATORS & EARTHMOVERS PVT LTD,4WIC,0
-1,All India,FOUR WHEELER,A B EXCAVATORS & EARTHMOVERS PVT LTD,LMV,1
-1,All India,FOUR WHEELER,A B EXCAVATORS & EARTHMOVERS PVT LTD,MMV,5
-1,All India,FOUR WHEELER,A B EXCAVATORS & EARTHMOVERS PVT LTD,HMV,7
-1,All India,FOUR WHEELER,A B EXCAVATORS & EARTHMOVERS PVT LTD,,2
-1,All India,FOUR WHEELER,ABHARAN MOTORS PRIVATE LTD,4WIC,0
-1,All India,FOUR WHEELER,ABHARAN MOTORS PRIVATE LTD,LMV,0
-1,All India,FOUR WHEELER,ABHARAN MOTORS PRIVATE LTD,MMV,0
-1,All India,FOUR WHEELER,ABHARAN MOTORS PRIVATE LTD,HMV,1
-1,All India,FOUR WHEELER,ABHARAN MOTORS PRIVATE LTD,,4
-1,All India,FOUR WHEELER,ABHAVIS TECHNOLOGY (I) PVT LTD,4WIC,0
-1,All India,FOUR WHEELER,ABHAVIS TECHNOLOGY (I) PVT LTD,LMV,0
-1,All India,FOUR WHEELER,ABHAVIS TECHNOLOGY (I) PVT LTD,MMV,0
-1,All India,FOUR WHEELER,ABHAVIS TECHNOLOGY (I) PVT LTD,HMV,4
-1,All India,FOUR WHEELER,ABHAVIS TECHNOLOGY (I) PVT LTD,,1
-1,All India,FOUR WHEELER,ABHAY AGRO INDUSTRIES,4WIC,0
-1,All India,FOUR WHEELER,ABHAY AGRO INDUSTRIES,LMV,0
-1,All India,FOUR WHEELER,ABHAY AGRO INDUSTRIES,MMV,0
-1,All India,FOUR WHEELER,ABHAY AGRO INDUSTRIES,HMV,0
-1,All India,FOUR WHEELER,ABHAY AGRO INDUSTRIES,,20
-1,All India,FOUR WHEELER,ABHISHEK  ENGINEERING WORKS,4WIC,0
-1,All India,FOUR WHEELER,ABHISHEK  ENGINEERING WORKS,LMV,0
-1,All India,FOUR WHEELER,ABHISHEK  ENGINEERING WORKS,MMV,0
-1,All India,FOUR WHEELER,ABHISHEK  ENGINEERING WORKS,HMV,31
-1,All India,FOUR WHEELER,ABHISHEK  ENGINEERING WORKS,,52
-1,All India,FOUR WHEELER,3EV INDUSTRIES PVT LTD,4WIC,142
-1,All India,FOUR WHEELER,3EV INDUSTRIES PVT LTD,LMV,0
-1,All India,FOUR WHEELER,3EV INDUSTRIES PVT LTD,MMV,1
-1,All India,FOUR WHEELER,3EV INDUSTRIES PVT LTD,HMV,1
-1,All India,FOUR WHEELER,3EV INDUSTRIES PVT LTD,,12
-1,All India,FOUR WHEELER,3GB TECHNOLOGY PVT LTD,4WIC,7
-1,All India,FOUR WHEELER,3GB TECHNOLOGY PVT LTD,LMV,5
-1,All India,FOUR WHEELER,3GB TECHNOLOGY PVT LTD,MMV,41
-1,All India,FOUR WHEELER,3GB TECHNOLOGY PVT LTD,HMV,50
-1,All India,FOUR WHEELER,3GB TECHNOLOGY PVT LTD,,24
-1,All India,FOUR WHEELER,3S INDUSTRIES PRIVATE LIMITED,4WIC,67
-1,All India,FOUR WHEELER,3S INDUSTRIES PRIVATE LIMITED,LMV,142
-1,All India,FOUR WHEELER,3S INDUSTRIES PRIVATE LIMITED,MMV,103
-1,All India,FOUR WHEELER,3S INDUSTRIES PRIVATE LIMITED,HMV,6
-1,All India,FOUR WHEELER,3S INDUSTRIES PRIVATE LIMITED,,9
-1,All India,FOUR WHEELER,786 ENGINEERING WORKS AP105382023,4WIC,0
-1,All India,FOUR WHEELER,786 ENGINEERING WORKS AP105382023,LMV,0
-1,All India,FOUR WHEELER,786 ENGINEERING WORKS AP105382023,MMV,0
-1,All India,FOUR WHEELER,786 ENGINEERING WORKS AP105382023,HMV,1
-1,All India,FOUR WHEELER,786 ENGINEERING WORKS AP105382023,,1
-1,All India,FOUR WHEELER,A1 HEAVY EQUIPMENTS DEVELOPER,4WIC,7
-1,All India,FOUR WHEELER,A1 HEAVY EQUIPMENTS DEVELOPER,LMV,37
-1,All India,FOUR WHEELER,A1 HEAVY EQUIPMENTS DEVELOPER,MMV,121
-1,All India,FOUR WHEELER,A1 HEAVY EQUIPMENTS DEVELOPER,HMV,35
-1,All India,FOUR WHEELER,A1 HEAVY EQUIPMENTS DEVELOPER,,18
-1,All India,FOUR WHEELER,A-1 SUREJA INDUSTRIES,4WIC,0
-1,All India,FOUR WHEELER,A-1 SUREJA INDUSTRIES,LMV,0
-1,All India,FOUR WHEELER,A-1 SUREJA INDUSTRIES,MMV,0
-1,All India,FOUR WHEELER,A-1 SUREJA INDUSTRIES,HMV,0
-1,All India,FOUR WHEELER,A-1 SUREJA INDUSTRIES,,1
-1,All India,FOUR WHEELER,A3T INCORPORTED,4WIC,18
-1,All India,FOUR WHEELER,A3T INCORPORTED,LMV,11
-1,All India,FOUR WHEELER,A3T INCORPORTED,MMV,170
-1,All India,FOUR WHEELER,A3T INCORPORTED,HMV,275
