S No,Vehicle Class,State,Year,Month Wise,Value
13,M-CYCLE/SCOOTER,Andaman & Nicobar Island(3),2025,MAY,495
14,M-CYCLE/SCOOTER-WITH SIDE CAR,Andaman & Nicobar Island(3),2025,MAY,1
15,MOBILE CLINIC,Andaman & Nicobar Island(3),2025,MAY,3
16,MOPED,Andaman & Nicobar Island(3),2025,MAY,2
17,MOTOR CAB,Andaman & Nicobar Island(3),2025,MAY,21
18,MOTOR CAR,Andaman & Nicobar Island(3),2025,MAY,213
19,MOTOR CYCLE/SCOOTER-USED FOR HIRE,Andaman & Nicobar Island(3),2025,MAY,15
20,MOTORISED CYCLE (CC > 25CC),Andaman & Nicobar Island(3),2025,MAY,0
21,OMNI BUS,Andaman & Nicobar Island(3),2025,MAY,0
22,THREE WHEELER (GOODS),Andaman & Nicobar Island(3),2025,MAY,3
23,THREE WHEELER (PASSENGER),Andaman & Nicobar Island(3),2025,MAY,8
24,TRACTOR (COMMERCIAL),Andaman & Nicobar Island(3),2025,MAY,0
25,VEHICLE FITTED WITH COMPRESSOR,Andaman & Nicobar Island(3),2025,MAY,0
1,ADAPTED VEHICLE,Andaman & Nicobar Island(3),2025,JUN,0
2,AGRICULTURAL TRACTOR,Andaman & Nicobar Island(3),2025,JUN,1
3,AMBULANCE,Andaman & Nicobar Island(3),2025,JUN,0
4,BUS,Andaman & Nicobar Island(3),2025,JUN,0
5,CONSTRUCTION EQUIPMENT VEHICLE,Andaman & Nicobar Island(3),2025,JUN,0
6,CRANE MOUNTED VEHICLE,Andaman & Nicobar Island(3),2025,JUN,0
7,FIRE FIGHTING VEHICLE,Andaman & Nicobar Island(3),2025,JUN,0
8,FIRE TENDERS,Andaman & Nicobar Island(3),2025,JUN,0
9,GOODS CARRIER,Andaman & Nicobar Island(3),2025,JUN,20
10,HEARSES,Andaman & Nicobar Island(3),2025,JUN,0
11,LUXURY CAB,Andaman & Nicobar Island(3),2025,JUN,0
12,MAXI CAB,Andaman & Nicobar Island(3),2025,JUN,2
13,M-CYCLE/SCOOTER,Andaman & Nicobar Island(3),2025,JUN,493
14,M-CYCLE/SCOOTER-WITH SIDE CAR,Andaman & Nicobar Island(3),2025,JUN,0
15,MOBILE CLINIC,Andaman & Nicobar Island(3),2025,JUN,0
16,MOPED,Andaman & Nicobar Island(3),2025,JUN,4
17,MOTOR CAB,Andaman & Nicobar Island(3),2025,JUN,21
18,MOTOR CAR,Andaman & Nicobar Island(3),2025,JUN,219
19,MOTOR CYCLE/SCOOTER-USED FOR HIRE,Andaman & Nicobar Island(3),2025,JUN,5
20,MOTORISED CYCLE (CC > 25CC),Andaman & Nicobar Island(3),2025,JUN,1
21,OMNI BUS,Andaman & Nicobar Island(3),2025,JUN,4
22,THREE WHEELER (GOODS),Andaman & Nicobar Island(3),2025,JUN,0
23,THREE WHEELER (PASSENGER),Andaman & Nicobar Island(3),2025,JUN,4
24,TRACTOR (COMMERCIAL),Andaman & Nicobar Island(3),2025,JUN,0
25,VEHICLE FITTED WITH COMPRESSOR,Andaman & Nicobar Island(3),2025,JUN,0
1,ADAPTED VEHICLE,Andaman & Nicobar Island(3),2025,JUL,0
2,AGRICULTURAL TRACTOR,Andaman & Nicobar Island(3),2025,JUL,0
3,AMBULANCE,Andaman & Nicobar Island(3),2025,JUL,0
4,BUS,Andaman & Nicobar Island(3),2025,JUL,0
5,CONSTRUCTION EQUIPMENT VEHICLE,Andaman & Nicobar Island(3),2025,JUL,0
6,CRANE MOUNTED VEHICLE,Andaman & Nicobar Island(3),2025,JUL,0
7,FIRE FIGHTING VEHICLE,Andaman & Nicobar Island(3),2025,JUL,0
8,FIRE TENDERS,Andaman & Nicobar Island(3),2025,JUL,0
9,GOODS CARRIER,Andaman & Nicobar Island(3),2025,JUL,42
