S No,Norms,State,Year,Fuel,Value
7,BHARAT STAGE VI,All Vahan4 Running States (35/36),2025,DI-METHYL ETHER,0
8,BHARAT (TREM) STAGE III,All Vahan4 Running States (35/36),2025,DI-METHYL ETHER,0
9,BHARAT (TREM) STAGE III A,All Vahan4 Running States (35/36),2025,DI-METHYL ETHER,0
10,BHARAT (TREM) STAGE III B,All Vahan4 Running States (35/36),2025,DI-METHYL ETHER,0
11,CEV STAGE IV,All Vahan4 Running States (35/36),2025,DI-METHYL ETHER,0
12,CEV STAGE V,All Vahan4 Running States (35/36),2025,DI-METHYL ETHER,0
13,EURO 1,All Vahan4 Running States (35/36),2025,DI-METHYL ETHER,0
14,EURO 2,All Vahan4 Running States (35/36),2025,DI-METHYL ETHER,0
15,EURO 3,All Vahan4 Running States (35/36),2025,DI-METHYL ETHER,0
16,EURO 4,All Vahan4 Running States (35/36),2025,DI-METHYL ETHER,0
17,EURO 6,All Vahan4 Running States (35/36),2025,DI-METHYL ETHER,0
18,EURO 6B,All Vahan4 Running States (35/36),2025,DI-METHYL ETHER,0
19,EURO 6D,All Vahan4 Running States (35/36),2025,DI-METHYL ETHER,0
20,NOT APPLICABLE,All Vahan4 Running States (35/36),2025,DI-METHYL ETHER,0
21,NOT AVAILABLE,All Vahan4 Running States (35/36),2025,DI-METHYL ETHER,0
22,TREM STAGE IV,All Vahan4 Running States (35/36),2025,DI-METHYL ETHER,0
23,TREM STAGE V,All Vahan4 Running States (35/36),2025,DI-METHYL ETHER,0
1,BHARAT STAGE I,All Vahan4 Running States (35/36),2025,DUAL DIESEL/BIO CNG,0
2,BHARAT STAGE II,All Vahan4 Running States (35/36),2025,DUAL DIESEL/BIO CNG,0
3,BHARAT STAGE III,All Vahan4 Running States (35/36),2025,DUAL DIESEL/BIO CNG,0
4,BHARAT STAGE III (CEV),All Vahan4 Running States (35/36),2025,DUAL DIESEL/BIO CNG,0
5,BHARAT STAGE III/IV,All Vahan4 Running States (35/36),2025,DUAL DIESEL/BIO CNG,0
6,BHARAT STAGE IV,All Vahan4 Running States (35/36),2025,DUAL DIESEL/BIO CNG,0
7,BHARAT STAGE VI,All Vahan4 Running States (35/36),2025,DUAL DIESEL/BIO CNG,0
8,BHARAT (TREM) STAGE III,All Vahan4 Running States (35/36),2025,DUAL DIESEL/BIO CNG,0
9,BHARAT (TREM) STAGE III A,All Vahan4 Running States (35/36),2025,DUAL DIESEL/BIO CNG,0
10,BHARAT (TREM) STAGE III B,All Vahan4 Running States (35/36),2025,DUAL DIESEL/BIO CNG,0
11,CEV STAGE IV,All Vahan4 Running States (35/36),2025,DUAL DIESEL/BIO CNG,0
12,CEV STAGE V,All Vahan4 Running States (35/36),2025,DUAL DIESEL/BIO CNG,0
13,EURO 1,All Vahan4 Running States (35/36),2025,DUAL DIESEL/BIO CNG,0
14,EURO 2,All Vahan4 Running States (35/36),2025,DUAL DIESEL/BIO CNG,0
15,EURO 3,All Vahan4 Running States (35/36),2025,DUAL DIESEL/BIO CNG,0
16,EURO 4,All Vahan4 Running States (35/36),2025,DUAL DIESEL/BIO CNG,0
17,EURO 6,All Vahan4 Running States (35/36),2025,DUAL DIESEL/BIO CNG,0
18,EURO 6B,All Vahan4 Running States (35/36),2025,DUAL DIESEL/BIO CNG,0
19,EURO 6D,All Vahan4 Running States (35/36),2025,DUAL DIESEL/BIO CNG,0
20,NOT APPLICABLE,All Vahan4 Running States (35/36),2025,DUAL DIESEL/BIO CNG,0
21,NOT AVAILABLE,All Vahan4 Running States (35/36),2025,DUAL DIESEL/BIO CNG,0
22,TREM STAGE IV,All Vahan4 Running States (35/36),2025,DUAL DIESEL/BIO CNG,0
23,TREM STAGE V,All Vahan4 Running States (35/36),2025,DUAL DIESEL/BIO CNG,0
1,BHARAT STAGE I,All Vahan4 Running States (35/36),2025,DUAL DIESEL/CNG,0
2,BHARAT STAGE II,All Vahan4 Running States (35/36),2025,DUAL DIESEL/CNG,0
3,BHARAT STAGE III,All Vahan4 Running States (35/36),2025,DUAL DIESEL/CNG,0
4,BHARAT STAGE III (CEV),All Vahan4 Running States (35/36),2025,DUAL DIESEL/CNG,0
5,BHARAT STAGE III/IV,All Vahan4 Running States (35/36),2025,DUAL DIESEL/CNG,0
6,BHARAT STAGE IV,All Vahan4 Running States (35/36),2025,DUAL DIESEL/CNG,0
7,BHARAT STAGE VI,All Vahan4 Running States (35/36),2025,DUAL DIESEL/CNG,1
8,BHARAT (TREM) STAGE III,All Vahan4 Running States (35/36),2025,DUAL DIESEL/CNG,0
9,BHARAT (TREM) STAGE III A,All Vahan4 Running States (35/36),2025,DUAL DIESEL/CNG,0
10,BHARAT (TREM) STAGE III B,All Vahan4 Running States (35/36),2025,DUAL DIESEL/CNG,0
11,CEV STAGE IV,All Vahan4 Running States (35/36),2025,DUAL DIESEL/CNG,0
12,CEV STAGE V,All Vahan4 Running States (35/36),2025,DUAL DIESEL/CNG,0
13,EURO 1,All Vahan4 Running States (35/36),2025,DUAL DIESEL/CNG,0
14,EURO 2,All Vahan4 Running States (35/36),2025,DUAL DIESEL/CNG,0
15,EURO 3,All Vahan4 Running States (35/36),2025,DUAL DIESEL/CNG,0
16,EURO 4,All Vahan4 Running States (35/36),2025,DUAL DIESEL/CNG,0
17,EURO 6,All Vahan4 Running States (35/36),2025,DUAL DIESEL/CNG,0
18,EURO 6B,All Vahan4 Running States (35/36),2025,DUAL DIESEL/CNG,0
19,EURO 6D,All Vahan4 Running States (35/36),2025,DUAL DIESEL/CNG,0
20,NOT APPLICABLE,All Vahan4 Running States (35/36),2025,DUAL DIESEL/CNG,0
21,NOT AVAILABLE,All Vahan4 Running States (35/36),2025,DUAL DIESEL/CNG,0
22,TREM STAGE IV,All Vahan4 Running States (35/36),2025,DUAL DIESEL/CNG,0
23,TREM STAGE V,All Vahan4 Running States (35/36),2025,DUAL DIESEL/CNG,0
1,BHARAT STAGE I,All Vahan4 Running States (35/36),2025,DUAL DIESEL/LNG,0
2,BHARAT STAGE II,All Vahan4 Running States (35/36),2025,DUAL DIESEL/LNG,0
3,BHARAT STAGE III,All Vahan4 Running States (35/36),2025,DUAL DIESEL/LNG,0
4,BHARAT STAGE III (CEV),All Vahan4 Running States (35/36),2025,DUAL DIESEL/LNG,0
5,BHARAT STAGE III/IV,All Vahan4 Running States (35/36),2025,DUAL DIESEL/LNG,0
6,BHARAT STAGE IV,All Vahan4 Running States (35/36),2025,DUAL DIESEL/LNG,0
7,BHARAT STAGE VI,All Vahan4 Running States (35/36),2025,DUAL DIESEL/LNG,39
8,BHARAT (TREM) STAGE III,All Vahan4 Running States (35/36),2025,DUAL DIESEL/LNG,0
9,BHARAT (TREM) STAGE III A,All Vahan4 Running States (35/36),2025,DUAL DIESEL/LNG,0
10,BHARAT (TREM) STAGE III B,All Vahan4 Running States (35/36),2025,DUAL DIESEL/LNG,0
11,CEV STAGE IV,All Vahan4 Running States (35/36),2025,DUAL DIESEL/LNG,0
12,CEV STAGE V,All Vahan4 Running States (35/36),2025,DUAL DIESEL/LNG,0
