S No,Norms,State,Year,Fuel,Value
4,CEV STAGE IV,Andaman & Nicobar Island(3),2025,PETROL(E20)/HYBRID,0
5,CEV STAGE V,Andaman & Nicobar Island(3),2025,PETROL(E20)/HYBRID,0
6,NOT AVAILABLE,Andaman & Nicobar Island(3),2025,PETROL(E20)/HYBRID,0
7,TREM STAGE IV,Andaman & Nicobar Island(3),2025,PETROL(E20)/HYBRID,0
1,BHARAT STAGE III (CEV),Andaman & Nicobar Island(3),2025,PETROL(E20)/HYBRID/CNG,0
2,BHARAT STAGE VI,Andaman & Nicobar Island(3),2025,PETROL(E20)/HYBRID/CNG,0
3,BHARAT (TREM) STAGE III A,Andaman & Nicobar Island(3),2025,PETROL(E20)/HYBRID/CNG,0
4,CEV STAGE IV,Andaman & Nicobar Island(3),2025,PETROL(E20)/HYBRID/CNG,0
5,CEV STAGE V,Andaman & Nicobar Island(3),2025,PETROL(E20)/HYBRID/CNG,0
6,NOT AVAILABLE,Andaman & Nicobar Island(3),2025,PETROL(E20)/HYBRID/CNG,0
7,TREM STAGE IV,Andaman & Nicobar Island(3),2025,PETROL(E20)/HYBRID/CNG,0
1,BHARAT STAGE III (CEV),Andaman & Nicobar Island(3),2025,PETROL(E20)/LPG,0
2,BHARAT STAGE VI,Andaman & Nicobar Island(3),2025,PETROL(E20)/LPG,0
3,BHARAT (TREM) STAGE III A,Andaman & Nicobar Island(3),2025,PETROL(E20)/LPG,0
4,CEV STAGE IV,Andaman & Nicobar Island(3),2025,PETROL(E20)/LPG,0
5,CEV STAGE V,Andaman & Nicobar Island(3),2025,PETROL(E20)/LPG,0
6,NOT AVAILABLE,Andaman & Nicobar Island(3),2025,PETROL(E20)/LPG,0
7,TREM STAGE IV,Andaman & Nicobar Island(3),2025,PETROL(E20)/LPG,0
1,BHARAT STAGE III (CEV),Andaman & Nicobar Island(3),2025,PETROL/ETHANOL,0
2,BHARAT STAGE VI,Andaman & Nicobar Island(3),2025,PETROL/ETHANOL,"3,381"
3,BHARAT (TREM) STAGE III A,Andaman & Nicobar Island(3),2025,PETROL/ETHANOL,0
4,CEV STAGE IV,Andaman & Nicobar Island(3),2025,PETROL/ETHANOL,0
5,CEV STAGE V,Andaman & Nicobar Island(3),2025,PETROL/ETHANOL,0
6,NOT AVAILABLE,Andaman & Nicobar Island(3),2025,PETROL/ETHANOL,0
7,TREM STAGE IV,Andaman & Nicobar Island(3),2025,PETROL/ETHANOL,0
1,BHARAT STAGE III (CEV),Andaman & Nicobar Island(3),2025,PETROL/HYBRID,0
2,BHARAT STAGE VI,Andaman & Nicobar Island(3),2025,PETROL/HYBRID,280
3,BHARAT (TREM) STAGE III A,Andaman & Nicobar Island(3),2025,PETROL/HYBRID,0
4,CEV STAGE IV,Andaman & Nicobar Island(3),2025,PETROL/HYBRID,0
5,CEV STAGE V,Andaman & Nicobar Island(3),2025,PETROL/HYBRID,0
6,NOT AVAILABLE,Andaman & Nicobar Island(3),2025,PETROL/HYBRID,0
7,TREM STAGE IV,Andaman & Nicobar Island(3),2025,PETROL/HYBRID,0
1,BHARAT STAGE III (CEV),Andaman & Nicobar Island(3),2025,PETROL/HYBRID/CNG,0
2,BHARAT STAGE VI,Andaman & Nicobar Island(3),2025,PETROL/HYBRID/CNG,0
3,BHARAT (TREM) STAGE III A,Andaman & Nicobar Island(3),2025,PETROL/HYBRID/CNG,0
4,CEV STAGE IV,Andaman & Nicobar Island(3),2025,PETROL/HYBRID/CNG,0
5,CEV STAGE V,Andaman & Nicobar Island(3),2025,PETROL/HYBRID/CNG,0
6,NOT AVAILABLE,Andaman & Nicobar Island(3),2025,PETROL/HYBRID/CNG,0
7,TREM STAGE IV,Andaman & Nicobar Island(3),2025,PETROL/HYBRID/CNG,0
1,BHARAT STAGE III (CEV),Andaman & Nicobar Island(3),2025,PETROL/LPG,0
2,BHARAT STAGE VI,Andaman & Nicobar Island(3),2025,PETROL/LPG,1
3,BHARAT (TREM) STAGE III A,Andaman & Nicobar Island(3),2025,PETROL/LPG,0
4,CEV STAGE IV,Andaman & Nicobar Island(3),2025,PETROL/LPG,0
5,CEV STAGE V,Andaman & Nicobar Island(3),2025,PETROL/LPG,0
6,NOT AVAILABLE,Andaman & Nicobar Island(3),2025,PETROL/LPG,0
7,TREM STAGE IV,Andaman & Nicobar Island(3),2025,PETROL/LPG,0
1,BHARAT STAGE III (CEV),Andaman & Nicobar Island(3),2025,PETROL/METHANOL,0
2,BHARAT STAGE VI,Andaman & Nicobar Island(3),2025,PETROL/METHANOL,0
3,BHARAT (TREM) STAGE III A,Andaman & Nicobar Island(3),2025,PETROL/METHANOL,0
4,CEV STAGE IV,Andaman & Nicobar Island(3),2025,PETROL/METHANOL,0
5,CEV STAGE V,Andaman & Nicobar Island(3),2025,PETROL/METHANOL,0
6,NOT AVAILABLE,Andaman & Nicobar Island(3),2025,PETROL/METHANOL,0
7,TREM STAGE IV,Andaman & Nicobar Island(3),2025,PETROL/METHANOL,0
1,BHARAT STAGE III (CEV),Andaman & Nicobar Island(3),2025,PLUG-IN HYBRID EV,0
2,BHARAT STAGE VI,Andaman & Nicobar Island(3),2025,PLUG-IN HYBRID EV,0
3,BHARAT (TREM) STAGE III A,Andaman & Nicobar Island(3),2025,PLUG-IN HYBRID EV,0
4,CEV STAGE IV,Andaman & Nicobar Island(3),2025,PLUG-IN HYBRID EV,0
5,CEV STAGE V,Andaman & Nicobar Island(3),2025,PLUG-IN HYBRID EV,0
6,NOT AVAILABLE,Andaman & Nicobar Island(3),2025,PLUG-IN HYBRID EV,0
7,TREM STAGE IV,Andaman & Nicobar Island(3),2025,PLUG-IN HYBRID EV,0
1,BHARAT STAGE III (CEV),Andaman & Nicobar Island(3),2025,PURE EV,0
2,BHARAT STAGE VI,Andaman & Nicobar Island(3),2025,PURE EV,0
3,BHARAT (TREM) STAGE III A,Andaman & Nicobar Island(3),2025,PURE EV,0
4,CEV STAGE IV,Andaman & Nicobar Island(3),2025,PURE EV,0
5,CEV STAGE V,Andaman & Nicobar Island(3),2025,PURE EV,0
6,NOT AVAILABLE,Andaman & Nicobar Island(3),2025,PURE EV,139
7,TREM STAGE IV,Andaman & Nicobar Island(3),2025,PURE EV,0
1,BHARAT STAGE III (CEV),Andaman & Nicobar Island(3),2025,SOLAR,0
2,BHARAT STAGE VI,Andaman & Nicobar Island(3),2025,SOLAR,0
3,BHARAT (TREM) STAGE III A,Andaman & Nicobar Island(3),2025,SOLAR,0
4,CEV STAGE IV,Andaman & Nicobar Island(3),2025,SOLAR,0
5,CEV STAGE V,Andaman & Nicobar Island(3),2025,SOLAR,0
6,NOT AVAILABLE,Andaman & Nicobar Island(3),2025,SOLAR,0
7,TREM STAGE IV,Andaman & Nicobar Island(3),2025,SOLAR,0
1,BHARAT STAGE III (CEV),Andaman & Nicobar Island(3),2025,STRONG HYBRID EV,0
2,BHARAT STAGE VI,Andaman & Nicobar Island(3),2025,STRONG HYBRID EV,37
3,BHARAT (TREM) STAGE III A,Andaman & Nicobar Island(3),2025,STRONG HYBRID EV,0
4,CEV STAGE IV,Andaman & Nicobar Island(3),2025,STRONG HYBRID EV,0
5,CEV STAGE V,Andaman & Nicobar Island(3),2025,STRONG HYBRID EV,0
6,NOT AVAILABLE,Andaman & Nicobar Island(3),2025,STRONG HYBRID EV,0
7,TREM STAGE IV,Andaman & Nicobar Island(3),2025,STRONG HYBRID EV,0
1,BHARAT STAGE III,Andhra Pradesh(84),2025,BIO-CNG/BIO-GAS,0
2,BHARAT STAGE III (CEV),Andhra Pradesh(84),2025,BIO-CNG/BIO-GAS,0
3,BHARAT STAGE IV,Andhra Pradesh(84),2025,BIO-CNG/BIO-GAS,0
4,BHARAT STAGE VI,Andhra Pradesh(84),2025,BIO-CNG/BIO-GAS,0
5,BHARAT (TREM) STAGE III,Andhra Pradesh(84),2025,BIO-CNG/BIO-GAS,0
6,BHARAT (TREM) STAGE III A,Andhra Pradesh(84),2025,BIO-CNG/BIO-GAS,0
7,CEV STAGE IV,Andhra Pradesh(84),2025,BIO-CNG/BIO-GAS,0
8,CEV STAGE V,Andhra Pradesh(84),2025,BIO-CNG/BIO-GAS,0
9,NOT AVAILABLE,Andhra Pradesh(84),2025,BIO-CNG/BIO-GAS,0
10,TREM STAGE IV,Andhra Pradesh(84),2025,BIO-CNG/BIO-GAS,0
1,BHARAT STAGE III,Andhra Pradesh(84),2025,BIO-DIESEL(B100),0
2,BHARAT STAGE III (CEV),Andhra Pradesh(84),2025,BIO-DIESEL(B100),0
3,BHARAT STAGE IV,Andhra Pradesh(84),2025,BIO-DIESEL(B100),0
4,BHARAT STAGE VI,Andhra Pradesh(84),2025,BIO-DIESEL(B100),0
5,BHARAT (TREM) STAGE III,Andhra Pradesh(84),2025,BIO-DIESEL(B100),0
6,BHARAT (TREM) STAGE III A,Andhra Pradesh(84),2025,BIO-DIESEL(B100),0
7,CEV STAGE IV,Andhra Pradesh(84),2025,BIO-DIESEL(B100),0
8,CEV STAGE V,Andhra Pradesh(84),2025,BIO-DIESEL(B100),0
9,NOT AVAILABLE,Andhra Pradesh(84),2025,BIO-DIESEL(B100),0
10,TREM STAGE IV,Andhra Pradesh(84),2025,BIO-DIESEL(B100),0
1,BHARAT STAGE III,Andhra Pradesh(84),2025,BIO-METHANE,0
2,BHARAT STAGE III (CEV),Andhra Pradesh(84),2025,BIO-METHANE,0
3,BHARAT STAGE IV,Andhra Pradesh(84),2025,BIO-METHANE,0
4,BHARAT STAGE VI,Andhra Pradesh(84),2025,BIO-METHANE,0
5,BHARAT (TREM) STAGE III,Andhra Pradesh(84),2025,BIO-METHANE,0
6,BHARAT (TREM) STAGE III A,Andhra Pradesh(84),2025,BIO-METHANE,0
7,CEV STAGE IV,Andhra Pradesh(84),2025,BIO-METHANE,0
8,CEV STAGE V,Andhra Pradesh(84),2025,BIO-METHANE,0
9,NOT AVAILABLE,Andhra Pradesh(84),2025,BIO-METHANE,0
10,TREM STAGE IV,Andhra Pradesh(84),2025,BIO-METHANE,0
1,BHARAT STAGE III,Andhra Pradesh(84),2025,CNG ONLY,0
2,BHARAT STAGE III (CEV),Andhra Pradesh(84),2025,CNG ONLY,0
3,BHARAT STAGE IV,Andhra Pradesh(84),2025,CNG ONLY,0
4,BHARAT STAGE VI,Andhra Pradesh(84),2025,CNG ONLY,"9,788"
5,BHARAT (TREM) STAGE III,Andhra Pradesh(84),2025,CNG ONLY,0
6,BHARAT (TREM) STAGE III A,Andhra Pradesh(84),2025,CNG ONLY,0
7,CEV STAGE IV,Andhra Pradesh(84),2025,CNG ONLY,0
8,CEV STAGE V,Andhra Pradesh(84),2025,CNG ONLY,0
9,NOT AVAILABLE,Andhra Pradesh(84),2025,CNG ONLY,0
10,TREM STAGE IV,Andhra Pradesh(84),2025,CNG ONLY,0
1,BHARAT STAGE III,Andhra Pradesh(84),2025,DIESEL,0
2,BHARAT STAGE III (CEV),Andhra Pradesh(84),2025,DIESEL,418
3,BHARAT STAGE IV,Andhra Pradesh(84),2025,DIESEL,4
4,BHARAT STAGE VI,Andhra Pradesh(84),2025,DIESEL,"80,197"
5,BHARAT (TREM) STAGE III,Andhra Pradesh(84),2025,DIESEL,1
6,BHARAT (TREM) STAGE III A,Andhra Pradesh(84),2025,DIESEL,"29,202"
7,CEV STAGE IV,Andhra Pradesh(84),2025,DIESEL,428
8,CEV STAGE V,Andhra Pradesh(84),2025,DIESEL,"1,396"
9,NOT AVAILABLE,Andhra Pradesh(84),2025,DIESEL,0
10,TREM STAGE IV,Andhra Pradesh(84),2025,DIESEL,973
1,BHARAT STAGE III,Andhra Pradesh(84),2025,DIESEL/HYBRID,0
2,BHARAT STAGE III (CEV),Andhra Pradesh(84),2025,DIESEL/HYBRID,0
3,BHARAT STAGE IV,Andhra Pradesh(84),2025,DIESEL/HYBRID,0
4,BHARAT STAGE VI,Andhra Pradesh(84),2025,DIESEL/HYBRID,210
5,BHARAT (TREM) STAGE III,Andhra Pradesh(84),2025,DIESEL/HYBRID,0
6,BHARAT (TREM) STAGE III A,Andhra Pradesh(84),2025,DIESEL/HYBRID,0
7,CEV STAGE IV,Andhra Pradesh(84),2025,DIESEL/HYBRID,0
8,CEV STAGE V,Andhra Pradesh(84),2025,DIESEL/HYBRID,0
9,NOT AVAILABLE,Andhra Pradesh(84),2025,DIESEL/HYBRID,0
10,TREM STAGE IV,Andhra Pradesh(84),2025,DIESEL/HYBRID,0
1,BHARAT STAGE III,Andhra Pradesh(84),2025,DI-METHYL ETHER,0
2,BHARAT STAGE III (CEV),Andhra Pradesh(84),2025,DI-METHYL ETHER,0
3,BHARAT STAGE IV,Andhra Pradesh(84),2025,DI-METHYL ETHER,0
4,BHARAT STAGE VI,Andhra Pradesh(84),2025,DI-METHYL ETHER,0
5,BHARAT (TREM) STAGE III,Andhra Pradesh(84),2025,DI-METHYL ETHER,0
6,BHARAT (TREM) STAGE III A,Andhra Pradesh(84),2025,DI-METHYL ETHER,0
7,CEV STAGE IV,Andhra Pradesh(84),2025,DI-METHYL ETHER,0
8,CEV STAGE V,Andhra Pradesh(84),2025,DI-METHYL ETHER,0
9,NOT AVAILABLE,Andhra Pradesh(84),2025,DI-METHYL ETHER,0
10,TREM STAGE IV,Andhra Pradesh(84),2025,DI-METHYL ETHER,0
1,BHARAT STAGE III,Andhra Pradesh(84),2025,DUAL DIESEL/BIO CNG,0
2,BHARAT STAGE III (CEV),Andhra Pradesh(84),2025,DUAL DIESEL/BIO CNG,0
3,BHARAT STAGE IV,Andhra Pradesh(84),2025,DUAL DIESEL/BIO CNG,0
4,BHARAT STAGE VI,Andhra Pradesh(84),2025,DUAL DIESEL/BIO CNG,0
5,BHARAT (TREM) STAGE III,Andhra Pradesh(84),2025,DUAL DIESEL/BIO CNG,0
6,BHARAT (TREM) STAGE III A,Andhra Pradesh(84),2025,DUAL DIESEL/BIO CNG,0
7,CEV STAGE IV,Andhra Pradesh(84),2025,DUAL DIESEL/BIO CNG,0
8,CEV STAGE V,Andhra Pradesh(84),2025,DUAL DIESEL/BIO CNG,0
9,NOT AVAILABLE,Andhra Pradesh(84),2025,DUAL DIESEL/BIO CNG,0
10,TREM STAGE IV,Andhra Pradesh(84),2025,DUAL DIESEL/BIO CNG,0
1,BHARAT STAGE III,Andhra Pradesh(84),2025,DUAL DIESEL/CNG,0
2,BHARAT STAGE III (CEV),Andhra Pradesh(84),2025,DUAL DIESEL/CNG,0
3,BHARAT STAGE IV,Andhra Pradesh(84),2025,DUAL DIESEL/CNG,0
4,BHARAT STAGE VI,Andhra Pradesh(84),2025,DUAL DIESEL/CNG,0
5,BHARAT (TREM) STAGE III,Andhra Pradesh(84),2025,DUAL DIESEL/CNG,0
6,BHARAT (TREM) STAGE III A,Andhra Pradesh(84),2025,DUAL DIESEL/CNG,0
7,CEV STAGE IV,Andhra Pradesh(84),2025,DUAL DIESEL/CNG,0
8,CEV STAGE V,Andhra Pradesh(84),2025,DUAL DIESEL/CNG,0
9,NOT AVAILABLE,Andhra Pradesh(84),2025,DUAL DIESEL/CNG,0
10,TREM STAGE IV,Andhra Pradesh(84),2025,DUAL DIESEL/CNG,0
1,BHARAT STAGE III,Andhra Pradesh(84),2025,DUAL DIESEL/LNG,0
2,BHARAT STAGE III (CEV),Andhra Pradesh(84),2025,DUAL DIESEL/LNG,0
3,BHARAT STAGE IV,Andhra Pradesh(84),2025,DUAL DIESEL/LNG,0
4,BHARAT STAGE VI,Andhra Pradesh(84),2025,DUAL DIESEL/LNG,0
5,BHARAT (TREM) STAGE III,Andhra Pradesh(84),2025,DUAL DIESEL/LNG,0
6,BHARAT (TREM) STAGE III A,Andhra Pradesh(84),2025,DUAL DIESEL/LNG,0
7,CEV STAGE IV,Andhra Pradesh(84),2025,DUAL DIESEL/LNG,0
8,CEV STAGE V,Andhra Pradesh(84),2025,DUAL DIESEL/LNG,0
9,NOT AVAILABLE,Andhra Pradesh(84),2025,DUAL DIESEL/LNG,0
10,TREM STAGE IV,Andhra Pradesh(84),2025,DUAL DIESEL/LNG,0
1,BHARAT STAGE III,Andhra Pradesh(84),2025,ELECTRIC(BOV),0
2,BHARAT STAGE III (CEV),Andhra Pradesh(84),2025,ELECTRIC(BOV),0
3,BHARAT STAGE IV,Andhra Pradesh(84),2025,ELECTRIC(BOV),0
4,BHARAT STAGE VI,Andhra Pradesh(84),2025,ELECTRIC(BOV),0
5,BHARAT (TREM) STAGE III,Andhra Pradesh(84),2025,ELECTRIC(BOV),0
6,BHARAT (TREM) STAGE III A,Andhra Pradesh(84),2025,ELECTRIC(BOV),0
7,CEV STAGE IV,Andhra Pradesh(84),2025,ELECTRIC(BOV),0
8,CEV STAGE V,Andhra Pradesh(84),2025,ELECTRIC(BOV),0
9,NOT AVAILABLE,Andhra Pradesh(84),2025,ELECTRIC(BOV),"10,902"
10,TREM STAGE IV,Andhra Pradesh(84),2025,ELECTRIC(BOV),0
1,BHARAT STAGE III,Andhra Pradesh(84),2025,ETHANOL,0
2,BHARAT STAGE III (CEV),Andhra Pradesh(84),2025,ETHANOL,0
3,BHARAT STAGE IV,Andhra Pradesh(84),2025,ETHANOL,0
4,BHARAT STAGE VI,Andhra Pradesh(84),2025,ETHANOL,16
5,BHARAT (TREM) STAGE III,Andhra Pradesh(84),2025,ETHANOL,0
6,BHARAT (TREM) STAGE III A,Andhra Pradesh(84),2025,ETHANOL,0
7,CEV STAGE IV,Andhra Pradesh(84),2025,ETHANOL,0
8,CEV STAGE V,Andhra Pradesh(84),2025,ETHANOL,0
9,NOT AVAILABLE,Andhra Pradesh(84),2025,ETHANOL,0
10,TREM STAGE IV,Andhra Pradesh(84),2025,ETHANOL,0
1,BHARAT STAGE III,Andhra Pradesh(84),2025,FLEX-FUEL(BIO-DIESEL),0
2,BHARAT STAGE III (CEV),Andhra Pradesh(84),2025,FLEX-FUEL(BIO-DIESEL),0
3,BHARAT STAGE IV,Andhra Pradesh(84),2025,FLEX-FUEL(BIO-DIESEL),0
4,BHARAT STAGE VI,Andhra Pradesh(84),2025,FLEX-FUEL(BIO-DIESEL),0
5,BHARAT (TREM) STAGE III,Andhra Pradesh(84),2025,FLEX-FUEL(BIO-DIESEL),0
6,BHARAT (TREM) STAGE III A,Andhra Pradesh(84),2025,FLEX-FUEL(BIO-DIESEL),0
7,CEV STAGE IV,Andhra Pradesh(84),2025,FLEX-FUEL(BIO-DIESEL),0
8,CEV STAGE V,Andhra Pradesh(84),2025,FLEX-FUEL(BIO-DIESEL),0
9,NOT AVAILABLE,Andhra Pradesh(84),2025,FLEX-FUEL(BIO-DIESEL),0
10,TREM STAGE IV,Andhra Pradesh(84),2025,FLEX-FUEL(BIO-DIESEL),0
1,BHARAT STAGE III,Andhra Pradesh(84),2025,FLEX-FUEL(ETHANOL),0
2,BHARAT STAGE III (CEV),Andhra Pradesh(84),2025,FLEX-FUEL(ETHANOL),0
3,BHARAT STAGE IV,Andhra Pradesh(84),2025,FLEX-FUEL(ETHANOL),0
4,BHARAT STAGE VI,Andhra Pradesh(84),2025,FLEX-FUEL(ETHANOL),0
5,BHARAT (TREM) STAGE III,Andhra Pradesh(84),2025,FLEX-FUEL(ETHANOL),0
6,BHARAT (TREM) STAGE III A,Andhra Pradesh(84),2025,FLEX-FUEL(ETHANOL),0
7,CEV STAGE IV,Andhra Pradesh(84),2025,FLEX-FUEL(ETHANOL),0
8,CEV STAGE V,Andhra Pradesh(84),2025,FLEX-FUEL(ETHANOL),0
9,NOT AVAILABLE,Andhra Pradesh(84),2025,FLEX-FUEL(ETHANOL),0
10,TREM STAGE IV,Andhra Pradesh(84),2025,FLEX-FUEL(ETHANOL),0
1,BHARAT STAGE III,Andhra Pradesh(84),2025,FUEL CELL HYDROGEN,0
2,BHARAT STAGE III (CEV),Andhra Pradesh(84),2025,FUEL CELL HYDROGEN,0
3,BHARAT STAGE IV,Andhra Pradesh(84),2025,FUEL CELL HYDROGEN,0
4,BHARAT STAGE VI,Andhra Pradesh(84),2025,FUEL CELL HYDROGEN,0
5,BHARAT (TREM) STAGE III,Andhra Pradesh(84),2025,FUEL CELL HYDROGEN,0
6,BHARAT (TREM) STAGE III A,Andhra Pradesh(84),2025,FUEL CELL HYDROGEN,0
7,CEV STAGE IV,Andhra Pradesh(84),2025,FUEL CELL HYDROGEN,0
8,CEV STAGE V,Andhra Pradesh(84),2025,FUEL CELL HYDROGEN,0
9,NOT AVAILABLE,Andhra Pradesh(84),2025,FUEL CELL HYDROGEN,0
10,TREM STAGE IV,Andhra Pradesh(84),2025,FUEL CELL HYDROGEN,0
1,BHARAT STAGE III,Andhra Pradesh(84),2025,HCNG,0
2,BHARAT STAGE III (CEV),Andhra Pradesh(84),2025,HCNG,0
3,BHARAT STAGE IV,Andhra Pradesh(84),2025,HCNG,0
4,BHARAT STAGE VI,Andhra Pradesh(84),2025,HCNG,0
5,BHARAT (TREM) STAGE III,Andhra Pradesh(84),2025,HCNG,0
6,BHARAT (TREM) STAGE III A,Andhra Pradesh(84),2025,HCNG,0
7,CEV STAGE IV,Andhra Pradesh(84),2025,HCNG,0
8,CEV STAGE V,Andhra Pradesh(84),2025,HCNG,0
9,NOT AVAILABLE,Andhra Pradesh(84),2025,HCNG,0
10,TREM STAGE IV,Andhra Pradesh(84),2025,HCNG,0
1,BHARAT STAGE III,Andhra Pradesh(84),2025,HYDROGEN(ICE),0
2,BHARAT STAGE III (CEV),Andhra Pradesh(84),2025,HYDROGEN(ICE),0
3,BHARAT STAGE IV,Andhra Pradesh(84),2025,HYDROGEN(ICE),0
4,BHARAT STAGE VI,Andhra Pradesh(84),2025,HYDROGEN(ICE),0
5,BHARAT (TREM) STAGE III,Andhra Pradesh(84),2025,HYDROGEN(ICE),0
6,BHARAT (TREM) STAGE III A,Andhra Pradesh(84),2025,HYDROGEN(ICE),0
7,CEV STAGE IV,Andhra Pradesh(84),2025,HYDROGEN(ICE),0
8,CEV STAGE V,Andhra Pradesh(84),2025,HYDROGEN(ICE),0
9,NOT AVAILABLE,Andhra Pradesh(84),2025,HYDROGEN(ICE),0
10,TREM STAGE IV,Andhra Pradesh(84),2025,HYDROGEN(ICE),0
1,BHARAT STAGE III,Andhra Pradesh(84),2025,LNG,0
2,BHARAT STAGE III (CEV),Andhra Pradesh(84),2025,LNG,0
3,BHARAT STAGE IV,Andhra Pradesh(84),2025,LNG,0
4,BHARAT STAGE VI,Andhra Pradesh(84),2025,LNG,3
5,BHARAT (TREM) STAGE III,Andhra Pradesh(84),2025,LNG,0
6,BHARAT (TREM) STAGE III A,Andhra Pradesh(84),2025,LNG,0
7,CEV STAGE IV,Andhra Pradesh(84),2025,LNG,0
8,CEV STAGE V,Andhra Pradesh(84),2025,LNG,0
9,NOT AVAILABLE,Andhra Pradesh(84),2025,LNG,0
10,TREM STAGE IV,Andhra Pradesh(84),2025,LNG,0
1,BHARAT STAGE III,Andhra Pradesh(84),2025,LPG ONLY,0
2,BHARAT STAGE III (CEV),Andhra Pradesh(84),2025,LPG ONLY,0
3,BHARAT STAGE IV,Andhra Pradesh(84),2025,LPG ONLY,0
4,BHARAT STAGE VI,Andhra Pradesh(84),2025,LPG ONLY,9
5,BHARAT (TREM) STAGE III,Andhra Pradesh(84),2025,LPG ONLY,0
6,BHARAT (TREM) STAGE III A,Andhra Pradesh(84),2025,LPG ONLY,0
7,CEV STAGE IV,Andhra Pradesh(84),2025,LPG ONLY,0
8,CEV STAGE V,Andhra Pradesh(84),2025,LPG ONLY,0
9,NOT AVAILABLE,Andhra Pradesh(84),2025,LPG ONLY,0
10,TREM STAGE IV,Andhra Pradesh(84),2025,LPG ONLY,0
1,BHARAT STAGE III,Andhra Pradesh(84),2025,METHANOL,0
2,BHARAT STAGE III (CEV),Andhra Pradesh(84),2025,METHANOL,0
3,BHARAT STAGE IV,Andhra Pradesh(84),2025,METHANOL,0
4,BHARAT STAGE VI,Andhra Pradesh(84),2025,METHANOL,0
5,BHARAT (TREM) STAGE III,Andhra Pradesh(84),2025,METHANOL,0
6,BHARAT (TREM) STAGE III A,Andhra Pradesh(84),2025,METHANOL,0
7,CEV STAGE IV,Andhra Pradesh(84),2025,METHANOL,0
8,CEV STAGE V,Andhra Pradesh(84),2025,METHANOL,0
9,NOT AVAILABLE,Andhra Pradesh(84),2025,METHANOL,0
10,TREM STAGE IV,Andhra Pradesh(84),2025,METHANOL,0
1,BHARAT STAGE III,Andhra Pradesh(84),2025,NOT APPLICABLE,0
2,BHARAT STAGE III (CEV),Andhra Pradesh(84),2025,NOT APPLICABLE,0
3,BHARAT STAGE IV,Andhra Pradesh(84),2025,NOT APPLICABLE,0
4,BHARAT STAGE VI,Andhra Pradesh(84),2025,NOT APPLICABLE,1
5,BHARAT (TREM) STAGE III,Andhra Pradesh(84),2025,NOT APPLICABLE,0
6,BHARAT (TREM) STAGE III A,Andhra Pradesh(84),2025,NOT APPLICABLE,0
7,CEV STAGE IV,Andhra Pradesh(84),2025,NOT APPLICABLE,0
8,CEV STAGE V,Andhra Pradesh(84),2025,NOT APPLICABLE,0
9,NOT AVAILABLE,Andhra Pradesh(84),2025,NOT APPLICABLE,"5,555"
10,TREM STAGE IV,Andhra Pradesh(84),2025,NOT APPLICABLE,0
1,BHARAT STAGE III,Andhra Pradesh(84),2025,PETROL,1
2,BHARAT STAGE III (CEV),Andhra Pradesh(84),2025,PETROL,0
3,BHARAT STAGE IV,Andhra Pradesh(84),2025,PETROL,1
4,BHARAT STAGE VI,Andhra Pradesh(84),2025,PETROL,"5,08,418"
5,BHARAT (TREM) STAGE III,Andhra Pradesh(84),2025,PETROL,0
6,BHARAT (TREM) STAGE III A,Andhra Pradesh(84),2025,PETROL,0
7,CEV STAGE IV,Andhra Pradesh(84),2025,PETROL,0
8,CEV STAGE V,Andhra Pradesh(84),2025,PETROL,0
9,NOT AVAILABLE,Andhra Pradesh(84),2025,PETROL,0
10,TREM STAGE IV,Andhra Pradesh(84),2025,PETROL,0
1,BHARAT STAGE III,Andhra Pradesh(84),2025,PETROL/CNG,0
2,BHARAT STAGE III (CEV),Andhra Pradesh(84),2025,PETROL/CNG,0
3,BHARAT STAGE IV,Andhra Pradesh(84),2025,PETROL/CNG,0
4,BHARAT STAGE VI,Andhra Pradesh(84),2025,PETROL/CNG,"7,024"
5,BHARAT (TREM) STAGE III,Andhra Pradesh(84),2025,PETROL/CNG,0
6,BHARAT (TREM) STAGE III A,Andhra Pradesh(84),2025,PETROL/CNG,0
7,CEV STAGE IV,Andhra Pradesh(84),2025,PETROL/CNG,0
8,CEV STAGE V,Andhra Pradesh(84),2025,PETROL/CNG,0
9,NOT AVAILABLE,Andhra Pradesh(84),2025,PETROL/CNG,0
10,TREM STAGE IV,Andhra Pradesh(84),2025,PETROL/CNG,0
1,BHARAT STAGE III,Andhra Pradesh(84),2025,PETROL(E20)/CNG,0
2,BHARAT STAGE III (CEV),Andhra Pradesh(84),2025,PETROL(E20)/CNG,0
3,BHARAT STAGE IV,Andhra Pradesh(84),2025,PETROL(E20)/CNG,0
4,BHARAT STAGE VI,Andhra Pradesh(84),2025,PETROL(E20)/CNG,969
5,BHARAT (TREM) STAGE III,Andhra Pradesh(84),2025,PETROL(E20)/CNG,0
6,BHARAT (TREM) STAGE III A,Andhra Pradesh(84),2025,PETROL(E20)/CNG,0
7,CEV STAGE IV,Andhra Pradesh(84),2025,PETROL(E20)/CNG,0
8,CEV STAGE V,Andhra Pradesh(84),2025,PETROL(E20)/CNG,0
9,NOT AVAILABLE,Andhra Pradesh(84),2025,PETROL(E20)/CNG,0
10,TREM STAGE IV,Andhra Pradesh(84),2025,PETROL(E20)/CNG,0
1,BHARAT STAGE III,Andhra Pradesh(84),2025,PETROL(E20)/HYBRID,0
