S No,Fuel,State,Year,Month,Value
2,DIESEL/HYBRID,Arunachal Pradesh(29),2026,FEB,7
3,ELECTRIC(BOV),Arunachal Pradesh(29),2026,FEB,0
4,NOT APPLICABLE,Arunachal Pradesh(29),2026,FEB,9
5,PETROL,Arunachal Pradesh(29),2026,FEB,339
6,PETROL/CNG,Arunachal Pradesh(29),2026,FEB,1
7,PETROL(E20)/HYBRID,Arunachal Pradesh(29),2026,FEB,110
8,PETROL/ETHANOL,Arunachal Pradesh(29),2026,FEB,"1,222"
9,PETROL/HYBRID,Arunachal Pradesh(29),2026,FEB,15
10,PETROL/LPG,Arunachal Pradesh(29),2026,FEB,1
11,PURE EV,Arunachal Pradesh(29),2026,FEB,3
12,STRONG HYBRID EV,Arunachal Pradesh(29),2026,FEB,9
1,CNG ONLY,Assam(33),2026,JAN,24
2,DIESEL,Assam(33),2026,JAN,"3,081"
3,DIESEL/HYBRID,Assam(33),2026,JAN,4
4,ELECTRIC(BOV),Assam(33),2026,JAN,"3,010"
5,NOT APPLICABLE,Assam(33),2026,JAN,29
6,PETROL,Assam(33),2026,JAN,"11,773"
7,PETROL/CNG,Assam(33),2026,JAN,9
8,PETROL(E20)/CNG,Assam(33),2026,JAN,25
9,PETROL(E20)/HYBRID,Assam(33),2026,JAN,610
10,PETROL/ETHANOL,Assam(33),2026,JAN,"31,384"
11,PETROL/HYBRID,Assam(33),2026,JAN,91
12,PURE EV,Assam(33),2026,JAN,"4,105"
13,STRONG HYBRID EV,Assam(33),2026,JAN,38
1,CNG ONLY,Assam(33),2026,FEB,23
2,DIESEL,Assam(33),2026,FEB,"2,143"
3,DIESEL/HYBRID,Assam(33),2026,FEB,8
4,ELECTRIC(BOV),Assam(33),2026,FEB,"2,506"
5,NOT APPLICABLE,Assam(33),2026,FEB,21
6,PETROL,Assam(33),2026,FEB,"6,674"
7,PETROL/CNG,Assam(33),2026,FEB,8
8,PETROL(E20)/CNG,Assam(33),2026,FEB,18
9,PETROL(E20)/HYBRID,Assam(33),2026,FEB,393
10,PETROL/ETHANOL,Assam(33),2026,FEB,"20,874"
11,PETROL/HYBRID,Assam(33),2026,FEB,43
12,PURE EV,Assam(33),2026,FEB,"3,309"
13,STRONG HYBRID EV,Assam(33),2026,FEB,38
1,CNG ONLY,Bihar(48),2026,JAN,"2,070"
2,DIESEL,Bihar(48),2026,JAN,"9,607"
3,DIESEL/HYBRID,Bihar(48),2026,JAN,13
4,ELECTRIC(BOV),Bihar(48),2026,JAN,"4,524"
5,ETHANOL,Bihar(48),2026,JAN,0
6,LPG ONLY,Bihar(48),2026,JAN,307
7,NOT APPLICABLE,Bihar(48),2026,JAN,776
8,PETROL,Bihar(48),2026,JAN,"33,441"
9,PETROL/CNG,Bihar(48),2026,JAN,752
10,PETROL(E20)/CNG,Bihar(48),2026,JAN,"2,156"
11,PETROL(E20)/HYBRID,Bihar(48),2026,JAN,639
12,PETROL/ETHANOL,Bihar(48),2026,JAN,"58,002"
13,PETROL/HYBRID,Bihar(48),2026,JAN,126
14,PURE EV,Bihar(48),2026,JAN,"6,519"
15,STRONG HYBRID EV,Bihar(48),2026,JAN,54
1,CNG ONLY,Bihar(48),2026,FEB,"1,565"
2,DIESEL,Bihar(48),2026,FEB,"6,031"
3,DIESEL/HYBRID,Bihar(48),2026,FEB,6
4,ELECTRIC(BOV),Bihar(48),2026,FEB,"2,998"
5,ETHANOL,Bihar(48),2026,FEB,2
6,LPG ONLY,Bihar(48),2026,FEB,197
7,NOT APPLICABLE,Bihar(48),2026,FEB,530
8,PETROL,Bihar(48),2026,FEB,"25,953"
9,PETROL/CNG,Bihar(48),2026,FEB,384
10,PETROL(E20)/CNG,Bihar(48),2026,FEB,"1,578"
11,PETROL(E20)/HYBRID,Bihar(48),2026,FEB,371
12,PETROL/ETHANOL,Bihar(48),2026,FEB,"48,411"
13,PETROL/HYBRID,Bihar(48),2026,FEB,65
14,PURE EV,Bihar(48),2026,FEB,"4,230"
15,STRONG HYBRID EV,Bihar(48),2026,FEB,38
1,CNG ONLY,Chhattisgarh(31),2026,JAN,49
2,DIESEL,Chhattisgarh(31),2026,JAN,"10,427"
3,DIESEL/HYBRID,Chhattisgarh(31),2026,JAN,18
4,ELECTRIC(BOV),Chhattisgarh(31),2026,JAN,582
5,ETHANOL,Chhattisgarh(31),2026,JAN,2
6,NOT APPLICABLE,Chhattisgarh(31),2026,JAN,"1,376"
7,PETROL,Chhattisgarh(31),2026,JAN,"17,350"
8,PETROL/CNG,Chhattisgarh(31),2026,JAN,48
9,PETROL(E20)/CNG,Chhattisgarh(31),2026,JAN,96
10,PETROL(E20)/HYBRID,Chhattisgarh(31),2026,JAN,"1,877"
