state_code,state_name,year,count,growth_pct
UP,Uttar Pradesh,2026:,168025884671,
UP,Uttar Pradesh,2025:,1058575135796,7.23%
UP,Uttar Pradesh,2024:,987238756251,12.61%
UP,Uttar Pradesh,2023:,876711594521,16.36%
UP,Uttar Pradesh,2022:,753453477008,
WB,West Bengal,Till Today,9097891078269,
WB,West Bengal,2026:,168025884671,
WB,West Bengal,2025:,1058575135796,7.23%
WB,West Bengal,2024:,987238756251,12.61%
WB,West Bengal,2023:,876711594521,16.36%
WB,West Bengal,2022:,753453477008,
