S No,Vehicle Category,State,Year,Vehicle Class,Value
9,MEDIUM MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,M-Cycle/Scooter-With Side Car,0
10,MEDIUM PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,M-Cycle/Scooter-With Side Car,0
11,OTHER THAN MENTIONED ABOVE,All Vahan4 Running States (35/36),2025,M-Cycle/Scooter-With Side Car,0
12,THREE WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,M-Cycle/Scooter-With Side Car,0
13,THREE WHEELER(NT),All Vahan4 Running States (35/36),2025,M-Cycle/Scooter-With Side Car,0
14,THREE WHEELER(T),All Vahan4 Running States (35/36),2025,M-Cycle/Scooter-With Side Car,0
15,TWO WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,M-Cycle/Scooter-With Side Car,0
16,TWO WHEELER(NT),All Vahan4 Running States (35/36),2025,M-Cycle/Scooter-With Side Car,"5,707"
17,TWO WHEELER(T),All Vahan4 Running States (35/36),2025,M-Cycle/Scooter-With Side Car,0
1,FOUR WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,Moped,0
2,HEAVY GOODS VEHICLE,All Vahan4 Running States (35/36),2025,Moped,0
3,HEAVY MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,Moped,0
4,HEAVY PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,Moped,0
5,LIGHT GOODS VEHICLE,All Vahan4 Running States (35/36),2025,Moped,0
6,LIGHT MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,Moped,0
7,LIGHT PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,Moped,0
8,MEDIUM GOODS VEHICLE,All Vahan4 Running States (35/36),2025,Moped,0
9,MEDIUM MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,Moped,0
10,MEDIUM PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,Moped,0
11,OTHER THAN MENTIONED ABOVE,All Vahan4 Running States (35/36),2025,Moped,0
12,THREE WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,Moped,0
13,THREE WHEELER(NT),All Vahan4 Running States (35/36),2025,Moped,0
14,THREE WHEELER(T),All Vahan4 Running States (35/36),2025,Moped,0
15,TWO WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,Moped,0
16,TWO WHEELER(NT),All Vahan4 Running States (35/36),2025,Moped,"3,86,166"
17,TWO WHEELER(T),All Vahan4 Running States (35/36),2025,Moped,0
1,FOUR WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,Motorised Cycle (CC > 25cc),0
2,HEAVY GOODS VEHICLE,All Vahan4 Running States (35/36),2025,Motorised Cycle (CC > 25cc),0
3,HEAVY MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,Motorised Cycle (CC > 25cc),0
4,HEAVY PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,Motorised Cycle (CC > 25cc),0
5,LIGHT GOODS VEHICLE,All Vahan4 Running States (35/36),2025,Motorised Cycle (CC > 25cc),0
6,LIGHT MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,Motorised Cycle (CC > 25cc),0
7,LIGHT PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,Motorised Cycle (CC > 25cc),0
8,MEDIUM GOODS VEHICLE,All Vahan4 Running States (35/36),2025,Motorised Cycle (CC > 25cc),0
9,MEDIUM MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,Motorised Cycle (CC > 25cc),0
10,MEDIUM PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,Motorised Cycle (CC > 25cc),0
11,OTHER THAN MENTIONED ABOVE,All Vahan4 Running States (35/36),2025,Motorised Cycle (CC > 25cc),0
12,THREE WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,Motorised Cycle (CC > 25cc),0
13,THREE WHEELER(NT),All Vahan4 Running States (35/36),2025,Motorised Cycle (CC > 25cc),0
14,THREE WHEELER(T),All Vahan4 Running States (35/36),2025,Motorised Cycle (CC > 25cc),0
15,TWO WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,Motorised Cycle (CC > 25cc),0
16,TWO WHEELER(NT),All Vahan4 Running States (35/36),2025,Motorised Cycle (CC > 25cc),"1,65,959"
17,TWO WHEELER(T),All Vahan4 Running States (35/36),2025,Motorised Cycle (CC > 25cc),0
1,FOUR WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,Adapted Vehicle,"3,303"
2,HEAVY GOODS VEHICLE,All Vahan4 Running States (35/36),2025,Adapted Vehicle,0
3,HEAVY MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,Adapted Vehicle,0
4,HEAVY PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,Adapted Vehicle,0
5,LIGHT GOODS VEHICLE,All Vahan4 Running States (35/36),2025,Adapted Vehicle,0
6,LIGHT MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,Adapted Vehicle,0
7,LIGHT PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,Adapted Vehicle,0
8,MEDIUM GOODS VEHICLE,All Vahan4 Running States (35/36),2025,Adapted Vehicle,0
9,MEDIUM MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,Adapted Vehicle,0
10,MEDIUM PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,Adapted Vehicle,0
11,OTHER THAN MENTIONED ABOVE,All Vahan4 Running States (35/36),2025,Adapted Vehicle,0
12,THREE WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,Adapted Vehicle,58
13,THREE WHEELER(NT),All Vahan4 Running States (35/36),2025,Adapted Vehicle,0
14,THREE WHEELER(T),All Vahan4 Running States (35/36),2025,Adapted Vehicle,0
15,TWO WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,Adapted Vehicle,"24,414"
16,TWO WHEELER(NT),All Vahan4 Running States (35/36),2025,Adapted Vehicle,0
17,TWO WHEELER(T),All Vahan4 Running States (35/36),2025,Adapted Vehicle,0
1,FOUR WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,Three Wheeler (Personal),0
2,HEAVY GOODS VEHICLE,All Vahan4 Running States (35/36),2025,Three Wheeler (Personal),0
3,HEAVY MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,Three Wheeler (Personal),0
4,HEAVY PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,Three Wheeler (Personal),0
5,LIGHT GOODS VEHICLE,All Vahan4 Running States (35/36),2025,Three Wheeler (Personal),0
6,LIGHT MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,Three Wheeler (Personal),0
7,LIGHT PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,Three Wheeler (Personal),0
8,MEDIUM GOODS VEHICLE,All Vahan4 Running States (35/36),2025,Three Wheeler (Personal),0
9,MEDIUM MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,Three Wheeler (Personal),0
10,MEDIUM PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,Three Wheeler (Personal),0
11,OTHER THAN MENTIONED ABOVE,All Vahan4 Running States (35/36),2025,Three Wheeler (Personal),0
12,THREE WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,Three Wheeler (Personal),0
13,THREE WHEELER(NT),All Vahan4 Running States (35/36),2025,Three Wheeler (Personal),"1,482"
14,THREE WHEELER(T),All Vahan4 Running States (35/36),2025,Three Wheeler (Personal),0
15,TWO WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,Three Wheeler (Personal),0
16,TWO WHEELER(NT),All Vahan4 Running States (35/36),2025,Three Wheeler (Personal),0
17,TWO WHEELER(T),All Vahan4 Running States (35/36),2025,Three Wheeler (Personal),0
1,FOUR WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,Motor Car,0
2,HEAVY GOODS VEHICLE,All Vahan4 Running States (35/36),2025,Motor Car,0
3,HEAVY MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,Motor Car,0
4,HEAVY PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,Motor Car,0
5,LIGHT GOODS VEHICLE,All Vahan4 Running States (35/36),2025,Motor Car,0
6,LIGHT MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,Motor Car,"41,10,407"
7,LIGHT PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,Motor Car,0
8,MEDIUM GOODS VEHICLE,All Vahan4 Running States (35/36),2025,Motor Car,0
9,MEDIUM MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,Motor Car,0
10,MEDIUM PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,Motor Car,0
11,OTHER THAN MENTIONED ABOVE,All Vahan4 Running States (35/36),2025,Motor Car,3
12,THREE WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,Motor Car,0
13,THREE WHEELER(NT),All Vahan4 Running States (35/36),2025,Motor Car,0
14,THREE WHEELER(T),All Vahan4 Running States (35/36),2025,Motor Car,0
15,TWO WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,Motor Car,0
16,TWO WHEELER(NT),All Vahan4 Running States (35/36),2025,Motor Car,2
17,TWO WHEELER(T),All Vahan4 Running States (35/36),2025,Motor Car,0
1,FOUR WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,Fork Lift,0
2,HEAVY GOODS VEHICLE,All Vahan4 Running States (35/36),2025,Fork Lift,0
3,HEAVY MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,Fork Lift,54
4,HEAVY PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,Fork Lift,0
5,LIGHT GOODS VEHICLE,All Vahan4 Running States (35/36),2025,Fork Lift,0
6,LIGHT MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,Fork Lift,72
7,LIGHT PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,Fork Lift,0
8,MEDIUM GOODS VEHICLE,All Vahan4 Running States (35/36),2025,Fork Lift,0
9,MEDIUM MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,Fork Lift,102
10,MEDIUM PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,Fork Lift,0
11,OTHER THAN MENTIONED ABOVE,All Vahan4 Running States (35/36),2025,Fork Lift,"1,230"
12,THREE WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,Fork Lift,0
13,THREE WHEELER(NT),All Vahan4 Running States (35/36),2025,Fork Lift,0
14,THREE WHEELER(T),All Vahan4 Running States (35/36),2025,Fork Lift,0
15,TWO WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,Fork Lift,0
16,TWO WHEELER(NT),All Vahan4 Running States (35/36),2025,Fork Lift,0
17,TWO WHEELER(T),All Vahan4 Running States (35/36),2025,Fork Lift,0
1,FOUR WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,Vehicle Fitted With Rig,0
2,HEAVY GOODS VEHICLE,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Rig,0
3,HEAVY MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Rig,153
4,HEAVY PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Rig,0
5,LIGHT GOODS VEHICLE,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Rig,0
6,LIGHT MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Rig,66
7,LIGHT PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Rig,0
8,MEDIUM GOODS VEHICLE,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Rig,0
9,MEDIUM MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Rig,17
10,MEDIUM PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Rig,0
11,OTHER THAN MENTIONED ABOVE,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Rig,272
12,THREE WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,Vehicle Fitted With Rig,0
13,THREE WHEELER(NT),All Vahan4 Running States (35/36),2025,Vehicle Fitted With Rig,0
14,THREE WHEELER(T),All Vahan4 Running States (35/36),2025,Vehicle Fitted With Rig,0
15,TWO WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,Vehicle Fitted With Rig,0
16,TWO WHEELER(NT),All Vahan4 Running States (35/36),2025,Vehicle Fitted With Rig,0
17,TWO WHEELER(T),All Vahan4 Running States (35/36),2025,Vehicle Fitted With Rig,0
1,FOUR WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,Vehicle Fitted With Generator,0
2,HEAVY GOODS VEHICLE,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Generator,0
3,HEAVY MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Generator,14
4,HEAVY PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Generator,0
5,LIGHT GOODS VEHICLE,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Generator,0
6,LIGHT MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Generator,61
7,LIGHT PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Generator,0
8,MEDIUM GOODS VEHICLE,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Generator,0
9,MEDIUM MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Generator,16
10,MEDIUM PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Generator,0
11,OTHER THAN MENTIONED ABOVE,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Generator,50
12,THREE WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,Vehicle Fitted With Generator,0
13,THREE WHEELER(NT),All Vahan4 Running States (35/36),2025,Vehicle Fitted With Generator,0
14,THREE WHEELER(T),All Vahan4 Running States (35/36),2025,Vehicle Fitted With Generator,0
15,TWO WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,Vehicle Fitted With Generator,0
16,TWO WHEELER(NT),All Vahan4 Running States (35/36),2025,Vehicle Fitted With Generator,0
17,TWO WHEELER(T),All Vahan4 Running States (35/36),2025,Vehicle Fitted With Generator,0
1,FOUR WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,Vehicle Fitted With Compressor,0
2,HEAVY GOODS VEHICLE,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Compressor,0
3,HEAVY MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Compressor,40
4,HEAVY PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Compressor,0
5,LIGHT GOODS VEHICLE,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Compressor,0
6,LIGHT MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Compressor,59
7,LIGHT PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Compressor,0
8,MEDIUM GOODS VEHICLE,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Compressor,0
9,MEDIUM MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Compressor,14
10,MEDIUM PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Compressor,0
11,OTHER THAN MENTIONED ABOVE,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Compressor,29
12,THREE WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,Vehicle Fitted With Compressor,0
13,THREE WHEELER(NT),All Vahan4 Running States (35/36),2025,Vehicle Fitted With Compressor,0
14,THREE WHEELER(T),All Vahan4 Running States (35/36),2025,Vehicle Fitted With Compressor,0
15,TWO WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,Vehicle Fitted With Compressor,0
16,TWO WHEELER(NT),All Vahan4 Running States (35/36),2025,Vehicle Fitted With Compressor,0
17,TWO WHEELER(T),All Vahan4 Running States (35/36),2025,Vehicle Fitted With Compressor,0
1,FOUR WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,Crane Mounted Vehicle,0
2,HEAVY GOODS VEHICLE,All Vahan4 Running States (35/36),2025,Crane Mounted Vehicle,0
3,HEAVY MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,Crane Mounted Vehicle,"1,122"
4,HEAVY PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,Crane Mounted Vehicle,0
5,LIGHT GOODS VEHICLE,All Vahan4 Running States (35/36),2025,Crane Mounted Vehicle,0
6,LIGHT MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,Crane Mounted Vehicle,249
7,LIGHT PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,Crane Mounted Vehicle,0
8,MEDIUM GOODS VEHICLE,All Vahan4 Running States (35/36),2025,Crane Mounted Vehicle,0
9,MEDIUM MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,Crane Mounted Vehicle,"2,204"
10,MEDIUM PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,Crane Mounted Vehicle,0
11,OTHER THAN MENTIONED ABOVE,All Vahan4 Running States (35/36),2025,Crane Mounted Vehicle,"4,685"
12,THREE WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,Crane Mounted Vehicle,0
13,THREE WHEELER(NT),All Vahan4 Running States (35/36),2025,Crane Mounted Vehicle,0
14,THREE WHEELER(T),All Vahan4 Running States (35/36),2025,Crane Mounted Vehicle,0
15,TWO WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,Crane Mounted Vehicle,0
16,TWO WHEELER(NT),All Vahan4 Running States (35/36),2025,Crane Mounted Vehicle,0
17,TWO WHEELER(T),All Vahan4 Running States (35/36),2025,Crane Mounted Vehicle,0
1,FOUR WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,Agricultural Tractor,0
2,HEAVY GOODS VEHICLE,All Vahan4 Running States (35/36),2025,Agricultural Tractor,0
3,HEAVY MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,Agricultural Tractor,0
4,HEAVY PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,Agricultural Tractor,0
5,LIGHT GOODS VEHICLE,All Vahan4 Running States (35/36),2025,Agricultural Tractor,1
6,LIGHT MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,Agricultural Tractor,"9,11,738"
7,LIGHT PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,Agricultural Tractor,0
8,MEDIUM GOODS VEHICLE,All Vahan4 Running States (35/36),2025,Agricultural Tractor,0
9,MEDIUM MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,Agricultural Tractor,"1,055"
10,MEDIUM PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,Agricultural Tractor,0
11,OTHER THAN MENTIONED ABOVE,All Vahan4 Running States (35/36),2025,Agricultural Tractor,2
12,THREE WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,Agricultural Tractor,0
13,THREE WHEELER(NT),All Vahan4 Running States (35/36),2025,Agricultural Tractor,0
14,THREE WHEELER(T),All Vahan4 Running States (35/36),2025,Agricultural Tractor,0
15,TWO WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,Agricultural Tractor,0
16,TWO WHEELER(NT),All Vahan4 Running States (35/36),2025,Agricultural Tractor,2
17,TWO WHEELER(T),All Vahan4 Running States (35/36),2025,Agricultural Tractor,0
1,FOUR WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,Power Tiller,0
2,HEAVY GOODS VEHICLE,All Vahan4 Running States (35/36),2025,Power Tiller,0
3,HEAVY MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,Power Tiller,0
4,HEAVY PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,Power Tiller,0
5,LIGHT GOODS VEHICLE,All Vahan4 Running States (35/36),2025,Power Tiller,0
6,LIGHT MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,Power Tiller,0
7,LIGHT PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,Power Tiller,0
8,MEDIUM GOODS VEHICLE,All Vahan4 Running States (35/36),2025,Power Tiller,0
9,MEDIUM MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,Power Tiller,0
10,MEDIUM PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,Power Tiller,0
11,OTHER THAN MENTIONED ABOVE,All Vahan4 Running States (35/36),2025,Power Tiller,0
12,THREE WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,Power Tiller,0
13,THREE WHEELER(NT),All Vahan4 Running States (35/36),2025,Power Tiller,0
14,THREE WHEELER(T),All Vahan4 Running States (35/36),2025,Power Tiller,0
15,TWO WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,Power Tiller,0
16,TWO WHEELER(NT),All Vahan4 Running States (35/36),2025,Power Tiller,0
17,TWO WHEELER(T),All Vahan4 Running States (35/36),2025,Power Tiller,0
1,FOUR WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,Private Service Vehicle (Individual Use),0
2,HEAVY GOODS VEHICLE,All Vahan4 Running States (35/36),2025,Private Service Vehicle (Individual Use),0
3,HEAVY MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,Private Service Vehicle (Individual Use),31
4,HEAVY PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,Private Service Vehicle (Individual Use),0
5,LIGHT GOODS VEHICLE,All Vahan4 Running States (35/36),2025,Private Service Vehicle (Individual Use),0
6,LIGHT MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,Private Service Vehicle (Individual Use),"2,156"
7,LIGHT PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,Private Service Vehicle (Individual Use),0
8,MEDIUM GOODS VEHICLE,All Vahan4 Running States (35/36),2025,Private Service Vehicle (Individual Use),0
9,MEDIUM MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,Private Service Vehicle (Individual Use),31
10,MEDIUM PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,Private Service Vehicle (Individual Use),0
11,OTHER THAN MENTIONED ABOVE,All Vahan4 Running States (35/36),2025,Private Service Vehicle (Individual Use),0
12,THREE WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,Private Service Vehicle (Individual Use),0
13,THREE WHEELER(NT),All Vahan4 Running States (35/36),2025,Private Service Vehicle (Individual Use),0
14,THREE WHEELER(T),All Vahan4 Running States (35/36),2025,Private Service Vehicle (Individual Use),0
15,TWO WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,Private Service Vehicle (Individual Use),0
16,TWO WHEELER(NT),All Vahan4 Running States (35/36),2025,Private Service Vehicle (Individual Use),0
17,TWO WHEELER(T),All Vahan4 Running States (35/36),2025,Private Service Vehicle (Individual Use),0
1,FOUR WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,Camper Van / Trailer (Private Use),0
2,HEAVY GOODS VEHICLE,All Vahan4 Running States (35/36),2025,Camper Van / Trailer (Private Use),0
3,HEAVY MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,Camper Van / Trailer (Private Use),16
4,HEAVY PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,Camper Van / Trailer (Private Use),0
5,LIGHT GOODS VEHICLE,All Vahan4 Running States (35/36),2025,Camper Van / Trailer (Private Use),0
6,LIGHT MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,Camper Van / Trailer (Private Use),760
7,LIGHT PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,Camper Van / Trailer (Private Use),0
8,MEDIUM GOODS VEHICLE,All Vahan4 Running States (35/36),2025,Camper Van / Trailer (Private Use),0
9,MEDIUM MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,Camper Van / Trailer (Private Use),25
10,MEDIUM PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,Camper Van / Trailer (Private Use),0
11,OTHER THAN MENTIONED ABOVE,All Vahan4 Running States (35/36),2025,Camper Van / Trailer (Private Use),0
12,THREE WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,Camper Van / Trailer (Private Use),0
13,THREE WHEELER(NT),All Vahan4 Running States (35/36),2025,Camper Van / Trailer (Private Use),0
14,THREE WHEELER(T),All Vahan4 Running States (35/36),2025,Camper Van / Trailer (Private Use),0
15,TWO WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,Camper Van / Trailer (Private Use),0
16,TWO WHEELER(NT),All Vahan4 Running States (35/36),2025,Camper Van / Trailer (Private Use),0
17,TWO WHEELER(T),All Vahan4 Running States (35/36),2025,Camper Van / Trailer (Private Use),0
1,FOUR WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,Tow Truck,0
