S No,Vehicle Category,State,Year,Month,Value
14,TWO WHEELER(NT),Andhra Pradesh(84),2026,JAN,"52,933"
15,TWO WHEELER(T),Andhra Pradesh(84),2026,JAN,124
1,FOUR WHEELER (INVALID CARRIAGE),Andhra Pradesh(84),2026,FEB,5
2,HEAVY GOODS VEHICLE,Andhra Pradesh(84),2026,FEB,"1,201"
3,HEAVY MOTOR VEHICLE,Andhra Pradesh(84),2026,FEB,6
4,HEAVY PASSENGER VEHICLE,Andhra Pradesh(84),2026,FEB,11
5,LIGHT GOODS VEHICLE,Andhra Pradesh(84),2026,FEB,"2,254"
6,LIGHT MOTOR VEHICLE,Andhra Pradesh(84),2026,FEB,"7,422"
7,LIGHT PASSENGER VEHICLE,Andhra Pradesh(84),2026,FEB,410
8,MEDIUM GOODS VEHICLE,Andhra Pradesh(84),2026,FEB,74
9,MEDIUM MOTOR VEHICLE,Andhra Pradesh(84),2026,FEB,13
10,MEDIUM PASSENGER VEHICLE,Andhra Pradesh(84),2026,FEB,73
11,OTHER THAN MENTIONED ABOVE,Andhra Pradesh(84),2026,FEB,264
12,THREE WHEELER(T),Andhra Pradesh(84),2026,FEB,"3,858"
13,TWO WHEELER (INVALID CARRIAGE),Andhra Pradesh(84),2026,FEB,3
14,TWO WHEELER(NT),Andhra Pradesh(84),2026,FEB,"50,104"
15,TWO WHEELER(T),Andhra Pradesh(84),2026,FEB,14
1,HEAVY GOODS VEHICLE,Arunachal Pradesh(29),2026,JAN,95
2,HEAVY MOTOR VEHICLE,Arunachal Pradesh(29),2026,JAN,11
3,HEAVY PASSENGER VEHICLE,Arunachal Pradesh(29),2026,JAN,28
4,LIGHT GOODS VEHICLE,Arunachal Pradesh(29),2026,JAN,202
5,LIGHT MOTOR VEHICLE,Arunachal Pradesh(29),2026,JAN,"1,675"
6,LIGHT PASSENGER VEHICLE,Arunachal Pradesh(29),2026,JAN,3
7,MEDIUM GOODS VEHICLE,Arunachal Pradesh(29),2026,JAN,24
8,MEDIUM MOTOR VEHICLE,Arunachal Pradesh(29),2026,JAN,0
9,OTHER THAN MENTIONED ABOVE,Arunachal Pradesh(29),2026,JAN,37
10,THREE WHEELER(T),Arunachal Pradesh(29),2026,JAN,10
11,TWO WHEELER(NT),Arunachal Pradesh(29),2026,JAN,"1,392"
1,HEAVY GOODS VEHICLE,Arunachal Pradesh(29),2026,FEB,89
2,HEAVY MOTOR VEHICLE,Arunachal Pradesh(29),2026,FEB,6
3,HEAVY PASSENGER VEHICLE,Arunachal Pradesh(29),2026,FEB,133
4,LIGHT GOODS VEHICLE,Arunachal Pradesh(29),2026,FEB,161
5,LIGHT MOTOR VEHICLE,Arunachal Pradesh(29),2026,FEB,"1,123"
6,LIGHT PASSENGER VEHICLE,Arunachal Pradesh(29),2026,FEB,10
7,MEDIUM GOODS VEHICLE,Arunachal Pradesh(29),2026,FEB,15
8,MEDIUM MOTOR VEHICLE,Arunachal Pradesh(29),2026,FEB,1
9,OTHER THAN MENTIONED ABOVE,Arunachal Pradesh(29),2026,FEB,25
10,THREE WHEELER(T),Arunachal Pradesh(29),2026,FEB,7
11,TWO WHEELER(NT),Arunachal Pradesh(29),2026,FEB,931
1,FOUR WHEELER (INVALID CARRIAGE),Assam(33),2026,JAN,0
2,HEAVY GOODS VEHICLE,Assam(33),2026,JAN,424
3,HEAVY MOTOR VEHICLE,Assam(33),2026,JAN,8
4,HEAVY PASSENGER VEHICLE,Assam(33),2026,JAN,29
5,LIGHT GOODS VEHICLE,Assam(33),2026,JAN,"1,654"
6,LIGHT MOTOR VEHICLE,Assam(33),2026,JAN,"6,482"
7,LIGHT PASSENGER VEHICLE,Assam(33),2026,JAN,209
8,MEDIUM GOODS VEHICLE,Assam(33),2026,JAN,63
9,MEDIUM MOTOR VEHICLE,Assam(33),2026,JAN,3
10,MEDIUM PASSENGER VEHICLE,Assam(33),2026,JAN,62
11,OTHER THAN MENTIONED ABOVE,Assam(33),2026,JAN,108
12,THREE WHEELER(T),Assam(33),2026,JAN,"7,129"
13,TWO WHEELER(NT),Assam(33),2026,JAN,"38,012"
1,FOUR WHEELER (INVALID CARRIAGE),Assam(33),2026,FEB,1
2,HEAVY GOODS VEHICLE,Assam(33),2026,FEB,218
3,HEAVY MOTOR VEHICLE,Assam(33),2026,FEB,1
4,HEAVY PASSENGER VEHICLE,Assam(33),2026,FEB,80
5,LIGHT GOODS VEHICLE,Assam(33),2026,FEB,"1,272"
6,LIGHT MOTOR VEHICLE,Assam(33),2026,FEB,"4,166"
7,LIGHT PASSENGER VEHICLE,Assam(33),2026,FEB,147
8,MEDIUM GOODS VEHICLE,Assam(33),2026,FEB,22
9,MEDIUM MOTOR VEHICLE,Assam(33),2026,FEB,2
10,MEDIUM PASSENGER VEHICLE,Assam(33),2026,FEB,25
11,OTHER THAN MENTIONED ABOVE,Assam(33),2026,FEB,70
12,THREE WHEELER(T),Assam(33),2026,FEB,"5,716"
13,TWO WHEELER(NT),Assam(33),2026,FEB,"24,338"
1,FOUR WHEELER (INVALID CARRIAGE),Bihar(48),2026,JAN,1
2,HEAVY GOODS VEHICLE,Bihar(48),2026,JAN,"1,232"
3,HEAVY MOTOR VEHICLE,Bihar(48),2026,JAN,19
4,HEAVY PASSENGER VEHICLE,Bihar(48),2026,JAN,59
5,LIGHT GOODS VEHICLE,Bihar(48),2026,JAN,"3,698"
6,LIGHT MOTOR VEHICLE,Bihar(48),2026,JAN,"12,522"
7,LIGHT PASSENGER VEHICLE,Bihar(48),2026,JAN,809
8,MEDIUM GOODS VEHICLE,Bihar(48),2026,JAN,165
9,MEDIUM MOTOR VEHICLE,Bihar(48),2026,JAN,69
10,MEDIUM PASSENGER VEHICLE,Bihar(48),2026,JAN,115
11,OTHER THAN MENTIONED ABOVE,Bihar(48),2026,JAN,110
12,THREE WHEELER(T),Bihar(48),2026,JAN,"10,785"
13,TWO WHEELER(NT),Bihar(48),2026,JAN,"89,402"
14,TWO WHEELER(T),Bihar(48),2026,JAN,0
1,FOUR WHEELER (INVALID CARRIAGE),Bihar(48),2026,FEB,1
2,HEAVY GOODS VEHICLE,Bihar(48),2026,FEB,"1,037"
3,HEAVY MOTOR VEHICLE,Bihar(48),2026,FEB,2
4,HEAVY PASSENGER VEHICLE,Bihar(48),2026,FEB,90
5,LIGHT GOODS VEHICLE,Bihar(48),2026,FEB,"2,395"
6,LIGHT MOTOR VEHICLE,Bihar(48),2026,FEB,"7,444"
7,LIGHT PASSENGER VEHICLE,Bihar(48),2026,FEB,720
8,MEDIUM GOODS VEHICLE,Bihar(48),2026,FEB,66
9,MEDIUM MOTOR VEHICLE,Bihar(48),2026,FEB,24
10,MEDIUM PASSENGER VEHICLE,Bihar(48),2026,FEB,82
11,OTHER THAN MENTIONED ABOVE,Bihar(48),2026,FEB,114
12,THREE WHEELER(T),Bihar(48),2026,FEB,"7,247"
13,TWO WHEELER(NT),Bihar(48),2026,FEB,"73,096"
14,TWO WHEELER(T),Bihar(48),2026,FEB,41
1,FOUR WHEELER (INVALID CARRIAGE),Chhattisgarh(31),2026,JAN,4
2,HEAVY GOODS VEHICLE,Chhattisgarh(31),2026,JAN,"1,498"
3,HEAVY MOTOR VEHICLE,Chhattisgarh(31),2026,JAN,5
4,HEAVY PASSENGER VEHICLE,Chhattisgarh(31),2026,JAN,35
5,LIGHT GOODS VEHICLE,Chhattisgarh(31),2026,JAN,"1,983"
6,LIGHT MOTOR VEHICLE,Chhattisgarh(31),2026,JAN,"17,525"
7,LIGHT PASSENGER VEHICLE,Chhattisgarh(31),2026,JAN,403
8,MEDIUM GOODS VEHICLE,Chhattisgarh(31),2026,JAN,29
9,MEDIUM MOTOR VEHICLE,Chhattisgarh(31),2026,JAN,25
10,MEDIUM PASSENGER VEHICLE,Chhattisgarh(31),2026,JAN,73
11,OTHER THAN MENTIONED ABOVE,Chhattisgarh(31),2026,JAN,410
12,THREE WHEELER(T),Chhattisgarh(31),2026,JAN,"1,379"
13,TWO WHEELER(NT),Chhattisgarh(31),2026,JAN,"51,561"
1,FOUR WHEELER (INVALID CARRIAGE),Chhattisgarh(31),2026,FEB,1
2,HEAVY GOODS VEHICLE,Chhattisgarh(31),2026,FEB,877
3,HEAVY MOTOR VEHICLE,Chhattisgarh(31),2026,FEB,1
4,HEAVY PASSENGER VEHICLE,Chhattisgarh(31),2026,FEB,40
5,LIGHT GOODS VEHICLE,Chhattisgarh(31),2026,FEB,"1,494"
6,LIGHT MOTOR VEHICLE,Chhattisgarh(31),2026,FEB,"11,756"
7,LIGHT PASSENGER VEHICLE,Chhattisgarh(31),2026,FEB,311
8,MEDIUM GOODS VEHICLE,Chhattisgarh(31),2026,FEB,28
9,MEDIUM MOTOR VEHICLE,Chhattisgarh(31),2026,FEB,22
10,MEDIUM PASSENGER VEHICLE,Chhattisgarh(31),2026,FEB,40
11,OTHER THAN MENTIONED ABOVE,Chhattisgarh(31),2026,FEB,350
12,THREE WHEELER(T),Chhattisgarh(31),2026,FEB,955
13,TWO WHEELER(NT),Chhattisgarh(31),2026,FEB,"35,211"
1,FOUR WHEELER (INVALID CARRIAGE),Chandigarh(1),2026,JAN,23
2,HEAVY GOODS VEHICLE,Chandigarh(1),2026,JAN,8
3,HEAVY PASSENGER VEHICLE,Chandigarh(1),2026,JAN,17
4,LIGHT GOODS VEHICLE,Chandigarh(1),2026,JAN,50
5,LIGHT MOTOR VEHICLE,Chandigarh(1),2026,JAN,"2,167"
6,LIGHT PASSENGER VEHICLE,Chandigarh(1),2026,JAN,28
7,MEDIUM GOODS VEHICLE,Chandigarh(1),2026,JAN,7
8,MEDIUM MOTOR VEHICLE,Chandigarh(1),2026,JAN,0
9,MEDIUM PASSENGER VEHICLE,Chandigarh(1),2026,JAN,5
10,OTHER THAN MENTIONED ABOVE,Chandigarh(1),2026,JAN,7
11,THREE WHEELER(T),Chandigarh(1),2026,JAN,153
12,TWO WHEELER (INVALID CARRIAGE),Chandigarh(1),2026,JAN,1
13,TWO WHEELER(NT),Chandigarh(1),2026,JAN,"2,307"
14,TWO WHEELER(T),Chandigarh(1),2026,JAN,6
1,FOUR WHEELER (INVALID CARRIAGE),Chandigarh(1),2026,FEB,6
2,HEAVY GOODS VEHICLE,Chandigarh(1),2026,FEB,6
3,HEAVY PASSENGER VEHICLE,Chandigarh(1),2026,FEB,8
4,LIGHT GOODS VEHICLE,Chandigarh(1),2026,FEB,31
5,LIGHT MOTOR VEHICLE,Chandigarh(1),2026,FEB,"1,150"
6,LIGHT PASSENGER VEHICLE,Chandigarh(1),2026,FEB,22
7,MEDIUM GOODS VEHICLE,Chandigarh(1),2026,FEB,9
8,MEDIUM MOTOR VEHICLE,Chandigarh(1),2026,FEB,1
9,MEDIUM PASSENGER VEHICLE,Chandigarh(1),2026,FEB,3
10,OTHER THAN MENTIONED ABOVE,Chandigarh(1),2026,FEB,1
11,THREE WHEELER(T),Chandigarh(1),2026,FEB,120
12,TWO WHEELER (INVALID CARRIAGE),Chandigarh(1),2026,FEB,3
13,TWO WHEELER(NT),Chandigarh(1),2026,FEB,"1,614"
14,TWO WHEELER(T),Chandigarh(1),2026,FEB,3
1,HEAVY GOODS VEHICLE,UT of DNH and DD(3),2026,JAN,200
2,HEAVY MOTOR VEHICLE,UT of DNH and DD(3),2026,JAN,1
3,HEAVY PASSENGER VEHICLE,UT of DNH and DD(3),2026,JAN,0
4,LIGHT GOODS VEHICLE,UT of DNH and DD(3),2026,JAN,45
5,LIGHT MOTOR VEHICLE,UT of DNH and DD(3),2026,JAN,798
6,LIGHT PASSENGER VEHICLE,UT of DNH and DD(3),2026,JAN,25
7,MEDIUM GOODS VEHICLE,UT of DNH and DD(3),2026,JAN,28
8,MEDIUM MOTOR VEHICLE,UT of DNH and DD(3),2026,JAN,0
9,MEDIUM PASSENGER VEHICLE,UT of DNH and DD(3),2026,JAN,3
10,OTHER THAN MENTIONED ABOVE,UT of DNH and DD(3),2026,JAN,11
11,THREE WHEELER(NT),UT of DNH and DD(3),2026,JAN,1
12,THREE WHEELER(T),UT of DNH and DD(3),2026,JAN,5
13,TWO WHEELER(NT),UT of DNH and DD(3),2026,JAN,"1,315"
14,TWO WHEELER(T),UT of DNH and DD(3),2026,JAN,0
1,HEAVY GOODS VEHICLE,UT of DNH and DD(3),2026,FEB,149
2,HEAVY MOTOR VEHICLE,UT of DNH and DD(3),2026,FEB,0
3,HEAVY PASSENGER VEHICLE,UT of DNH and DD(3),2026,FEB,6
4,LIGHT GOODS VEHICLE,UT of DNH and DD(3),2026,FEB,56
5,LIGHT MOTOR VEHICLE,UT of DNH and DD(3),2026,FEB,481
6,LIGHT PASSENGER VEHICLE,UT of DNH and DD(3),2026,FEB,68
7,MEDIUM GOODS VEHICLE,UT of DNH and DD(3),2026,FEB,25
8,MEDIUM MOTOR VEHICLE,UT of DNH and DD(3),2026,FEB,1
9,MEDIUM PASSENGER VEHICLE,UT of DNH and DD(3),2026,FEB,7
10,OTHER THAN MENTIONED ABOVE,UT of DNH and DD(3),2026,FEB,6
11,THREE WHEELER(NT),UT of DNH and DD(3),2026,FEB,0
12,THREE WHEELER(T),UT of DNH and DD(3),2026,FEB,6
13,TWO WHEELER(NT),UT of DNH and DD(3),2026,FEB,"1,059"
14,TWO WHEELER(T),UT of DNH and DD(3),2026,FEB,7
1,FOUR WHEELER (INVALID CARRIAGE),Delhi(16),2026,JAN,32
2,HEAVY GOODS VEHICLE,Delhi(16),2026,JAN,87
3,HEAVY PASSENGER VEHICLE,Delhi(16),2026,JAN,261
4,LIGHT GOODS VEHICLE,Delhi(16),2026,JAN,"2,026"
5,LIGHT MOTOR VEHICLE,Delhi(16),2026,JAN,"24,635"
6,LIGHT PASSENGER VEHICLE,Delhi(16),2026,JAN,485
7,MEDIUM GOODS VEHICLE,Delhi(16),2026,JAN,185
8,MEDIUM MOTOR VEHICLE,Delhi(16),2026,JAN,0
9,MEDIUM PASSENGER VEHICLE,Delhi(16),2026,JAN,23
10,THREE WHEELER(T),Delhi(16),2026,JAN,"2,431"
11,TWO WHEELER(NT),Delhi(16),2026,JAN,"55,020"
1,FOUR WHEELER (INVALID CARRIAGE),Delhi(16),2026,FEB,9
2,HEAVY GOODS VEHICLE,Delhi(16),2026,FEB,80
3,HEAVY PASSENGER VEHICLE,Delhi(16),2026,FEB,146
4,LIGHT GOODS VEHICLE,Delhi(16),2026,FEB,"1,159"
5,LIGHT MOTOR VEHICLE,Delhi(16),2026,FEB,"11,430"
6,LIGHT PASSENGER VEHICLE,Delhi(16),2026,FEB,339
7,MEDIUM GOODS VEHICLE,Delhi(16),2026,FEB,130
8,MEDIUM MOTOR VEHICLE,Delhi(16),2026,FEB,16
9,MEDIUM PASSENGER VEHICLE,Delhi(16),2026,FEB,13
10,THREE WHEELER(T),Delhi(16),2026,FEB,"1,430"
11,TWO WHEELER(NT),Delhi(16),2026,FEB,"31,780"
1,HEAVY GOODS VEHICLE,Goa(13),2026,JAN,58
2,HEAVY PASSENGER VEHICLE,Goa(13),2026,JAN,2
3,LIGHT GOODS VEHICLE,Goa(13),2026,JAN,260
4,LIGHT MOTOR VEHICLE,Goa(13),2026,JAN,"2,204"
5,LIGHT PASSENGER VEHICLE,Goa(13),2026,JAN,241
6,MEDIUM GOODS VEHICLE,Goa(13),2026,JAN,46
7,MEDIUM PASSENGER VEHICLE,Goa(13),2026,JAN,9
8,OTHER THAN MENTIONED ABOVE,Goa(13),2026,JAN,16
9,THREE WHEELER(NT),Goa(13),2026,JAN,2
10,THREE WHEELER(T),Goa(13),2026,JAN,25
11,TWO WHEELER (INVALID CARRIAGE),Goa(13),2026,JAN,2
12,TWO WHEELER(NT),Goa(13),2026,JAN,"5,093"
13,TWO WHEELER(T),Goa(13),2026,JAN,200
1,HEAVY GOODS VEHICLE,Goa(13),2026,FEB,38
2,HEAVY PASSENGER VEHICLE,Goa(13),2026,FEB,0
3,LIGHT GOODS VEHICLE,Goa(13),2026,FEB,135
4,LIGHT MOTOR VEHICLE,Goa(13),2026,FEB,"1,099"
5,LIGHT PASSENGER VEHICLE,Goa(13),2026,FEB,172
6,MEDIUM GOODS VEHICLE,Goa(13),2026,FEB,12
7,MEDIUM PASSENGER VEHICLE,Goa(13),2026,FEB,6
8,OTHER THAN MENTIONED ABOVE,Goa(13),2026,FEB,3
9,THREE WHEELER(NT),Goa(13),2026,FEB,0
10,THREE WHEELER(T),Goa(13),2026,FEB,11
11,TWO WHEELER (INVALID CARRIAGE),Goa(13),2026,FEB,2
12,TWO WHEELER(NT),Goa(13),2026,FEB,"3,819"
13,TWO WHEELER(T),Goa(13),2026,FEB,126
1,FOUR WHEELER (INVALID CARRIAGE),Gujarat(37),2026,JAN,54
2,HEAVY GOODS VEHICLE,Gujarat(37),2026,JAN,"2,851"
3,HEAVY MOTOR VEHICLE,Gujarat(37),2026,JAN,6
4,HEAVY PASSENGER VEHICLE,Gujarat(37),2026,JAN,70
5,LIGHT GOODS VEHICLE,Gujarat(37),2026,JAN,"6,578"
6,LIGHT MOTOR VEHICLE,Gujarat(37),2026,JAN,"54,410"
7,LIGHT PASSENGER VEHICLE,Gujarat(37),2026,JAN,754
8,MEDIUM GOODS VEHICLE,Gujarat(37),2026,JAN,275
9,MEDIUM MOTOR VEHICLE,Gujarat(37),2026,JAN,91
10,MEDIUM PASSENGER VEHICLE,Gujarat(37),2026,JAN,70
11,OTHER THAN MENTIONED ABOVE,Gujarat(37),2026,JAN,936
12,THREE WHEELER(NT),Gujarat(37),2026,JAN,1
13,THREE WHEELER(T),Gujarat(37),2026,JAN,"9,526"
14,TWO WHEELER (INVALID CARRIAGE),Gujarat(37),2026,JAN,18
15,TWO WHEELER(NT),Gujarat(37),2026,JAN,"1,33,797"
16,TWO WHEELER(T),Gujarat(37),2026,JAN,7
1,FOUR WHEELER (INVALID CARRIAGE),Gujarat(37),2026,FEB,43
2,HEAVY GOODS VEHICLE,Gujarat(37),2026,FEB,"2,154"
3,HEAVY MOTOR VEHICLE,Gujarat(37),2026,FEB,7
4,HEAVY PASSENGER VEHICLE,Gujarat(37),2026,FEB,53
5,LIGHT GOODS VEHICLE,Gujarat(37),2026,FEB,"4,218"
6,LIGHT MOTOR VEHICLE,Gujarat(37),2026,FEB,"27,097"
7,LIGHT PASSENGER VEHICLE,Gujarat(37),2026,FEB,"2,089"
8,MEDIUM GOODS VEHICLE,Gujarat(37),2026,FEB,242
9,MEDIUM MOTOR VEHICLE,Gujarat(37),2026,FEB,90
10,MEDIUM PASSENGER VEHICLE,Gujarat(37),2026,FEB,102
11,OTHER THAN MENTIONED ABOVE,Gujarat(37),2026,FEB,776
12,THREE WHEELER(NT),Gujarat(37),2026,FEB,0
13,THREE WHEELER(T),Gujarat(37),2026,FEB,"6,423"
14,TWO WHEELER (INVALID CARRIAGE),Gujarat(37),2026,FEB,28
15,TWO WHEELER(NT),Gujarat(37),2026,FEB,"93,124"
16,TWO WHEELER(T),Gujarat(37),2026,FEB,0
1,HEAVY GOODS VEHICLE,Himachal Pradesh(96),2026,JAN,315
2,HEAVY MOTOR VEHICLE,Himachal Pradesh(96),2026,JAN,1
3,HEAVY PASSENGER VEHICLE,Himachal Pradesh(96),2026,JAN,7
4,LIGHT GOODS VEHICLE,Himachal Pradesh(96),2026,JAN,623
5,LIGHT MOTOR VEHICLE,Himachal Pradesh(96),2026,JAN,"6,542"
6,LIGHT PASSENGER VEHICLE,Himachal Pradesh(96),2026,JAN,514
7,MEDIUM GOODS VEHICLE,Himachal Pradesh(96),2026,JAN,64
8,MEDIUM MOTOR VEHICLE,Himachal Pradesh(96),2026,JAN,3
9,MEDIUM PASSENGER VEHICLE,Himachal Pradesh(96),2026,JAN,16
10,OTHER THAN MENTIONED ABOVE,Himachal Pradesh(96),2026,JAN,37
11,THREE WHEELER(T),Himachal Pradesh(96),2026,JAN,16
12,TWO WHEELER(NT),Himachal Pradesh(96),2026,JAN,"7,211"
13,TWO WHEELER(T),Himachal Pradesh(96),2026,JAN,74
1,HEAVY GOODS VEHICLE,Himachal Pradesh(96),2026,FEB,248
2,HEAVY MOTOR VEHICLE,Himachal Pradesh(96),2026,FEB,0
3,HEAVY PASSENGER VEHICLE,Himachal Pradesh(96),2026,FEB,9
4,LIGHT GOODS VEHICLE,Himachal Pradesh(96),2026,FEB,459
5,LIGHT MOTOR VEHICLE,Himachal Pradesh(96),2026,FEB,"3,428"
6,LIGHT PASSENGER VEHICLE,Himachal Pradesh(96),2026,FEB,712
7,MEDIUM GOODS VEHICLE,Himachal Pradesh(96),2026,FEB,56
8,MEDIUM MOTOR VEHICLE,Himachal Pradesh(96),2026,FEB,0
9,MEDIUM PASSENGER VEHICLE,Himachal Pradesh(96),2026,FEB,12
10,OTHER THAN MENTIONED ABOVE,Himachal Pradesh(96),2026,FEB,24
11,THREE WHEELER(T),Himachal Pradesh(96),2026,FEB,14
12,TWO WHEELER(NT),Himachal Pradesh(96),2026,FEB,"4,053"
13,TWO WHEELER(T),Himachal Pradesh(96),2026,FEB,32
1,FOUR WHEELER (INVALID CARRIAGE),Haryana(104),2026,JAN,3
2,HEAVY GOODS VEHICLE,Haryana(104),2026,JAN,"3,927"
3,HEAVY MOTOR VEHICLE,Haryana(104),2026,JAN,72
4,HEAVY PASSENGER VEHICLE,Haryana(104),2026,JAN,23
5,LIGHT GOODS VEHICLE,Haryana(104),2026,JAN,"2,746"
6,LIGHT MOTOR VEHICLE,Haryana(104),2026,JAN,"37,751"
7,LIGHT PASSENGER VEHICLE,Haryana(104),2026,JAN,"1,073"
8,MEDIUM GOODS VEHICLE,Haryana(104),2026,JAN,808
9,MEDIUM MOTOR VEHICLE,Haryana(104),2026,JAN,46
10,MEDIUM PASSENGER VEHICLE,Haryana(104),2026,JAN,48
11,OTHER THAN MENTIONED ABOVE,Haryana(104),2026,JAN,309
12,THREE WHEELER(T),Haryana(104),2026,JAN,"2,907"
13,TWO WHEELER(NT),Haryana(104),2026,JAN,"53,920"
14,TWO WHEELER(T),Haryana(104),2026,JAN,61
