S No,Norms,State,Year,Vehicle Class,Value
8,BHARAT (TREM) STAGE III,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Generator,0
9,BHARAT (TREM) STAGE III A,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Generator,0
10,BHARAT (TREM) STAGE III B,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Generator,0
11,CEV STAGE IV,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Generator,0
12,CEV STAGE V,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Generator,0
13,EURO 1,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Generator,0
14,EURO 2,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Generator,0
15,EURO 3,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Generator,0
16,EURO 6,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Generator,1
17,NOT AVAILABLE,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Generator,0
18,TREM STAGE IV,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Generator,0
19,TREM STAGE V,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Generator,0
1,BHARAT STAGE I,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Compressor,0
2,BHARAT STAGE II,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Compressor,0
3,BHARAT STAGE III,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Compressor,0
4,BHARAT STAGE III (CEV),All Vahan4 Running States (35/36),2026,Vehicle Fitted With Compressor,0
5,BHARAT STAGE III/IV,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Compressor,0
6,BHARAT STAGE IV,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Compressor,0
7,BHARAT STAGE VI,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Compressor,19
8,BHARAT (TREM) STAGE III,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Compressor,0
9,BHARAT (TREM) STAGE III A,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Compressor,4
10,BHARAT (TREM) STAGE III B,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Compressor,0
11,CEV STAGE IV,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Compressor,0
12,CEV STAGE V,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Compressor,0
13,EURO 1,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Compressor,0
14,EURO 2,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Compressor,0
15,EURO 3,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Compressor,0
16,EURO 6,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Compressor,0
17,NOT AVAILABLE,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Compressor,0
18,TREM STAGE IV,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Compressor,0
19,TREM STAGE V,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Compressor,0
1,BHARAT STAGE I,All Vahan4 Running States (35/36),2026,Crane Mounted Vehicle,0
2,BHARAT STAGE II,All Vahan4 Running States (35/36),2026,Crane Mounted Vehicle,0
3,BHARAT STAGE III,All Vahan4 Running States (35/36),2026,Crane Mounted Vehicle,0
4,BHARAT STAGE III (CEV),All Vahan4 Running States (35/36),2026,Crane Mounted Vehicle,7
5,BHARAT STAGE III/IV,All Vahan4 Running States (35/36),2026,Crane Mounted Vehicle,0
6,BHARAT STAGE IV,All Vahan4 Running States (35/36),2026,Crane Mounted Vehicle,0
7,BHARAT STAGE VI,All Vahan4 Running States (35/36),2026,Crane Mounted Vehicle,72
8,BHARAT (TREM) STAGE III,All Vahan4 Running States (35/36),2026,Crane Mounted Vehicle,0
9,BHARAT (TREM) STAGE III A,All Vahan4 Running States (35/36),2026,Crane Mounted Vehicle,0
10,BHARAT (TREM) STAGE III B,All Vahan4 Running States (35/36),2026,Crane Mounted Vehicle,5
11,CEV STAGE IV,All Vahan4 Running States (35/36),2026,Crane Mounted Vehicle,3
12,CEV STAGE V,All Vahan4 Running States (35/36),2026,Crane Mounted Vehicle,"1,131"
13,EURO 1,All Vahan4 Running States (35/36),2026,Crane Mounted Vehicle,0
14,EURO 2,All Vahan4 Running States (35/36),2026,Crane Mounted Vehicle,0
15,EURO 3,All Vahan4 Running States (35/36),2026,Crane Mounted Vehicle,0
16,EURO 6,All Vahan4 Running States (35/36),2026,Crane Mounted Vehicle,0
17,NOT AVAILABLE,All Vahan4 Running States (35/36),2026,Crane Mounted Vehicle,0
18,TREM STAGE IV,All Vahan4 Running States (35/36),2026,Crane Mounted Vehicle,0
19,TREM STAGE V,All Vahan4 Running States (35/36),2026,Crane Mounted Vehicle,0
1,BHARAT STAGE I,All Vahan4 Running States (35/36),2026,Agricultural Tractor,0
2,BHARAT STAGE II,All Vahan4 Running States (35/36),2026,Agricultural Tractor,0
3,BHARAT STAGE III,All Vahan4 Running States (35/36),2026,Agricultural Tractor,0
4,BHARAT STAGE III (CEV),All Vahan4 Running States (35/36),2026,Agricultural Tractor,0
5,BHARAT STAGE III/IV,All Vahan4 Running States (35/36),2026,Agricultural Tractor,0
6,BHARAT STAGE IV,All Vahan4 Running States (35/36),2026,Agricultural Tractor,0
7,BHARAT STAGE VI,All Vahan4 Running States (35/36),2026,Agricultural Tractor,3
8,BHARAT (TREM) STAGE III,All Vahan4 Running States (35/36),2026,Agricultural Tractor,8
9,BHARAT (TREM) STAGE III A,All Vahan4 Running States (35/36),2026,Agricultural Tractor,"1,68,485"
10,BHARAT (TREM) STAGE III B,All Vahan4 Running States (35/36),2026,Agricultural Tractor,0
11,CEV STAGE IV,All Vahan4 Running States (35/36),2026,Agricultural Tractor,0
12,CEV STAGE V,All Vahan4 Running States (35/36),2026,Agricultural Tractor,0
13,EURO 1,All Vahan4 Running States (35/36),2026,Agricultural Tractor,0
14,EURO 2,All Vahan4 Running States (35/36),2026,Agricultural Tractor,0
15,EURO 3,All Vahan4 Running States (35/36),2026,Agricultural Tractor,0
16,EURO 6,All Vahan4 Running States (35/36),2026,Agricultural Tractor,0
17,NOT AVAILABLE,All Vahan4 Running States (35/36),2026,Agricultural Tractor,12
18,TREM STAGE IV,All Vahan4 Running States (35/36),2026,Agricultural Tractor,"3,240"
19,TREM STAGE V,All Vahan4 Running States (35/36),2026,Agricultural Tractor,6
1,BHARAT STAGE I,All Vahan4 Running States (35/36),2026,Power Tiller,0
2,BHARAT STAGE II,All Vahan4 Running States (35/36),2026,Power Tiller,0
3,BHARAT STAGE III,All Vahan4 Running States (35/36),2026,Power Tiller,0
4,BHARAT STAGE III (CEV),All Vahan4 Running States (35/36),2026,Power Tiller,0
5,BHARAT STAGE III/IV,All Vahan4 Running States (35/36),2026,Power Tiller,0
6,BHARAT STAGE IV,All Vahan4 Running States (35/36),2026,Power Tiller,0
7,BHARAT STAGE VI,All Vahan4 Running States (35/36),2026,Power Tiller,0
8,BHARAT (TREM) STAGE III,All Vahan4 Running States (35/36),2026,Power Tiller,0
9,BHARAT (TREM) STAGE III A,All Vahan4 Running States (35/36),2026,Power Tiller,0
10,BHARAT (TREM) STAGE III B,All Vahan4 Running States (35/36),2026,Power Tiller,0
11,CEV STAGE IV,All Vahan4 Running States (35/36),2026,Power Tiller,0
12,CEV STAGE V,All Vahan4 Running States (35/36),2026,Power Tiller,0
13,EURO 1,All Vahan4 Running States (35/36),2026,Power Tiller,0
14,EURO 2,All Vahan4 Running States (35/36),2026,Power Tiller,0
15,EURO 3,All Vahan4 Running States (35/36),2026,Power Tiller,0
16,EURO 6,All Vahan4 Running States (35/36),2026,Power Tiller,0
17,NOT AVAILABLE,All Vahan4 Running States (35/36),2026,Power Tiller,0
18,TREM STAGE IV,All Vahan4 Running States (35/36),2026,Power Tiller,0
19,TREM STAGE V,All Vahan4 Running States (35/36),2026,Power Tiller,0
1,BHARAT STAGE I,All Vahan4 Running States (35/36),2026,Private Service Vehicle (Individual Use),0
2,BHARAT STAGE II,All Vahan4 Running States (35/36),2026,Private Service Vehicle (Individual Use),0
3,BHARAT STAGE III,All Vahan4 Running States (35/36),2026,Private Service Vehicle (Individual Use),0
4,BHARAT STAGE III (CEV),All Vahan4 Running States (35/36),2026,Private Service Vehicle (Individual Use),0
5,BHARAT STAGE III/IV,All Vahan4 Running States (35/36),2026,Private Service Vehicle (Individual Use),0
6,BHARAT STAGE IV,All Vahan4 Running States (35/36),2026,Private Service Vehicle (Individual Use),0
7,BHARAT STAGE VI,All Vahan4 Running States (35/36),2026,Private Service Vehicle (Individual Use),313
8,BHARAT (TREM) STAGE III,All Vahan4 Running States (35/36),2026,Private Service Vehicle (Individual Use),0
9,BHARAT (TREM) STAGE III A,All Vahan4 Running States (35/36),2026,Private Service Vehicle (Individual Use),0
10,BHARAT (TREM) STAGE III B,All Vahan4 Running States (35/36),2026,Private Service Vehicle (Individual Use),0
11,CEV STAGE IV,All Vahan4 Running States (35/36),2026,Private Service Vehicle (Individual Use),0
12,CEV STAGE V,All Vahan4 Running States (35/36),2026,Private Service Vehicle (Individual Use),0
13,EURO 1,All Vahan4 Running States (35/36),2026,Private Service Vehicle (Individual Use),0
14,EURO 2,All Vahan4 Running States (35/36),2026,Private Service Vehicle (Individual Use),0
15,EURO 3,All Vahan4 Running States (35/36),2026,Private Service Vehicle (Individual Use),0
16,EURO 6,All Vahan4 Running States (35/36),2026,Private Service Vehicle (Individual Use),0
17,NOT AVAILABLE,All Vahan4 Running States (35/36),2026,Private Service Vehicle (Individual Use),0
18,TREM STAGE IV,All Vahan4 Running States (35/36),2026,Private Service Vehicle (Individual Use),0
19,TREM STAGE V,All Vahan4 Running States (35/36),2026,Private Service Vehicle (Individual Use),0
1,BHARAT STAGE I,All Vahan4 Running States (35/36),2026,Camper Van / Trailer (Private Use),0
2,BHARAT STAGE II,All Vahan4 Running States (35/36),2026,Camper Van / Trailer (Private Use),1
3,BHARAT STAGE III,All Vahan4 Running States (35/36),2026,Camper Van / Trailer (Private Use),0
4,BHARAT STAGE III (CEV),All Vahan4 Running States (35/36),2026,Camper Van / Trailer (Private Use),0
5,BHARAT STAGE III/IV,All Vahan4 Running States (35/36),2026,Camper Van / Trailer (Private Use),0
6,BHARAT STAGE IV,All Vahan4 Running States (35/36),2026,Camper Van / Trailer (Private Use),0
7,BHARAT STAGE VI,All Vahan4 Running States (35/36),2026,Camper Van / Trailer (Private Use),125
8,BHARAT (TREM) STAGE III,All Vahan4 Running States (35/36),2026,Camper Van / Trailer (Private Use),0
9,BHARAT (TREM) STAGE III A,All Vahan4 Running States (35/36),2026,Camper Van / Trailer (Private Use),0
10,BHARAT (TREM) STAGE III B,All Vahan4 Running States (35/36),2026,Camper Van / Trailer (Private Use),0
11,CEV STAGE IV,All Vahan4 Running States (35/36),2026,Camper Van / Trailer (Private Use),0
12,CEV STAGE V,All Vahan4 Running States (35/36),2026,Camper Van / Trailer (Private Use),0
13,EURO 1,All Vahan4 Running States (35/36),2026,Camper Van / Trailer (Private Use),0
14,EURO 2,All Vahan4 Running States (35/36),2026,Camper Van / Trailer (Private Use),0
