S No,Vehicle Class,State,Year,Fuel,Value
41,MOTOR CARAVAN,All Vahan4 Running States (35/36),2025,BIO-DIESEL(B100),0
42,MOTOR CYCLE/SCOOTER-SIDECAR(T),All Vahan4 Running States (35/36),2025,BIO-DIESEL(B100),0
43,MOTOR CYCLE/SCOOTER-USED FOR HIRE,All Vahan4 Running States (35/36),2025,BIO-DIESEL(B100),0
44,MOTORISED CYCLE (CC > 25CC),All Vahan4 Running States (35/36),2025,BIO-DIESEL(B100),0
45,OMNI BUS,All Vahan4 Running States (35/36),2025,BIO-DIESEL(B100),0
46,OMNI BUS (PRIVATE USE),All Vahan4 Running States (35/36),2025,BIO-DIESEL(B100),0
47,PRIVATE SERVICE VEHICLE,All Vahan4 Running States (35/36),2025,BIO-DIESEL(B100),0
48,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),All Vahan4 Running States (35/36),2025,BIO-DIESEL(B100),0
49,PULLER TRACTOR,All Vahan4 Running States (35/36),2025,BIO-DIESEL(B100),0
50,QUADRICYCLE (COMMERCIAL),All Vahan4 Running States (35/36),2025,BIO-DIESEL(B100),0
51,QUADRICYCLE (PRIVATE),All Vahan4 Running States (35/36),2025,BIO-DIESEL(B100),0
52,RECOVERY VEHICLE,All Vahan4 Running States (35/36),2025,BIO-DIESEL(B100),0
53,ROAD ROLLER,All Vahan4 Running States (35/36),2025,BIO-DIESEL(B100),0
54,SCHOOL BUS,All Vahan4 Running States (35/36),2025,BIO-DIESEL(B100),0
55,SEMI-TRAILER (COMMERCIAL),All Vahan4 Running States (35/36),2025,BIO-DIESEL(B100),0
56,SNORKED LADDERS,All Vahan4 Running States (35/36),2025,BIO-DIESEL(B100),0
57,THREE WHEELER (GOODS),All Vahan4 Running States (35/36),2025,BIO-DIESEL(B100),0
58,THREE WHEELER (PASSENGER),All Vahan4 Running States (35/36),2025,BIO-DIESEL(B100),0
59,THREE WHEELER (PERSONAL),All Vahan4 Running States (35/36),2025,BIO-DIESEL(B100),0
60,TOWER WAGON,All Vahan4 Running States (35/36),2025,BIO-DIESEL(B100),0
61,TOW TRUCK,All Vahan4 Running States (35/36),2025,BIO-DIESEL(B100),0
62,TRACTOR (COMMERCIAL),All Vahan4 Running States (35/36),2025,BIO-DIESEL(B100),0
