S No,Vehicle Category,State,Year,Fuel,Value
11,OTHER THAN MENTIONED ABOVE,Assam(33),2026,PETROL(E20)/LPG,0
12,THREE WHEELER(T),Assam(33),2026,PETROL(E20)/LPG,0
13,TWO WHEELER(NT),Assam(33),2026,PETROL(E20)/LPG,0
1,FOUR WHEELER (INVALID CARRIAGE),Assam(33),2026,PETROL/ETHANOL,0
2,HEAVY GOODS VEHICLE,Assam(33),2026,PETROL/ETHANOL,0
3,HEAVY MOTOR VEHICLE,Assam(33),2026,PETROL/ETHANOL,0
4,HEAVY PASSENGER VEHICLE,Assam(33),2026,PETROL/ETHANOL,0
5,LIGHT GOODS VEHICLE,Assam(33),2026,PETROL/ETHANOL,544
6,LIGHT MOTOR VEHICLE,Assam(33),2026,PETROL/ETHANOL,"7,356"
7,LIGHT PASSENGER VEHICLE,Assam(33),2026,PETROL/ETHANOL,121
8,MEDIUM GOODS VEHICLE,Assam(33),2026,PETROL/ETHANOL,0
9,MEDIUM MOTOR VEHICLE,Assam(33),2026,PETROL/ETHANOL,0
10,MEDIUM PASSENGER VEHICLE,Assam(33),2026,PETROL/ETHANOL,0
11,OTHER THAN MENTIONED ABOVE,Assam(33),2026,PETROL/ETHANOL,0
12,THREE WHEELER(T),Assam(33),2026,PETROL/ETHANOL,365
13,TWO WHEELER(NT),Assam(33),2026,PETROL/ETHANOL,"45,186"
1,FOUR WHEELER (INVALID CARRIAGE),Assam(33),2026,PETROL/HYBRID,0
2,HEAVY GOODS VEHICLE,Assam(33),2026,PETROL/HYBRID,0
3,HEAVY MOTOR VEHICLE,Assam(33),2026,PETROL/HYBRID,0
4,HEAVY PASSENGER VEHICLE,Assam(33),2026,PETROL/HYBRID,0
5,LIGHT GOODS VEHICLE,Assam(33),2026,PETROL/HYBRID,0
6,LIGHT MOTOR VEHICLE,Assam(33),2026,PETROL/HYBRID,136
7,LIGHT PASSENGER VEHICLE,Assam(33),2026,PETROL/HYBRID,0
8,MEDIUM GOODS VEHICLE,Assam(33),2026,PETROL/HYBRID,0
9,MEDIUM MOTOR VEHICLE,Assam(33),2026,PETROL/HYBRID,0
