state_code,state_name,vehicle_group,maker,year,month,count
-1,All India,TWO WHEELER,BHOOMI ENGINEERING,2025,Vehicle Category Group,0
-1,All India,TWO WHEELER,BHOYAR AGRO IND WARDHA,2025,Vehicle Category Group,6
-1,All India,TWO WHEELER,BIDISHA ENTERPRISES PVT LTD MAYURBHANJ RAIRANGPUR,2025,Vehicle Category Group,0
-1,All India,TWO WHEELER,BIG BULL TRADER PVT LTD,2025,Vehicle Category Group,888
-1,All India,TWO WHEELER,BILLU ELECTRIC MOTOR VEHICLES,2025,Vehicle Category Group,1
-1,All India,TWO WHEELER,BLACK DIAMOND MOTORS PVT LTD,2025,Vehicle Category Group,1
-1,All India,TWO WHEELER,BLUE EDGE TRADE VENTURE PVT. LTD,2025,Vehicle Category Group,9
-1,All India,TWO WHEELER,BLUE ENERGY COMMERCIAL VEHICLES PVT. LTD.,2025,Vehicle Category Group,49
-1,All India,TWO WHEELER,BMR EV INDUSTRIES PVT LTD,2025,Vehicle Category Group,1
-1,All India,TWO WHEELER,BMW INDIA PVT LTD,2025,Vehicle Category Group,2624
-1,All India,TWO WHEELER,BOOMA INNOVATIVE TRANSPORT SULUTIONS PVT LTD,2025,Vehicle Category Group,160
-1,All India,TWO WHEELER,BOSS ENTERPRISES,2025,Vehicle Category Group,24
-1,All India,TWO WHEELER,BOUNCE ELECTRIC 1 PVT LTD,2025,Vehicle Category Group,125
-1,All India,TWO WHEELER,BRB MEXICO S.A DE C.V,2025,Vehicle Category Group,45
-1,All India,TWO WHEELER,BRIGHT AUTOZONE PVT LTD,2025,Vehicle Category Group,210
-1,All India,TWO WHEELER,BRIGHT SAFAR,2025,Vehicle Category Group,17
-1,All India,TWO WHEELER,BSERAIL ENGINEERING PVT LTD,2025,Vehicle Category Group,3
-1,All India,TWO WHEELER,BSMS AGRICULTURE WORKSHOP,2025,Vehicle Category Group,1
-1,All India,TWO WHEELER,BULL MACHINES PVT LTD,2025,Vehicle Category Group,179
-1,All India,TWO WHEELER,BUZZCHARGE ELECTRIC VEHICLES PVT LTD,2025,Vehicle Category Group,0
-1,All India,TWO WHEELER,BYD INDIA PRIVATE LIMITED,2025,Vehicle Category Group,240
-1,All India,TWO WHEELER,CAKE 0 EMISSION (IMPORTER: PEPFUELS TECHNOLOGIES),2025,Vehicle Category Group,1
-1,All India,TWO WHEELER,CAPCO INDUSTRIES PVT LTD,2025,Vehicle Category Group,0
