S No,Vehicle Class,State,Year,Norms,Value
9,CONSTRUCTION EQUIPMENT VEHICLE,Haryana(104),2026,BS III,0
10,CRANE MOUNTED VEHICLE,Haryana(104),2026,BS III,0
11,EARTH MOVING EQUIPMENT,Haryana(104),2026,BS III,0
12,EDUCATIONAL INSTITUTION BUS,Haryana(104),2026,BS III,0
13,E-RICKSHAW(P),Haryana(104),2026,BS III,0
14,E-RICKSHAW WITH CART (G),Haryana(104),2026,BS III,0
15,EXCAVATOR (NT),Haryana(104),2026,BS III,0
16,FIRE TENDERS,Haryana(104),2026,BS III,0
17,FORK LIFT,Haryana(104),2026,BS III,0
18,GOODS CARRIER,Haryana(104),2026,BS III,0
19,HARVESTER,Haryana(104),2026,BS III,0
20,HEARSES,Haryana(104),2026,BS III,0
21,LUXURY CAB,Haryana(104),2026,BS III,0
22,MAXI CAB,Haryana(104),2026,BS III,0
23,M-CYCLE/SCOOTER,Haryana(104),2026,BS III,0
24,M-CYCLE/SCOOTER-WITH SIDE CAR,Haryana(104),2026,BS III,0
25,MOBILE CLINIC,Haryana(104),2026,BS III,0
26,MOPED,Haryana(104),2026,BS III,0
27,MOTOR CAB,Haryana(104),2026,BS III,0
28,MOTOR CAR,Haryana(104),2026,BS III,0
29,MOTOR CYCLE/SCOOTER-USED FOR HIRE,Haryana(104),2026,BS III,0
30,MOTORISED CYCLE (CC > 25CC),Haryana(104),2026,BS III,0
31,OMNI BUS,Haryana(104),2026,BS III,0
32,OMNI BUS (PRIVATE USE),Haryana(104),2026,BS III,0
33,RECOVERY VEHICLE,Haryana(104),2026,BS III,0
34,THREE WHEELER (GOODS),Haryana(104),2026,BS III,0
35,THREE WHEELER (PASSENGER),Haryana(104),2026,BS III,0
36,TRAILER (COMMERCIAL),Haryana(104),2026,BS III,0
1,ADAPTED VEHICLE,Haryana(104),2026,BS III (CEV),0
2,AGRICULTURAL TRACTOR,Haryana(104),2026,BS III (CEV),0
3,AMBULANCE,Haryana(104),2026,BS III (CEV),0
4,ANIMAL AMBULANCE,Haryana(104),2026,BS III (CEV),0
5,ARTICULATED VEHICLE,Haryana(104),2026,BS III (CEV),0
6,BUS,Haryana(104),2026,BS III (CEV),0
7,CAMPER VAN / TRAILER (PRIVATE USE),Haryana(104),2026,BS III (CEV),0
8,CASH VAN,Haryana(104),2026,BS III (CEV),0
9,CONSTRUCTION EQUIPMENT VEHICLE,Haryana(104),2026,BS III (CEV),0
10,CRANE MOUNTED VEHICLE,Haryana(104),2026,BS III (CEV),6
11,EARTH MOVING EQUIPMENT,Haryana(104),2026,BS III (CEV),0
12,EDUCATIONAL INSTITUTION BUS,Haryana(104),2026,BS III (CEV),0
13,E-RICKSHAW(P),Haryana(104),2026,BS III (CEV),0
14,E-RICKSHAW WITH CART (G),Haryana(104),2026,BS III (CEV),0
15,EXCAVATOR (NT),Haryana(104),2026,BS III (CEV),0
16,FIRE TENDERS,Haryana(104),2026,BS III (CEV),0
17,FORK LIFT,Haryana(104),2026,BS III (CEV),0
18,GOODS CARRIER,Haryana(104),2026,BS III (CEV),0
19,HARVESTER,Haryana(104),2026,BS III (CEV),0
20,HEARSES,Haryana(104),2026,BS III (CEV),0
21,LUXURY CAB,Haryana(104),2026,BS III (CEV),0
22,MAXI CAB,Haryana(104),2026,BS III (CEV),0
23,M-CYCLE/SCOOTER,Haryana(104),2026,BS III (CEV),0
24,M-CYCLE/SCOOTER-WITH SIDE CAR,Haryana(104),2026,BS III (CEV),0
25,MOBILE CLINIC,Haryana(104),2026,BS III (CEV),0
26,MOPED,Haryana(104),2026,BS III (CEV),0
27,MOTOR CAB,Haryana(104),2026,BS III (CEV),0
28,MOTOR CAR,Haryana(104),2026,BS III (CEV),0
29,MOTOR CYCLE/SCOOTER-USED FOR HIRE,Haryana(104),2026,BS III (CEV),0
30,MOTORISED CYCLE (CC > 25CC),Haryana(104),2026,BS III (CEV),0
31,OMNI BUS,Haryana(104),2026,BS III (CEV),0
32,OMNI BUS (PRIVATE USE),Haryana(104),2026,BS III (CEV),0
33,RECOVERY VEHICLE,Haryana(104),2026,BS III (CEV),0
34,THREE WHEELER (GOODS),Haryana(104),2026,BS III (CEV),0
35,THREE WHEELER (PASSENGER),Haryana(104),2026,BS III (CEV),0
36,TRAILER (COMMERCIAL),Haryana(104),2026,BS III (CEV),0
1,ADAPTED VEHICLE,Haryana(104),2026,BS III/IV,0
2,AGRICULTURAL TRACTOR,Haryana(104),2026,BS III/IV,0
3,AMBULANCE,Haryana(104),2026,BS III/IV,0
4,ANIMAL AMBULANCE,Haryana(104),2026,BS III/IV,0
5,ARTICULATED VEHICLE,Haryana(104),2026,BS III/IV,0
6,BUS,Haryana(104),2026,BS III/IV,0
7,CAMPER VAN / TRAILER (PRIVATE USE),Haryana(104),2026,BS III/IV,0
8,CASH VAN,Haryana(104),2026,BS III/IV,0
9,CONSTRUCTION EQUIPMENT VEHICLE,Haryana(104),2026,BS III/IV,0
10,CRANE MOUNTED VEHICLE,Haryana(104),2026,BS III/IV,0
11,EARTH MOVING EQUIPMENT,Haryana(104),2026,BS III/IV,0
12,EDUCATIONAL INSTITUTION BUS,Haryana(104),2026,BS III/IV,0
13,E-RICKSHAW(P),Haryana(104),2026,BS III/IV,0
14,E-RICKSHAW WITH CART (G),Haryana(104),2026,BS III/IV,0
15,EXCAVATOR (NT),Haryana(104),2026,BS III/IV,0
16,FIRE TENDERS,Haryana(104),2026,BS III/IV,0
17,FORK LIFT,Haryana(104),2026,BS III/IV,0
18,GOODS CARRIER,Haryana(104),2026,BS III/IV,0
19,HARVESTER,Haryana(104),2026,BS III/IV,0
20,HEARSES,Haryana(104),2026,BS III/IV,0
21,LUXURY CAB,Haryana(104),2026,BS III/IV,0
22,MAXI CAB,Haryana(104),2026,BS III/IV,0
23,M-CYCLE/SCOOTER,Haryana(104),2026,BS III/IV,0
24,M-CYCLE/SCOOTER-WITH SIDE CAR,Haryana(104),2026,BS III/IV,0
25,MOBILE CLINIC,Haryana(104),2026,BS III/IV,0
26,MOPED,Haryana(104),2026,BS III/IV,0
27,MOTOR CAB,Haryana(104),2026,BS III/IV,0
28,MOTOR CAR,Haryana(104),2026,BS III/IV,0
29,MOTOR CYCLE/SCOOTER-USED FOR HIRE,Haryana(104),2026,BS III/IV,0
30,MOTORISED CYCLE (CC > 25CC),Haryana(104),2026,BS III/IV,0
31,OMNI BUS,Haryana(104),2026,BS III/IV,0
32,OMNI BUS (PRIVATE USE),Haryana(104),2026,BS III/IV,0
33,RECOVERY VEHICLE,Haryana(104),2026,BS III/IV,0
34,THREE WHEELER (GOODS),Haryana(104),2026,BS III/IV,0
35,THREE WHEELER (PASSENGER),Haryana(104),2026,BS III/IV,0
36,TRAILER (COMMERCIAL),Haryana(104),2026,BS III/IV,0
1,ADAPTED VEHICLE,Haryana(104),2026,BS IV,0
2,AGRICULTURAL TRACTOR,Haryana(104),2026,BS IV,0
3,AMBULANCE,Haryana(104),2026,BS IV,0
4,ANIMAL AMBULANCE,Haryana(104),2026,BS IV,0
5,ARTICULATED VEHICLE,Haryana(104),2026,BS IV,0
6,BUS,Haryana(104),2026,BS IV,0
7,CAMPER VAN / TRAILER (PRIVATE USE),Haryana(104),2026,BS IV,0
8,CASH VAN,Haryana(104),2026,BS IV,0
9,CONSTRUCTION EQUIPMENT VEHICLE,Haryana(104),2026,BS IV,0
10,CRANE MOUNTED VEHICLE,Haryana(104),2026,BS IV,0
11,EARTH MOVING EQUIPMENT,Haryana(104),2026,BS IV,0
12,EDUCATIONAL INSTITUTION BUS,Haryana(104),2026,BS IV,0
13,E-RICKSHAW(P),Haryana(104),2026,BS IV,0
14,E-RICKSHAW WITH CART (G),Haryana(104),2026,BS IV,0
15,EXCAVATOR (NT),Haryana(104),2026,BS IV,0
16,FIRE TENDERS,Haryana(104),2026,BS IV,0
17,FORK LIFT,Haryana(104),2026,BS IV,0
18,GOODS CARRIER,Haryana(104),2026,BS IV,0
19,HARVESTER,Haryana(104),2026,BS IV,0
20,HEARSES,Haryana(104),2026,BS IV,0
21,LUXURY CAB,Haryana(104),2026,BS IV,0
22,MAXI CAB,Haryana(104),2026,BS IV,0
23,M-CYCLE/SCOOTER,Haryana(104),2026,BS IV,0
24,M-CYCLE/SCOOTER-WITH SIDE CAR,Haryana(104),2026,BS IV,0
25,MOBILE CLINIC,Haryana(104),2026,BS IV,0
26,MOPED,Haryana(104),2026,BS IV,0
27,MOTOR CAB,Haryana(104),2026,BS IV,1
28,MOTOR CAR,Haryana(104),2026,BS IV,1
29,MOTOR CYCLE/SCOOTER-USED FOR HIRE,Haryana(104),2026,BS IV,0
30,MOTORISED CYCLE (CC > 25CC),Haryana(104),2026,BS IV,0
31,OMNI BUS,Haryana(104),2026,BS IV,0
32,OMNI BUS (PRIVATE USE),Haryana(104),2026,BS IV,0
33,RECOVERY VEHICLE,Haryana(104),2026,BS IV,0
34,THREE WHEELER (GOODS),Haryana(104),2026,BS IV,0
35,THREE WHEELER (PASSENGER),Haryana(104),2026,BS IV,0
36,TRAILER (COMMERCIAL),Haryana(104),2026,BS IV,0
1,ADAPTED VEHICLE,Haryana(104),2026,BS IV/VI,0
2,AGRICULTURAL TRACTOR,Haryana(104),2026,BS IV/VI,0
3,AMBULANCE,Haryana(104),2026,BS IV/VI,0
4,ANIMAL AMBULANCE,Haryana(104),2026,BS IV/VI,0
5,ARTICULATED VEHICLE,Haryana(104),2026,BS IV/VI,0
6,BUS,Haryana(104),2026,BS IV/VI,0
7,CAMPER VAN / TRAILER (PRIVATE USE),Haryana(104),2026,BS IV/VI,0
8,CASH VAN,Haryana(104),2026,BS IV/VI,0
9,CONSTRUCTION EQUIPMENT VEHICLE,Haryana(104),2026,BS IV/VI,0
10,CRANE MOUNTED VEHICLE,Haryana(104),2026,BS IV/VI,0
11,EARTH MOVING EQUIPMENT,Haryana(104),2026,BS IV/VI,0
12,EDUCATIONAL INSTITUTION BUS,Haryana(104),2026,BS IV/VI,0
13,E-RICKSHAW(P),Haryana(104),2026,BS IV/VI,0
14,E-RICKSHAW WITH CART (G),Haryana(104),2026,BS IV/VI,0
15,EXCAVATOR (NT),Haryana(104),2026,BS IV/VI,0
16,FIRE TENDERS,Haryana(104),2026,BS IV/VI,0
17,FORK LIFT,Haryana(104),2026,BS IV/VI,0
18,GOODS CARRIER,Haryana(104),2026,BS IV/VI,0
19,HARVESTER,Haryana(104),2026,BS IV/VI,0
20,HEARSES,Haryana(104),2026,BS IV/VI,0
21,LUXURY CAB,Haryana(104),2026,BS IV/VI,0
22,MAXI CAB,Haryana(104),2026,BS IV/VI,0
23,M-CYCLE/SCOOTER,Haryana(104),2026,BS IV/VI,0
24,M-CYCLE/SCOOTER-WITH SIDE CAR,Haryana(104),2026,BS IV/VI,0
25,MOBILE CLINIC,Haryana(104),2026,BS IV/VI,0
26,MOPED,Haryana(104),2026,BS IV/VI,0
27,MOTOR CAB,Haryana(104),2026,BS IV/VI,0
28,MOTOR CAR,Haryana(104),2026,BS IV/VI,0
29,MOTOR CYCLE/SCOOTER-USED FOR HIRE,Haryana(104),2026,BS IV/VI,0
30,MOTORISED CYCLE (CC > 25CC),Haryana(104),2026,BS IV/VI,0
31,OMNI BUS,Haryana(104),2026,BS IV/VI,0
32,OMNI BUS (PRIVATE USE),Haryana(104),2026,BS IV/VI,0
33,RECOVERY VEHICLE,Haryana(104),2026,BS IV/VI,0
34,THREE WHEELER (GOODS),Haryana(104),2026,BS IV/VI,0
35,THREE WHEELER (PASSENGER),Haryana(104),2026,BS IV/VI,0
36,TRAILER (COMMERCIAL),Haryana(104),2026,BS IV/VI,0
1,ADAPTED VEHICLE,Haryana(104),2026,BS VI,4
2,AGRICULTURAL TRACTOR,Haryana(104),2026,BS VI,0
3,AMBULANCE,Haryana(104),2026,BS VI,89
4,ANIMAL AMBULANCE,Haryana(104),2026,BS VI,7
5,ARTICULATED VEHICLE,Haryana(104),2026,BS VI,149
6,BUS,Haryana(104),2026,BS VI,315
7,CAMPER VAN / TRAILER (PRIVATE USE),Haryana(104),2026,BS VI,79
8,CASH VAN,Haryana(104),2026,BS VI,1
9,CONSTRUCTION EQUIPMENT VEHICLE,Haryana(104),2026,BS VI,3
10,CRANE MOUNTED VEHICLE,Haryana(104),2026,BS VI,3
11,EARTH MOVING EQUIPMENT,Haryana(104),2026,BS VI,0
12,EDUCATIONAL INSTITUTION BUS,Haryana(104),2026,BS VI,182
13,E-RICKSHAW(P),Haryana(104),2026,BS VI,0
14,E-RICKSHAW WITH CART (G),Haryana(104),2026,BS VI,0
15,EXCAVATOR (NT),Haryana(104),2026,BS VI,1
16,FIRE TENDERS,Haryana(104),2026,BS VI,3
17,FORK LIFT,Haryana(104),2026,BS VI,4
18,GOODS CARRIER,Haryana(104),2026,BS VI,"12,325"
19,HARVESTER,Haryana(104),2026,BS VI,0
20,HEARSES,Haryana(104),2026,BS VI,2
21,LUXURY CAB,Haryana(104),2026,BS VI,2
22,MAXI CAB,Haryana(104),2026,BS VI,113
23,M-CYCLE/SCOOTER,Haryana(104),2026,BS VI,"86,389"
24,M-CYCLE/SCOOTER-WITH SIDE CAR,Haryana(104),2026,BS VI,17
25,MOBILE CLINIC,Haryana(104),2026,BS VI,2
26,MOPED,Haryana(104),2026,BS VI,201
27,MOTOR CAB,Haryana(104),2026,BS VI,"4,316"
28,MOTOR CAR,Haryana(104),2026,BS VI,"52,627"
29,MOTOR CYCLE/SCOOTER-USED FOR HIRE,Haryana(104),2026,BS VI,62
30,MOTORISED CYCLE (CC > 25CC),Haryana(104),2026,BS VI,5
31,OMNI BUS,Haryana(104),2026,BS VI,3
32,OMNI BUS (PRIVATE USE),Haryana(104),2026,BS VI,2
33,RECOVERY VEHICLE,Haryana(104),2026,BS VI,6
34,THREE WHEELER (GOODS),Haryana(104),2026,BS VI,740
35,THREE WHEELER (PASSENGER),Haryana(104),2026,BS VI,"1,407"
36,TRAILER (COMMERCIAL),Haryana(104),2026,BS VI,0
1,ADAPTED VEHICLE,Haryana(104),2026,B(T)S III,0
2,AGRICULTURAL TRACTOR,Haryana(104),2026,B(T)S III,0
3,AMBULANCE,Haryana(104),2026,B(T)S III,0
4,ANIMAL AMBULANCE,Haryana(104),2026,B(T)S III,0
5,ARTICULATED VEHICLE,Haryana(104),2026,B(T)S III,0
6,BUS,Haryana(104),2026,B(T)S III,0
7,CAMPER VAN / TRAILER (PRIVATE USE),Haryana(104),2026,B(T)S III,0
8,CASH VAN,Haryana(104),2026,B(T)S III,0
9,CONSTRUCTION EQUIPMENT VEHICLE,Haryana(104),2026,B(T)S III,0
10,CRANE MOUNTED VEHICLE,Haryana(104),2026,B(T)S III,0
11,EARTH MOVING EQUIPMENT,Haryana(104),2026,B(T)S III,0
12,EDUCATIONAL INSTITUTION BUS,Haryana(104),2026,B(T)S III,0
13,E-RICKSHAW(P),Haryana(104),2026,B(T)S III,0
14,E-RICKSHAW WITH CART (G),Haryana(104),2026,B(T)S III,0
15,EXCAVATOR (NT),Haryana(104),2026,B(T)S III,0
16,FIRE TENDERS,Haryana(104),2026,B(T)S III,0
17,FORK LIFT,Haryana(104),2026,B(T)S III,0
18,GOODS CARRIER,Haryana(104),2026,B(T)S III,0
19,HARVESTER,Haryana(104),2026,B(T)S III,1
20,HEARSES,Haryana(104),2026,B(T)S III,0
21,LUXURY CAB,Haryana(104),2026,B(T)S III,0
22,MAXI CAB,Haryana(104),2026,B(T)S III,0
23,M-CYCLE/SCOOTER,Haryana(104),2026,B(T)S III,0
24,M-CYCLE/SCOOTER-WITH SIDE CAR,Haryana(104),2026,B(T)S III,0
25,MOBILE CLINIC,Haryana(104),2026,B(T)S III,0
26,MOPED,Haryana(104),2026,B(T)S III,0
27,MOTOR CAB,Haryana(104),2026,B(T)S III,0
28,MOTOR CAR,Haryana(104),2026,B(T)S III,0
29,MOTOR CYCLE/SCOOTER-USED FOR HIRE,Haryana(104),2026,B(T)S III,0
30,MOTORISED CYCLE (CC > 25CC),Haryana(104),2026,B(T)S III,0
31,OMNI BUS,Haryana(104),2026,B(T)S III,0
32,OMNI BUS (PRIVATE USE),Haryana(104),2026,B(T)S III,0
33,RECOVERY VEHICLE,Haryana(104),2026,B(T)S III,0
34,THREE WHEELER (GOODS),Haryana(104),2026,B(T)S III,0
35,THREE WHEELER (PASSENGER),Haryana(104),2026,B(T)S III,0
36,TRAILER (COMMERCIAL),Haryana(104),2026,B(T)S III,0
1,ADAPTED VEHICLE,Haryana(104),2026,B(T)S III A,0
2,AGRICULTURAL TRACTOR,Haryana(104),2026,B(T)S III A,"9,101"
3,AMBULANCE,Haryana(104),2026,B(T)S III A,0
4,ANIMAL AMBULANCE,Haryana(104),2026,B(T)S III A,0
5,ARTICULATED VEHICLE,Haryana(104),2026,B(T)S III A,0
6,BUS,Haryana(104),2026,B(T)S III A,0
7,CAMPER VAN / TRAILER (PRIVATE USE),Haryana(104),2026,B(T)S III A,0
8,CASH VAN,Haryana(104),2026,B(T)S III A,0
9,CONSTRUCTION EQUIPMENT VEHICLE,Haryana(104),2026,B(T)S III A,0
10,CRANE MOUNTED VEHICLE,Haryana(104),2026,B(T)S III A,0
11,EARTH MOVING EQUIPMENT,Haryana(104),2026,B(T)S III A,0
12,EDUCATIONAL INSTITUTION BUS,Haryana(104),2026,B(T)S III A,0
13,E-RICKSHAW(P),Haryana(104),2026,B(T)S III A,0
14,E-RICKSHAW WITH CART (G),Haryana(104),2026,B(T)S III A,0
15,EXCAVATOR (NT),Haryana(104),2026,B(T)S III A,0
16,FIRE TENDERS,Haryana(104),2026,B(T)S III A,0
17,FORK LIFT,Haryana(104),2026,B(T)S III A,0
18,GOODS CARRIER,Haryana(104),2026,B(T)S III A,0
19,HARVESTER,Haryana(104),2026,B(T)S III A,6
20,HEARSES,Haryana(104),2026,B(T)S III A,0
21,LUXURY CAB,Haryana(104),2026,B(T)S III A,0
22,MAXI CAB,Haryana(104),2026,B(T)S III A,0
23,M-CYCLE/SCOOTER,Haryana(104),2026,B(T)S III A,0
24,M-CYCLE/SCOOTER-WITH SIDE CAR,Haryana(104),2026,B(T)S III A,0
25,MOBILE CLINIC,Haryana(104),2026,B(T)S III A,0
26,MOPED,Haryana(104),2026,B(T)S III A,0
27,MOTOR CAB,Haryana(104),2026,B(T)S III A,0
28,MOTOR CAR,Haryana(104),2026,B(T)S III A,0
29,MOTOR CYCLE/SCOOTER-USED FOR HIRE,Haryana(104),2026,B(T)S III A,0
30,MOTORISED CYCLE (CC > 25CC),Haryana(104),2026,B(T)S III A,0
31,OMNI BUS,Haryana(104),2026,B(T)S III A,0
32,OMNI BUS (PRIVATE USE),Haryana(104),2026,B(T)S III A,0
33,RECOVERY VEHICLE,Haryana(104),2026,B(T)S III A,0
34,THREE WHEELER (GOODS),Haryana(104),2026,B(T)S III A,0
35,THREE WHEELER (PASSENGER),Haryana(104),2026,B(T)S III A,0
36,TRAILER (COMMERCIAL),Haryana(104),2026,B(T)S III A,0
1,ADAPTED VEHICLE,Haryana(104),2026,B(T)S III B,0
2,AGRICULTURAL TRACTOR,Haryana(104),2026,B(T)S III B,0
3,AMBULANCE,Haryana(104),2026,B(T)S III B,0
4,ANIMAL AMBULANCE,Haryana(104),2026,B(T)S III B,0
5,ARTICULATED VEHICLE,Haryana(104),2026,B(T)S III B,0
6,BUS,Haryana(104),2026,B(T)S III B,0
7,CAMPER VAN / TRAILER (PRIVATE USE),Haryana(104),2026,B(T)S III B,0
8,CASH VAN,Haryana(104),2026,B(T)S III B,0
9,CONSTRUCTION EQUIPMENT VEHICLE,Haryana(104),2026,B(T)S III B,12
10,CRANE MOUNTED VEHICLE,Haryana(104),2026,B(T)S III B,5
11,EARTH MOVING EQUIPMENT,Haryana(104),2026,B(T)S III B,1
12,EDUCATIONAL INSTITUTION BUS,Haryana(104),2026,B(T)S III B,0
13,E-RICKSHAW(P),Haryana(104),2026,B(T)S III B,0
14,E-RICKSHAW WITH CART (G),Haryana(104),2026,B(T)S III B,0
15,EXCAVATOR (NT),Haryana(104),2026,B(T)S III B,2
16,FIRE TENDERS,Haryana(104),2026,B(T)S III B,0
17,FORK LIFT,Haryana(104),2026,B(T)S III B,1
18,GOODS CARRIER,Haryana(104),2026,B(T)S III B,0
19,HARVESTER,Haryana(104),2026,B(T)S III B,0
20,HEARSES,Haryana(104),2026,B(T)S III B,0
21,LUXURY CAB,Haryana(104),2026,B(T)S III B,0
22,MAXI CAB,Haryana(104),2026,B(T)S III B,0
23,M-CYCLE/SCOOTER,Haryana(104),2026,B(T)S III B,0
24,M-CYCLE/SCOOTER-WITH SIDE CAR,Haryana(104),2026,B(T)S III B,0
25,MOBILE CLINIC,Haryana(104),2026,B(T)S III B,0
26,MOPED,Haryana(104),2026,B(T)S III B,0
27,MOTOR CAB,Haryana(104),2026,B(T)S III B,0
28,MOTOR CAR,Haryana(104),2026,B(T)S III B,0
29,MOTOR CYCLE/SCOOTER-USED FOR HIRE,Haryana(104),2026,B(T)S III B,0
30,MOTORISED CYCLE (CC > 25CC),Haryana(104),2026,B(T)S III B,0
31,OMNI BUS,Haryana(104),2026,B(T)S III B,0
32,OMNI BUS (PRIVATE USE),Haryana(104),2026,B(T)S III B,0
33,RECOVERY VEHICLE,Haryana(104),2026,B(T)S III B,0
34,THREE WHEELER (GOODS),Haryana(104),2026,B(T)S III B,0
35,THREE WHEELER (PASSENGER),Haryana(104),2026,B(T)S III B,0
36,TRAILER (COMMERCIAL),Haryana(104),2026,B(T)S III B,0
1,ADAPTED VEHICLE,Haryana(104),2026,CEV STAGE IV,0
2,AGRICULTURAL TRACTOR,Haryana(104),2026,CEV STAGE IV,0
3,AMBULANCE,Haryana(104),2026,CEV STAGE IV,0
4,ANIMAL AMBULANCE,Haryana(104),2026,CEV STAGE IV,0
5,ARTICULATED VEHICLE,Haryana(104),2026,CEV STAGE IV,0
6,BUS,Haryana(104),2026,CEV STAGE IV,0
7,CAMPER VAN / TRAILER (PRIVATE USE),Haryana(104),2026,CEV STAGE IV,0
8,CASH VAN,Haryana(104),2026,CEV STAGE IV,0
9,CONSTRUCTION EQUIPMENT VEHICLE,Haryana(104),2026,CEV STAGE IV,4
10,CRANE MOUNTED VEHICLE,Haryana(104),2026,CEV STAGE IV,0
11,EARTH MOVING EQUIPMENT,Haryana(104),2026,CEV STAGE IV,0
12,EDUCATIONAL INSTITUTION BUS,Haryana(104),2026,CEV STAGE IV,0
13,E-RICKSHAW(P),Haryana(104),2026,CEV STAGE IV,0
14,E-RICKSHAW WITH CART (G),Haryana(104),2026,CEV STAGE IV,0
15,EXCAVATOR (NT),Haryana(104),2026,CEV STAGE IV,0
16,FIRE TENDERS,Haryana(104),2026,CEV STAGE IV,0
17,FORK LIFT,Haryana(104),2026,CEV STAGE IV,0
18,GOODS CARRIER,Haryana(104),2026,CEV STAGE IV,0
19,HARVESTER,Haryana(104),2026,CEV STAGE IV,0
20,HEARSES,Haryana(104),2026,CEV STAGE IV,0
21,LUXURY CAB,Haryana(104),2026,CEV STAGE IV,0
22,MAXI CAB,Haryana(104),2026,CEV STAGE IV,0
23,M-CYCLE/SCOOTER,Haryana(104),2026,CEV STAGE IV,0
24,M-CYCLE/SCOOTER-WITH SIDE CAR,Haryana(104),2026,CEV STAGE IV,0
25,MOBILE CLINIC,Haryana(104),2026,CEV STAGE IV,0
26,MOPED,Haryana(104),2026,CEV STAGE IV,0
27,MOTOR CAB,Haryana(104),2026,CEV STAGE IV,0
28,MOTOR CAR,Haryana(104),2026,CEV STAGE IV,0
29,MOTOR CYCLE/SCOOTER-USED FOR HIRE,Haryana(104),2026,CEV STAGE IV,0
30,MOTORISED CYCLE (CC > 25CC),Haryana(104),2026,CEV STAGE IV,0
31,OMNI BUS,Haryana(104),2026,CEV STAGE IV,0
32,OMNI BUS (PRIVATE USE),Haryana(104),2026,CEV STAGE IV,0
33,RECOVERY VEHICLE,Haryana(104),2026,CEV STAGE IV,0
34,THREE WHEELER (GOODS),Haryana(104),2026,CEV STAGE IV,0
35,THREE WHEELER (PASSENGER),Haryana(104),2026,CEV STAGE IV,0
36,TRAILER (COMMERCIAL),Haryana(104),2026,CEV STAGE IV,0
1,ADAPTED VEHICLE,Haryana(104),2026,CEV STAGE V,0
2,AGRICULTURAL TRACTOR,Haryana(104),2026,CEV STAGE V,0
3,AMBULANCE,Haryana(104),2026,CEV STAGE V,0
4,ANIMAL AMBULANCE,Haryana(104),2026,CEV STAGE V,0
5,ARTICULATED VEHICLE,Haryana(104),2026,CEV STAGE V,0
6,BUS,Haryana(104),2026,CEV STAGE V,0
7,CAMPER VAN / TRAILER (PRIVATE USE),Haryana(104),2026,CEV STAGE V,0
8,CASH VAN,Haryana(104),2026,CEV STAGE V,0
9,CONSTRUCTION EQUIPMENT VEHICLE,Haryana(104),2026,CEV STAGE V,322
10,CRANE MOUNTED VEHICLE,Haryana(104),2026,CEV STAGE V,129
11,EARTH MOVING EQUIPMENT,Haryana(104),2026,CEV STAGE V,63
12,EDUCATIONAL INSTITUTION BUS,Haryana(104),2026,CEV STAGE V,0
13,E-RICKSHAW(P),Haryana(104),2026,CEV STAGE V,0
14,E-RICKSHAW WITH CART (G),Haryana(104),2026,CEV STAGE V,0
15,EXCAVATOR (NT),Haryana(104),2026,CEV STAGE V,0
16,FIRE TENDERS,Haryana(104),2026,CEV STAGE V,0
17,FORK LIFT,Haryana(104),2026,CEV STAGE V,11
18,GOODS CARRIER,Haryana(104),2026,CEV STAGE V,0
19,HARVESTER,Haryana(104),2026,CEV STAGE V,0
20,HEARSES,Haryana(104),2026,CEV STAGE V,0
21,LUXURY CAB,Haryana(104),2026,CEV STAGE V,0
22,MAXI CAB,Haryana(104),2026,CEV STAGE V,0
23,M-CYCLE/SCOOTER,Haryana(104),2026,CEV STAGE V,0
24,M-CYCLE/SCOOTER-WITH SIDE CAR,Haryana(104),2026,CEV STAGE V,0
25,MOBILE CLINIC,Haryana(104),2026,CEV STAGE V,0
26,MOPED,Haryana(104),2026,CEV STAGE V,0
27,MOTOR CAB,Haryana(104),2026,CEV STAGE V,0
28,MOTOR CAR,Haryana(104),2026,CEV STAGE V,0
29,MOTOR CYCLE/SCOOTER-USED FOR HIRE,Haryana(104),2026,CEV STAGE V,0
30,MOTORISED CYCLE (CC > 25CC),Haryana(104),2026,CEV STAGE V,0
31,OMNI BUS,Haryana(104),2026,CEV STAGE V,0
32,OMNI BUS (PRIVATE USE),Haryana(104),2026,CEV STAGE V,0
33,RECOVERY VEHICLE,Haryana(104),2026,CEV STAGE V,0
34,THREE WHEELER (GOODS),Haryana(104),2026,CEV STAGE V,0
35,THREE WHEELER (PASSENGER),Haryana(104),2026,CEV STAGE V,0
36,TRAILER (COMMERCIAL),Haryana(104),2026,CEV STAGE V,0
1,ADAPTED VEHICLE,Haryana(104),2026,EURO 1,0
2,AGRICULTURAL TRACTOR,Haryana(104),2026,EURO 1,0
3,AMBULANCE,Haryana(104),2026,EURO 1,0
4,ANIMAL AMBULANCE,Haryana(104),2026,EURO 1,0
5,ARTICULATED VEHICLE,Haryana(104),2026,EURO 1,0
6,BUS,Haryana(104),2026,EURO 1,0
7,CAMPER VAN / TRAILER (PRIVATE USE),Haryana(104),2026,EURO 1,0
8,CASH VAN,Haryana(104),2026,EURO 1,0
9,CONSTRUCTION EQUIPMENT VEHICLE,Haryana(104),2026,EURO 1,0
10,CRANE MOUNTED VEHICLE,Haryana(104),2026,EURO 1,0
11,EARTH MOVING EQUIPMENT,Haryana(104),2026,EURO 1,0
12,EDUCATIONAL INSTITUTION BUS,Haryana(104),2026,EURO 1,0
13,E-RICKSHAW(P),Haryana(104),2026,EURO 1,0
14,E-RICKSHAW WITH CART (G),Haryana(104),2026,EURO 1,0
