S No,Fuel,State,Year,Norms,Value
11,PETROL/HYBRID,Himachal Pradesh(96),2025,EURO  6AD,0
12,PETROL/METHANOL,Himachal Pradesh(96),2025,EURO  6AD,0
13,PLUG-IN HYBRID EV,Himachal Pradesh(96),2025,EURO  6AD,0
14,PURE EV,Himachal Pradesh(96),2025,EURO  6AD,0
15,STRONG HYBRID EV,Himachal Pradesh(96),2025,EURO  6AD,0
1,CNG ONLY,Himachal Pradesh(96),2025,EURO 6B,0
2,DIESEL,Himachal Pradesh(96),2025,EURO 6B,0
3,DIESEL/HYBRID,Himachal Pradesh(96),2025,EURO 6B,0
4,ELECTRIC(BOV),Himachal Pradesh(96),2025,EURO 6B,0
5,ETHANOL,Himachal Pradesh(96),2025,EURO 6B,0
6,PETROL,Himachal Pradesh(96),2025,EURO 6B,0
7,PETROL/CNG,Himachal Pradesh(96),2025,EURO 6B,0
8,PETROL(E20)/CNG,Himachal Pradesh(96),2025,EURO 6B,0
9,PETROL(E20)/HYBRID,Himachal Pradesh(96),2025,EURO 6B,0
10,PETROL/ETHANOL,Himachal Pradesh(96),2025,EURO 6B,0
11,PETROL/HYBRID,Himachal Pradesh(96),2025,EURO 6B,0
12,PETROL/METHANOL,Himachal Pradesh(96),2025,EURO 6B,0
13,PLUG-IN HYBRID EV,Himachal Pradesh(96),2025,EURO 6B,0
14,PURE EV,Himachal Pradesh(96),2025,EURO 6B,0
15,STRONG HYBRID EV,Himachal Pradesh(96),2025,EURO 6B,0
1,CNG ONLY,Himachal Pradesh(96),2025,EURO 6C,0
2,DIESEL,Himachal Pradesh(96),2025,EURO 6C,0
3,DIESEL/HYBRID,Himachal Pradesh(96),2025,EURO 6C,0
4,ELECTRIC(BOV),Himachal Pradesh(96),2025,EURO 6C,0
5,ETHANOL,Himachal Pradesh(96),2025,EURO 6C,0
6,PETROL,Himachal Pradesh(96),2025,EURO 6C,0
7,PETROL/CNG,Himachal Pradesh(96),2025,EURO 6C,0
8,PETROL(E20)/CNG,Himachal Pradesh(96),2025,EURO 6C,0
9,PETROL(E20)/HYBRID,Himachal Pradesh(96),2025,EURO 6C,0
10,PETROL/ETHANOL,Himachal Pradesh(96),2025,EURO 6C,0
11,PETROL/HYBRID,Himachal Pradesh(96),2025,EURO 6C,0
12,PETROL/METHANOL,Himachal Pradesh(96),2025,EURO 6C,0
13,PLUG-IN HYBRID EV,Himachal Pradesh(96),2025,EURO 6C,0
14,PURE EV,Himachal Pradesh(96),2025,EURO 6C,0
15,STRONG HYBRID EV,Himachal Pradesh(96),2025,EURO 6C,0
1,CNG ONLY,Himachal Pradesh(96),2025,EURO 6D,0
2,DIESEL,Himachal Pradesh(96),2025,EURO 6D,0
3,DIESEL/HYBRID,Himachal Pradesh(96),2025,EURO 6D,0
4,ELECTRIC(BOV),Himachal Pradesh(96),2025,EURO 6D,0
5,ETHANOL,Himachal Pradesh(96),2025,EURO 6D,0
6,PETROL,Himachal Pradesh(96),2025,EURO 6D,0
7,PETROL/CNG,Himachal Pradesh(96),2025,EURO 6D,0
8,PETROL(E20)/CNG,Himachal Pradesh(96),2025,EURO 6D,0
9,PETROL(E20)/HYBRID,Himachal Pradesh(96),2025,EURO 6D,0
10,PETROL/ETHANOL,Himachal Pradesh(96),2025,EURO 6D,0
11,PETROL/HYBRID,Himachal Pradesh(96),2025,EURO 6D,0
12,PETROL/METHANOL,Himachal Pradesh(96),2025,EURO 6D,0
13,PLUG-IN HYBRID EV,Himachal Pradesh(96),2025,EURO 6D,0
14,PURE EV,Himachal Pradesh(96),2025,EURO 6D,0
15,STRONG HYBRID EV,Himachal Pradesh(96),2025,EURO 6D,0
1,CNG ONLY,Himachal Pradesh(96),2025,Not Applicable,0
2,DIESEL,Himachal Pradesh(96),2025,Not Applicable,0
3,DIESEL/HYBRID,Himachal Pradesh(96),2025,Not Applicable,0
4,ELECTRIC(BOV),Himachal Pradesh(96),2025,Not Applicable,0
5,ETHANOL,Himachal Pradesh(96),2025,Not Applicable,0
6,PETROL,Himachal Pradesh(96),2025,Not Applicable,0
7,PETROL/CNG,Himachal Pradesh(96),2025,Not Applicable,0
8,PETROL(E20)/CNG,Himachal Pradesh(96),2025,Not Applicable,0
9,PETROL(E20)/HYBRID,Himachal Pradesh(96),2025,Not Applicable,0
10,PETROL/ETHANOL,Himachal Pradesh(96),2025,Not Applicable,0
11,PETROL/HYBRID,Himachal Pradesh(96),2025,Not Applicable,0
12,PETROL/METHANOL,Himachal Pradesh(96),2025,Not Applicable,0
13,PLUG-IN HYBRID EV,Himachal Pradesh(96),2025,Not Applicable,0
14,PURE EV,Himachal Pradesh(96),2025,Not Applicable,0
15,STRONG HYBRID EV,Himachal Pradesh(96),2025,Not Applicable,0
1,CNG ONLY,Himachal Pradesh(96),2025,Not Available,0
2,DIESEL,Himachal Pradesh(96),2025,Not Available,0
3,DIESEL/HYBRID,Himachal Pradesh(96),2025,Not Available,0
4,ELECTRIC(BOV),Himachal Pradesh(96),2025,Not Available,568
5,ETHANOL,Himachal Pradesh(96),2025,Not Available,0
6,PETROL,Himachal Pradesh(96),2025,Not Available,1
7,PETROL/CNG,Himachal Pradesh(96),2025,Not Available,0
8,PETROL(E20)/CNG,Himachal Pradesh(96),2025,Not Available,0
9,PETROL(E20)/HYBRID,Himachal Pradesh(96),2025,Not Available,0
10,PETROL/ETHANOL,Himachal Pradesh(96),2025,Not Available,0
11,PETROL/HYBRID,Himachal Pradesh(96),2025,Not Available,0
12,PETROL/METHANOL,Himachal Pradesh(96),2025,Not Available,0
13,PLUG-IN HYBRID EV,Himachal Pradesh(96),2025,Not Available,0
14,PURE EV,Himachal Pradesh(96),2025,Not Available,"1,360"
15,STRONG HYBRID EV,Himachal Pradesh(96),2025,Not Available,0
1,CNG ONLY,Himachal Pradesh(96),2025,TREM STAGE IV,0
2,DIESEL,Himachal Pradesh(96),2025,TREM STAGE IV,16
3,DIESEL/HYBRID,Himachal Pradesh(96),2025,TREM STAGE IV,0
4,ELECTRIC(BOV),Himachal Pradesh(96),2025,TREM STAGE IV,0
5,ETHANOL,Himachal Pradesh(96),2025,TREM STAGE IV,0
6,PETROL,Himachal Pradesh(96),2025,TREM STAGE IV,0
7,PETROL/CNG,Himachal Pradesh(96),2025,TREM STAGE IV,0
8,PETROL(E20)/CNG,Himachal Pradesh(96),2025,TREM STAGE IV,0
9,PETROL(E20)/HYBRID,Himachal Pradesh(96),2025,TREM STAGE IV,0
10,PETROL/ETHANOL,Himachal Pradesh(96),2025,TREM STAGE IV,0
11,PETROL/HYBRID,Himachal Pradesh(96),2025,TREM STAGE IV,0
12,PETROL/METHANOL,Himachal Pradesh(96),2025,TREM STAGE IV,0
13,PLUG-IN HYBRID EV,Himachal Pradesh(96),2025,TREM STAGE IV,0
14,PURE EV,Himachal Pradesh(96),2025,TREM STAGE IV,0
15,STRONG HYBRID EV,Himachal Pradesh(96),2025,TREM STAGE IV,0
1,CNG ONLY,Himachal Pradesh(96),2025,TREM STAGE V,0
2,DIESEL,Himachal Pradesh(96),2025,TREM STAGE V,0
3,DIESEL/HYBRID,Himachal Pradesh(96),2025,TREM STAGE V,0
4,ELECTRIC(BOV),Himachal Pradesh(96),2025,TREM STAGE V,0
5,ETHANOL,Himachal Pradesh(96),2025,TREM STAGE V,0
6,PETROL,Himachal Pradesh(96),2025,TREM STAGE V,0
7,PETROL/CNG,Himachal Pradesh(96),2025,TREM STAGE V,0
8,PETROL(E20)/CNG,Himachal Pradesh(96),2025,TREM STAGE V,0
9,PETROL(E20)/HYBRID,Himachal Pradesh(96),2025,TREM STAGE V,0
10,PETROL/ETHANOL,Himachal Pradesh(96),2025,TREM STAGE V,0
11,PETROL/HYBRID,Himachal Pradesh(96),2025,TREM STAGE V,0
12,PETROL/METHANOL,Himachal Pradesh(96),2025,TREM STAGE V,0
13,PLUG-IN HYBRID EV,Himachal Pradesh(96),2025,TREM STAGE V,0
14,PURE EV,Himachal Pradesh(96),2025,TREM STAGE V,0
15,STRONG HYBRID EV,Himachal Pradesh(96),2025,TREM STAGE V,0
1,CNG ONLY,Haryana(104),2025,BS I,0
2,DIESEL,Haryana(104),2025,BS I,0
3,DIESEL/HYBRID,Haryana(104),2025,BS I,0
4,ELECTRIC(BOV),Haryana(104),2025,BS I,0
5,ETHANOL,Haryana(104),2025,BS I,0
6,LNG,Haryana(104),2025,BS I,0
7,NOT APPLICABLE,Haryana(104),2025,BS I,0
8,PETROL,Haryana(104),2025,BS I,0
9,PETROL/CNG,Haryana(104),2025,BS I,0
10,PETROL(E20)/CNG,Haryana(104),2025,BS I,0
11,PETROL(E20)/HYBRID,Haryana(104),2025,BS I,0
12,PETROL(E20)/HYBRID/CNG,Haryana(104),2025,BS I,0
13,PETROL(E20)/LPG,Haryana(104),2025,BS I,0
14,PETROL/ETHANOL,Haryana(104),2025,BS I,0
15,PETROL/HYBRID,Haryana(104),2025,BS I,0
16,PETROL/HYBRID/CNG,Haryana(104),2025,BS I,0
17,PETROL/LPG,Haryana(104),2025,BS I,0
18,PLUG-IN HYBRID EV,Haryana(104),2025,BS I,0
19,PURE EV,Haryana(104),2025,BS I,0
20,STRONG HYBRID EV,Haryana(104),2025,BS I,0
1,CNG ONLY,Haryana(104),2025,BS II,0
2,DIESEL,Haryana(104),2025,BS II,0
3,DIESEL/HYBRID,Haryana(104),2025,BS II,0
4,ELECTRIC(BOV),Haryana(104),2025,BS II,0
5,ETHANOL,Haryana(104),2025,BS II,0
6,LNG,Haryana(104),2025,BS II,0
7,NOT APPLICABLE,Haryana(104),2025,BS II,0
8,PETROL,Haryana(104),2025,BS II,1
9,PETROL/CNG,Haryana(104),2025,BS II,0
10,PETROL(E20)/CNG,Haryana(104),2025,BS II,0
11,PETROL(E20)/HYBRID,Haryana(104),2025,BS II,0
12,PETROL(E20)/HYBRID/CNG,Haryana(104),2025,BS II,0
13,PETROL(E20)/LPG,Haryana(104),2025,BS II,0
14,PETROL/ETHANOL,Haryana(104),2025,BS II,0
15,PETROL/HYBRID,Haryana(104),2025,BS II,0
16,PETROL/HYBRID/CNG,Haryana(104),2025,BS II,0
17,PETROL/LPG,Haryana(104),2025,BS II,0
18,PLUG-IN HYBRID EV,Haryana(104),2025,BS II,0
19,PURE EV,Haryana(104),2025,BS II,0
20,STRONG HYBRID EV,Haryana(104),2025,BS II,0
1,CNG ONLY,Haryana(104),2025,BS III,0
2,DIESEL,Haryana(104),2025,BS III,3
3,DIESEL/HYBRID,Haryana(104),2025,BS III,0
4,ELECTRIC(BOV),Haryana(104),2025,BS III,0
5,ETHANOL,Haryana(104),2025,BS III,0
6,LNG,Haryana(104),2025,BS III,0
7,NOT APPLICABLE,Haryana(104),2025,BS III,0
8,PETROL,Haryana(104),2025,BS III,0
9,PETROL/CNG,Haryana(104),2025,BS III,0
10,PETROL(E20)/CNG,Haryana(104),2025,BS III,0
11,PETROL(E20)/HYBRID,Haryana(104),2025,BS III,0
12,PETROL(E20)/HYBRID/CNG,Haryana(104),2025,BS III,0
13,PETROL(E20)/LPG,Haryana(104),2025,BS III,0
14,PETROL/ETHANOL,Haryana(104),2025,BS III,0
15,PETROL/HYBRID,Haryana(104),2025,BS III,0
16,PETROL/HYBRID/CNG,Haryana(104),2025,BS III,0
17,PETROL/LPG,Haryana(104),2025,BS III,0
18,PLUG-IN HYBRID EV,Haryana(104),2025,BS III,0
19,PURE EV,Haryana(104),2025,BS III,0
20,STRONG HYBRID EV,Haryana(104),2025,BS III,0
1,CNG ONLY,Haryana(104),2025,BS III (CEV),0
2,DIESEL,Haryana(104),2025,BS III (CEV),936
3,DIESEL/HYBRID,Haryana(104),2025,BS III (CEV),0
4,ELECTRIC(BOV),Haryana(104),2025,BS III (CEV),0
5,ETHANOL,Haryana(104),2025,BS III (CEV),0
6,LNG,Haryana(104),2025,BS III (CEV),0
7,NOT APPLICABLE,Haryana(104),2025,BS III (CEV),0
8,PETROL,Haryana(104),2025,BS III (CEV),0
9,PETROL/CNG,Haryana(104),2025,BS III (CEV),0
10,PETROL(E20)/CNG,Haryana(104),2025,BS III (CEV),0
11,PETROL(E20)/HYBRID,Haryana(104),2025,BS III (CEV),0
12,PETROL(E20)/HYBRID/CNG,Haryana(104),2025,BS III (CEV),0
13,PETROL(E20)/LPG,Haryana(104),2025,BS III (CEV),0
14,PETROL/ETHANOL,Haryana(104),2025,BS III (CEV),0
15,PETROL/HYBRID,Haryana(104),2025,BS III (CEV),0
16,PETROL/HYBRID/CNG,Haryana(104),2025,BS III (CEV),0
17,PETROL/LPG,Haryana(104),2025,BS III (CEV),0
18,PLUG-IN HYBRID EV,Haryana(104),2025,BS III (CEV),0
19,PURE EV,Haryana(104),2025,BS III (CEV),0
20,STRONG HYBRID EV,Haryana(104),2025,BS III (CEV),0
1,CNG ONLY,Haryana(104),2025,BS III/IV,0
2,DIESEL,Haryana(104),2025,BS III/IV,0
3,DIESEL/HYBRID,Haryana(104),2025,BS III/IV,0
4,ELECTRIC(BOV),Haryana(104),2025,BS III/IV,0
5,ETHANOL,Haryana(104),2025,BS III/IV,0
6,LNG,Haryana(104),2025,BS III/IV,0
7,NOT APPLICABLE,Haryana(104),2025,BS III/IV,0
8,PETROL,Haryana(104),2025,BS III/IV,0
9,PETROL/CNG,Haryana(104),2025,BS III/IV,0
10,PETROL(E20)/CNG,Haryana(104),2025,BS III/IV,0
11,PETROL(E20)/HYBRID,Haryana(104),2025,BS III/IV,0
12,PETROL(E20)/HYBRID/CNG,Haryana(104),2025,BS III/IV,0
13,PETROL(E20)/LPG,Haryana(104),2025,BS III/IV,0
14,PETROL/ETHANOL,Haryana(104),2025,BS III/IV,0
15,PETROL/HYBRID,Haryana(104),2025,BS III/IV,0
16,PETROL/HYBRID/CNG,Haryana(104),2025,BS III/IV,0
17,PETROL/LPG,Haryana(104),2025,BS III/IV,0
18,PLUG-IN HYBRID EV,Haryana(104),2025,BS III/IV,0
19,PURE EV,Haryana(104),2025,BS III/IV,0
20,STRONG HYBRID EV,Haryana(104),2025,BS III/IV,0
1,CNG ONLY,Haryana(104),2025,BS IV,1
2,DIESEL,Haryana(104),2025,BS IV,4
3,DIESEL/HYBRID,Haryana(104),2025,BS IV,1
4,ELECTRIC(BOV),Haryana(104),2025,BS IV,0
5,ETHANOL,Haryana(104),2025,BS IV,0
6,LNG,Haryana(104),2025,BS IV,0
7,NOT APPLICABLE,Haryana(104),2025,BS IV,0
8,PETROL,Haryana(104),2025,BS IV,22
9,PETROL/CNG,Haryana(104),2025,BS IV,1
10,PETROL(E20)/CNG,Haryana(104),2025,BS IV,0
11,PETROL(E20)/HYBRID,Haryana(104),2025,BS IV,0
12,PETROL(E20)/HYBRID/CNG,Haryana(104),2025,BS IV,0
13,PETROL(E20)/LPG,Haryana(104),2025,BS IV,0
14,PETROL/ETHANOL,Haryana(104),2025,BS IV,0
15,PETROL/HYBRID,Haryana(104),2025,BS IV,1
16,PETROL/HYBRID/CNG,Haryana(104),2025,BS IV,0
17,PETROL/LPG,Haryana(104),2025,BS IV,0
18,PLUG-IN HYBRID EV,Haryana(104),2025,BS IV,0
19,PURE EV,Haryana(104),2025,BS IV,0
20,STRONG HYBRID EV,Haryana(104),2025,BS IV,0
1,CNG ONLY,Haryana(104),2025,BS IV/VI,0
2,DIESEL,Haryana(104),2025,BS IV/VI,0
3,DIESEL/HYBRID,Haryana(104),2025,BS IV/VI,0
4,ELECTRIC(BOV),Haryana(104),2025,BS IV/VI,0
5,ETHANOL,Haryana(104),2025,BS IV/VI,0
6,LNG,Haryana(104),2025,BS IV/VI,0
7,NOT APPLICABLE,Haryana(104),2025,BS IV/VI,0
8,PETROL,Haryana(104),2025,BS IV/VI,0
9,PETROL/CNG,Haryana(104),2025,BS IV/VI,0
10,PETROL(E20)/CNG,Haryana(104),2025,BS IV/VI,0
11,PETROL(E20)/HYBRID,Haryana(104),2025,BS IV/VI,0
12,PETROL(E20)/HYBRID/CNG,Haryana(104),2025,BS IV/VI,0
13,PETROL(E20)/LPG,Haryana(104),2025,BS IV/VI,0
14,PETROL/ETHANOL,Haryana(104),2025,BS IV/VI,0
15,PETROL/HYBRID,Haryana(104),2025,BS IV/VI,0
16,PETROL/HYBRID/CNG,Haryana(104),2025,BS IV/VI,0
17,PETROL/LPG,Haryana(104),2025,BS IV/VI,0
18,PLUG-IN HYBRID EV,Haryana(104),2025,BS IV/VI,0
19,PURE EV,Haryana(104),2025,BS IV/VI,0
20,STRONG HYBRID EV,Haryana(104),2025,BS IV/VI,0
1,CNG ONLY,Haryana(104),2025,BS VI,"35,557"
2,DIESEL,Haryana(104),2025,BS VI,"1,06,648"
3,DIESEL/HYBRID,Haryana(104),2025,BS VI,464
4,ELECTRIC(BOV),Haryana(104),2025,BS VI,1
5,ETHANOL,Haryana(104),2025,BS VI,11
6,LNG,Haryana(104),2025,BS VI,16
7,NOT APPLICABLE,Haryana(104),2025,BS VI,0
8,PETROL,Haryana(104),2025,BS VI,"5,21,290"
9,PETROL/CNG,Haryana(104),2025,BS VI,"95,111"
10,PETROL(E20)/CNG,Haryana(104),2025,BS VI,"13,706"
11,PETROL(E20)/HYBRID,Haryana(104),2025,BS VI,"2,232"
12,PETROL(E20)/HYBRID/CNG,Haryana(104),2025,BS VI,3
13,PETROL(E20)/LPG,Haryana(104),2025,BS VI,8
14,PETROL/ETHANOL,Haryana(104),2025,BS VI,"1,92,236"
15,PETROL/HYBRID,Haryana(104),2025,BS VI,"14,070"
16,PETROL/HYBRID/CNG,Haryana(104),2025,BS VI,78
17,PETROL/LPG,Haryana(104),2025,BS VI,51
18,PLUG-IN HYBRID EV,Haryana(104),2025,BS VI,14
19,PURE EV,Haryana(104),2025,BS VI,1
20,STRONG HYBRID EV,Haryana(104),2025,BS VI,"9,357"
1,CNG ONLY,Haryana(104),2025,B(T)S III,0
2,DIESEL,Haryana(104),2025,B(T)S III,3
3,DIESEL/HYBRID,Haryana(104),2025,B(T)S III,0
4,ELECTRIC(BOV),Haryana(104),2025,B(T)S III,0
5,ETHANOL,Haryana(104),2025,B(T)S III,0
6,LNG,Haryana(104),2025,B(T)S III,0
7,NOT APPLICABLE,Haryana(104),2025,B(T)S III,0
8,PETROL,Haryana(104),2025,B(T)S III,1
9,PETROL/CNG,Haryana(104),2025,B(T)S III,0
10,PETROL(E20)/CNG,Haryana(104),2025,B(T)S III,0
11,PETROL(E20)/HYBRID,Haryana(104),2025,B(T)S III,0
12,PETROL(E20)/HYBRID/CNG,Haryana(104),2025,B(T)S III,0
13,PETROL(E20)/LPG,Haryana(104),2025,B(T)S III,0
14,PETROL/ETHANOL,Haryana(104),2025,B(T)S III,0
15,PETROL/HYBRID,Haryana(104),2025,B(T)S III,0
16,PETROL/HYBRID/CNG,Haryana(104),2025,B(T)S III,0
17,PETROL/LPG,Haryana(104),2025,B(T)S III,0
18,PLUG-IN HYBRID EV,Haryana(104),2025,B(T)S III,0
19,PURE EV,Haryana(104),2025,B(T)S III,0
20,STRONG HYBRID EV,Haryana(104),2025,B(T)S III,0
1,CNG ONLY,Haryana(104),2025,B(T)S III A,0
2,DIESEL,Haryana(104),2025,B(T)S III A,"45,829"
3,DIESEL/HYBRID,Haryana(104),2025,B(T)S III A,0
4,ELECTRIC(BOV),Haryana(104),2025,B(T)S III A,0
5,ETHANOL,Haryana(104),2025,B(T)S III A,0
6,LNG,Haryana(104),2025,B(T)S III A,0
7,NOT APPLICABLE,Haryana(104),2025,B(T)S III A,0
8,PETROL,Haryana(104),2025,B(T)S III A,0
9,PETROL/CNG,Haryana(104),2025,B(T)S III A,0
10,PETROL(E20)/CNG,Haryana(104),2025,B(T)S III A,0
11,PETROL(E20)/HYBRID,Haryana(104),2025,B(T)S III A,0
12,PETROL(E20)/HYBRID/CNG,Haryana(104),2025,B(T)S III A,0
13,PETROL(E20)/LPG,Haryana(104),2025,B(T)S III A,0
14,PETROL/ETHANOL,Haryana(104),2025,B(T)S III A,0
15,PETROL/HYBRID,Haryana(104),2025,B(T)S III A,0
16,PETROL/HYBRID/CNG,Haryana(104),2025,B(T)S III A,0
17,PETROL/LPG,Haryana(104),2025,B(T)S III A,0
18,PLUG-IN HYBRID EV,Haryana(104),2025,B(T)S III A,0
19,PURE EV,Haryana(104),2025,B(T)S III A,0
20,STRONG HYBRID EV,Haryana(104),2025,B(T)S III A,0
1,CNG ONLY,Haryana(104),2025,B(T)S III B,0
2,DIESEL,Haryana(104),2025,B(T)S III B,117
3,DIESEL/HYBRID,Haryana(104),2025,B(T)S III B,0
4,ELECTRIC(BOV),Haryana(104),2025,B(T)S III B,0
5,ETHANOL,Haryana(104),2025,B(T)S III B,0
6,LNG,Haryana(104),2025,B(T)S III B,0
7,NOT APPLICABLE,Haryana(104),2025,B(T)S III B,0
8,PETROL,Haryana(104),2025,B(T)S III B,0
9,PETROL/CNG,Haryana(104),2025,B(T)S III B,0
10,PETROL(E20)/CNG,Haryana(104),2025,B(T)S III B,0
11,PETROL(E20)/HYBRID,Haryana(104),2025,B(T)S III B,0
12,PETROL(E20)/HYBRID/CNG,Haryana(104),2025,B(T)S III B,0
13,PETROL(E20)/LPG,Haryana(104),2025,B(T)S III B,0
14,PETROL/ETHANOL,Haryana(104),2025,B(T)S III B,0
15,PETROL/HYBRID,Haryana(104),2025,B(T)S III B,0
16,PETROL/HYBRID/CNG,Haryana(104),2025,B(T)S III B,0
17,PETROL/LPG,Haryana(104),2025,B(T)S III B,0
18,PLUG-IN HYBRID EV,Haryana(104),2025,B(T)S III B,0
19,PURE EV,Haryana(104),2025,B(T)S III B,0
20,STRONG HYBRID EV,Haryana(104),2025,B(T)S III B,0
1,CNG ONLY,Haryana(104),2025,CEV STAGE IV,0
2,DIESEL,Haryana(104),2025,CEV STAGE IV,818
3,DIESEL/HYBRID,Haryana(104),2025,CEV STAGE IV,0
4,ELECTRIC(BOV),Haryana(104),2025,CEV STAGE IV,0
5,ETHANOL,Haryana(104),2025,CEV STAGE IV,0
6,LNG,Haryana(104),2025,CEV STAGE IV,0
7,NOT APPLICABLE,Haryana(104),2025,CEV STAGE IV,0
8,PETROL,Haryana(104),2025,CEV STAGE IV,0
9,PETROL/CNG,Haryana(104),2025,CEV STAGE IV,0
10,PETROL(E20)/CNG,Haryana(104),2025,CEV STAGE IV,0
11,PETROL(E20)/HYBRID,Haryana(104),2025,CEV STAGE IV,0
12,PETROL(E20)/HYBRID/CNG,Haryana(104),2025,CEV STAGE IV,0
13,PETROL(E20)/LPG,Haryana(104),2025,CEV STAGE IV,0
14,PETROL/ETHANOL,Haryana(104),2025,CEV STAGE IV,0
15,PETROL/HYBRID,Haryana(104),2025,CEV STAGE IV,0
16,PETROL/HYBRID/CNG,Haryana(104),2025,CEV STAGE IV,0
17,PETROL/LPG,Haryana(104),2025,CEV STAGE IV,0
18,PLUG-IN HYBRID EV,Haryana(104),2025,CEV STAGE IV,0
19,PURE EV,Haryana(104),2025,CEV STAGE IV,0
20,STRONG HYBRID EV,Haryana(104),2025,CEV STAGE IV,0
1,CNG ONLY,Haryana(104),2025,CEV STAGE V,0
2,DIESEL,Haryana(104),2025,CEV STAGE V,"2,117"
3,DIESEL/HYBRID,Haryana(104),2025,CEV STAGE V,0
4,ELECTRIC(BOV),Haryana(104),2025,CEV STAGE V,0
5,ETHANOL,Haryana(104),2025,CEV STAGE V,0
6,LNG,Haryana(104),2025,CEV STAGE V,0
7,NOT APPLICABLE,Haryana(104),2025,CEV STAGE V,0
8,PETROL,Haryana(104),2025,CEV STAGE V,0
9,PETROL/CNG,Haryana(104),2025,CEV STAGE V,0
10,PETROL(E20)/CNG,Haryana(104),2025,CEV STAGE V,0
11,PETROL(E20)/HYBRID,Haryana(104),2025,CEV STAGE V,0
12,PETROL(E20)/HYBRID/CNG,Haryana(104),2025,CEV STAGE V,0
13,PETROL(E20)/LPG,Haryana(104),2025,CEV STAGE V,0
14,PETROL/ETHANOL,Haryana(104),2025,CEV STAGE V,0
15,PETROL/HYBRID,Haryana(104),2025,CEV STAGE V,0
16,PETROL/HYBRID/CNG,Haryana(104),2025,CEV STAGE V,0
17,PETROL/LPG,Haryana(104),2025,CEV STAGE V,0
18,PLUG-IN HYBRID EV,Haryana(104),2025,CEV STAGE V,0
19,PURE EV,Haryana(104),2025,CEV STAGE V,0
20,STRONG HYBRID EV,Haryana(104),2025,CEV STAGE V,0
1,CNG ONLY,Haryana(104),2025,EURO 1,0
2,DIESEL,Haryana(104),2025,EURO 1,0
3,DIESEL/HYBRID,Haryana(104),2025,EURO 1,0
4,ELECTRIC(BOV),Haryana(104),2025,EURO 1,0
5,ETHANOL,Haryana(104),2025,EURO 1,0
6,LNG,Haryana(104),2025,EURO 1,0
7,NOT APPLICABLE,Haryana(104),2025,EURO 1,0
8,PETROL,Haryana(104),2025,EURO 1,0
9,PETROL/CNG,Haryana(104),2025,EURO 1,0
10,PETROL(E20)/CNG,Haryana(104),2025,EURO 1,0
11,PETROL(E20)/HYBRID,Haryana(104),2025,EURO 1,0
12,PETROL(E20)/HYBRID/CNG,Haryana(104),2025,EURO 1,0
13,PETROL(E20)/LPG,Haryana(104),2025,EURO 1,0
14,PETROL/ETHANOL,Haryana(104),2025,EURO 1,0
15,PETROL/HYBRID,Haryana(104),2025,EURO 1,0
16,PETROL/HYBRID/CNG,Haryana(104),2025,EURO 1,0
17,PETROL/LPG,Haryana(104),2025,EURO 1,0
18,PLUG-IN HYBRID EV,Haryana(104),2025,EURO 1,0
19,PURE EV,Haryana(104),2025,EURO 1,0
20,STRONG HYBRID EV,Haryana(104),2025,EURO 1,0
1,CNG ONLY,Haryana(104),2025,EURO 2,0
2,DIESEL,Haryana(104),2025,EURO 2,0
3,DIESEL/HYBRID,Haryana(104),2025,EURO 2,0
4,ELECTRIC(BOV),Haryana(104),2025,EURO 2,0
5,ETHANOL,Haryana(104),2025,EURO 2,0
6,LNG,Haryana(104),2025,EURO 2,0
7,NOT APPLICABLE,Haryana(104),2025,EURO 2,0
8,PETROL,Haryana(104),2025,EURO 2,0
9,PETROL/CNG,Haryana(104),2025,EURO 2,0
10,PETROL(E20)/CNG,Haryana(104),2025,EURO 2,0
11,PETROL(E20)/HYBRID,Haryana(104),2025,EURO 2,0
12,PETROL(E20)/HYBRID/CNG,Haryana(104),2025,EURO 2,0
13,PETROL(E20)/LPG,Haryana(104),2025,EURO 2,0
14,PETROL/ETHANOL,Haryana(104),2025,EURO 2,0
15,PETROL/HYBRID,Haryana(104),2025,EURO 2,0
16,PETROL/HYBRID/CNG,Haryana(104),2025,EURO 2,0
17,PETROL/LPG,Haryana(104),2025,EURO 2,0
18,PLUG-IN HYBRID EV,Haryana(104),2025,EURO 2,0
19,PURE EV,Haryana(104),2025,EURO 2,0
20,STRONG HYBRID EV,Haryana(104),2025,EURO 2,0
1,CNG ONLY,Haryana(104),2025,EURO 3,0
2,DIESEL,Haryana(104),2025,EURO 3,0
3,DIESEL/HYBRID,Haryana(104),2025,EURO 3,0
4,ELECTRIC(BOV),Haryana(104),2025,EURO 3,0
5,ETHANOL,Haryana(104),2025,EURO 3,0
6,LNG,Haryana(104),2025,EURO 3,0
7,NOT APPLICABLE,Haryana(104),2025,EURO 3,0
8,PETROL,Haryana(104),2025,EURO 3,0
9,PETROL/CNG,Haryana(104),2025,EURO 3,0
10,PETROL(E20)/CNG,Haryana(104),2025,EURO 3,0
11,PETROL(E20)/HYBRID,Haryana(104),2025,EURO 3,0
12,PETROL(E20)/HYBRID/CNG,Haryana(104),2025,EURO 3,0
13,PETROL(E20)/LPG,Haryana(104),2025,EURO 3,0
14,PETROL/ETHANOL,Haryana(104),2025,EURO 3,0
15,PETROL/HYBRID,Haryana(104),2025,EURO 3,0
16,PETROL/HYBRID/CNG,Haryana(104),2025,EURO 3,0
