S No,Fuel,State,Year,Norms,Value
10,LPG ONLY,All Vahan4 Running States (35/36),2025,BS IV,0
11,METHANOL,All Vahan4 Running States (35/36),2025,BS IV,0
12,NOT APPLICABLE,All Vahan4 Running States (35/36),2025,BS IV,0
13,PETROL,All Vahan4 Running States (35/36),2025,BS IV,966
14,PETROL/CNG,All Vahan4 Running States (35/36),2025,BS IV,6
15,PETROL(E20)/CNG,All Vahan4 Running States (35/36),2025,BS IV,0
16,PETROL(E20)/HYBRID,All Vahan4 Running States (35/36),2025,BS IV,0
17,PETROL(E20)/HYBRID/CNG,All Vahan4 Running States (35/36),2025,BS IV,0
18,PETROL(E20)/LPG,All Vahan4 Running States (35/36),2025,BS IV,0
19,PETROL/ETHANOL,All Vahan4 Running States (35/36),2025,BS IV,1
20,PETROL/HYBRID,All Vahan4 Running States (35/36),2025,BS IV,3
21,PETROL/HYBRID/CNG,All Vahan4 Running States (35/36),2025,BS IV,0
22,PETROL/LPG,All Vahan4 Running States (35/36),2025,BS IV,1
23,PETROL/METHANOL,All Vahan4 Running States (35/36),2025,BS IV,0
24,PLUG-IN HYBRID EV,All Vahan4 Running States (35/36),2025,BS IV,0
25,PURE EV,All Vahan4 Running States (35/36),2025,BS IV,0
26,STRONG HYBRID EV,All Vahan4 Running States (35/36),2025,BS IV,0
1,CNG ONLY,All Vahan4 Running States (35/36),2025,BS IV/VI,0
2,DIESEL,All Vahan4 Running States (35/36),2025,BS IV/VI,0
3,DIESEL/HYBRID,All Vahan4 Running States (35/36),2025,BS IV/VI,0
4,DUAL DIESEL/CNG,All Vahan4 Running States (35/36),2025,BS IV/VI,0
5,DUAL DIESEL/LNG,All Vahan4 Running States (35/36),2025,BS IV/VI,0
6,ELECTRIC(BOV),All Vahan4 Running States (35/36),2025,BS IV/VI,0
7,ETHANOL,All Vahan4 Running States (35/36),2025,BS IV/VI,0
8,FUEL CELL HYDROGEN,All Vahan4 Running States (35/36),2025,BS IV/VI,0
9,LNG,All Vahan4 Running States (35/36),2025,BS IV/VI,0
10,LPG ONLY,All Vahan4 Running States (35/36),2025,BS IV/VI,0
11,METHANOL,All Vahan4 Running States (35/36),2025,BS IV/VI,0
12,NOT APPLICABLE,All Vahan4 Running States (35/36),2025,BS IV/VI,0
13,PETROL,All Vahan4 Running States (35/36),2025,BS IV/VI,0
14,PETROL/CNG,All Vahan4 Running States (35/36),2025,BS IV/VI,0
15,PETROL(E20)/CNG,All Vahan4 Running States (35/36),2025,BS IV/VI,0
16,PETROL(E20)/HYBRID,All Vahan4 Running States (35/36),2025,BS IV/VI,0
17,PETROL(E20)/HYBRID/CNG,All Vahan4 Running States (35/36),2025,BS IV/VI,0
18,PETROL(E20)/LPG,All Vahan4 Running States (35/36),2025,BS IV/VI,0
19,PETROL/ETHANOL,All Vahan4 Running States (35/36),2025,BS IV/VI,0
20,PETROL/HYBRID,All Vahan4 Running States (35/36),2025,BS IV/VI,0
21,PETROL/HYBRID/CNG,All Vahan4 Running States (35/36),2025,BS IV/VI,0
22,PETROL/LPG,All Vahan4 Running States (35/36),2025,BS IV/VI,0
23,PETROL/METHANOL,All Vahan4 Running States (35/36),2025,BS IV/VI,0
24,PLUG-IN HYBRID EV,All Vahan4 Running States (35/36),2025,BS IV/VI,0
25,PURE EV,All Vahan4 Running States (35/36),2025,BS IV/VI,0
26,STRONG HYBRID EV,All Vahan4 Running States (35/36),2025,BS IV/VI,0
1,CNG ONLY,All Vahan4 Running States (35/36),2025,BS VI,"4,79,565"
2,DIESEL,All Vahan4 Running States (35/36),2025,BS VI,"17,94,519"
3,DIESEL/HYBRID,All Vahan4 Running States (35/36),2025,BS VI,"8,698"
4,DUAL DIESEL/CNG,All Vahan4 Running States (35/36),2025,BS VI,1
5,DUAL DIESEL/LNG,All Vahan4 Running States (35/36),2025,BS VI,39
6,ELECTRIC(BOV),All Vahan4 Running States (35/36),2025,BS VI,23
7,ETHANOL,All Vahan4 Running States (35/36),2025,BS VI,"1,292"
8,FUEL CELL HYDROGEN,All Vahan4 Running States (35/36),2025,BS VI,0
9,LNG,All Vahan4 Running States (35/36),2025,BS VI,608
10,LPG ONLY,All Vahan4 Running States (35/36),2025,BS VI,"33,642"
11,METHANOL,All Vahan4 Running States (35/36),2025,BS VI,1
12,NOT APPLICABLE,All Vahan4 Running States (35/36),2025,BS VI,22
13,PETROL,All Vahan4 Running States (35/36),2025,BS VI,"1,51,67,860"
14,PETROL/CNG,All Vahan4 Running States (35/36),2025,BS VI,"8,42,583"
15,PETROL(E20)/CNG,All Vahan4 Running States (35/36),2025,BS VI,"1,09,184"
16,PETROL(E20)/HYBRID,All Vahan4 Running States (35/36),2025,BS VI,"36,273"
17,PETROL(E20)/HYBRID/CNG,All Vahan4 Running States (35/36),2025,BS VI,21
18,PETROL(E20)/LPG,All Vahan4 Running States (35/36),2025,BS VI,410
19,PETROL/ETHANOL,All Vahan4 Running States (35/36),2025,BS VI,"60,33,673"
20,PETROL/HYBRID,All Vahan4 Running States (35/36),2025,BS VI,"2,15,484"
21,PETROL/HYBRID/CNG,All Vahan4 Running States (35/36),2025,BS VI,268
22,PETROL/LPG,All Vahan4 Running States (35/36),2025,BS VI,"9,380"
23,PETROL/METHANOL,All Vahan4 Running States (35/36),2025,BS VI,2
24,PLUG-IN HYBRID EV,All Vahan4 Running States (35/36),2025,BS VI,71
25,PURE EV,All Vahan4 Running States (35/36),2025,BS VI,2
26,STRONG HYBRID EV,All Vahan4 Running States (35/36),2025,BS VI,"1,08,358"
1,CNG ONLY,All Vahan4 Running States (35/36),2025,B(T)S III,0
2,DIESEL,All Vahan4 Running States (35/36),2025,B(T)S III,56
3,DIESEL/HYBRID,All Vahan4 Running States (35/36),2025,B(T)S III,0
4,DUAL DIESEL/CNG,All Vahan4 Running States (35/36),2025,B(T)S III,0
