state_code,state_name,vehicle_group,vehicle_class,year,count
-1,All India,GOODS VEHICLES,OMNI BUS (PRIVATE USE),TOTAL,2019
-1,All India,GOODS VEHICLES,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),4WIC,0
-1,All India,GOODS VEHICLES,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),LMV,296
-1,All India,GOODS VEHICLES,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),MMV,3
-1,All India,GOODS VEHICLES,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),HMV,1
-1,All India,GOODS VEHICLES,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),TOTAL,300
-1,All India,GOODS VEHICLES,QUADRICYCLE (PRIVATE),4WIC,0
-1,All India,GOODS VEHICLES,QUADRICYCLE (PRIVATE),LMV,2
-1,All India,GOODS VEHICLES,QUADRICYCLE (PRIVATE),MMV,0
-1,All India,GOODS VEHICLES,QUADRICYCLE (PRIVATE),HMV,0
-1,All India,GOODS VEHICLES,QUADRICYCLE (PRIVATE),TOTAL,2
-1,All India,PUBLIC SERVICE VEHICLE,ADAPTED VEHICLE,4WIC,465
-1,All India,PUBLIC SERVICE VEHICLE,ADAPTED VEHICLE,LMV,0
-1,All India,PUBLIC SERVICE VEHICLE,ADAPTED VEHICLE,MMV,0
-1,All India,PUBLIC SERVICE VEHICLE,ADAPTED VEHICLE,HMV,0
-1,All India,PUBLIC SERVICE VEHICLE,ADAPTED VEHICLE,TOTAL,465
-1,All India,PUBLIC SERVICE VEHICLE,MOTOR CAR,4WIC,0
-1,All India,PUBLIC SERVICE VEHICLE,MOTOR CAR,LMV,728152
-1,All India,PUBLIC SERVICE VEHICLE,MOTOR CAR,MMV,0
-1,All India,PUBLIC SERVICE VEHICLE,MOTOR CAR,HMV,0
-1,All India,PUBLIC SERVICE VEHICLE,MOTOR CAR,TOTAL,728152
-1,All India,PUBLIC SERVICE VEHICLE,OMNI BUS (PRIVATE USE),4WIC,0
-1,All India,PUBLIC SERVICE VEHICLE,OMNI BUS (PRIVATE USE),LMV,1893
-1,All India,PUBLIC SERVICE VEHICLE,OMNI BUS (PRIVATE USE),MMV,6
-1,All India,PUBLIC SERVICE VEHICLE,OMNI BUS (PRIVATE USE),HMV,120
-1,All India,PUBLIC SERVICE VEHICLE,OMNI BUS (PRIVATE USE),TOTAL,2019
-1,All India,PUBLIC SERVICE VEHICLE,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),4WIC,0
-1,All India,PUBLIC SERVICE VEHICLE,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),LMV,296
-1,All India,PUBLIC SERVICE VEHICLE,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),MMV,3
-1,All India,PUBLIC SERVICE VEHICLE,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),HMV,1
-1,All India,PUBLIC SERVICE VEHICLE,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),TOTAL,300
-1,All India,PUBLIC SERVICE VEHICLE,QUADRICYCLE (PRIVATE),4WIC,0
-1,All India,PUBLIC SERVICE VEHICLE,QUADRICYCLE (PRIVATE),LMV,2
-1,All India,PUBLIC SERVICE VEHICLE,QUADRICYCLE (PRIVATE),MMV,0
-1,All India,PUBLIC SERVICE VEHICLE,QUADRICYCLE (PRIVATE),HMV,0
-1,All India,PUBLIC SERVICE VEHICLE,QUADRICYCLE (PRIVATE),TOTAL,2
