S No,Vehicle Class,State,Year,Month,Value
64,TREE TRIMMING VEHICLE,All Vahan4 Running States (35/36),2026,FEB,1
65,VEHICLE FITTED WITH COMPRESSOR,All Vahan4 Running States (35/36),2026,FEB,4
66,VEHICLE FITTED WITH GENERATOR,All Vahan4 Running States (35/36),2026,FEB,7
67,VEHICLE FITTED WITH RIG,All Vahan4 Running States (35/36),2026,FEB,27
1,AMBULANCE,Andaman & Nicobar Island(3),2026,JAN,0
2,BUS,Andaman & Nicobar Island(3),2026,JAN,1
3,CONSTRUCTION EQUIPMENT VEHICLE,Andaman & Nicobar Island(3),2026,JAN,1
4,GOODS CARRIER,Andaman & Nicobar Island(3),2026,JAN,22
5,MAXI CAB,Andaman & Nicobar Island(3),2026,JAN,2
6,M-CYCLE/SCOOTER,Andaman & Nicobar Island(3),2026,JAN,694
7,MOPED,Andaman & Nicobar Island(3),2026,JAN,5
8,MOTOR CAB,Andaman & Nicobar Island(3),2026,JAN,18
9,MOTOR CAR,Andaman & Nicobar Island(3),2026,JAN,231
10,MOTOR CYCLE/SCOOTER-USED FOR HIRE,Andaman & Nicobar Island(3),2026,JAN,30
11,OMNI BUS,Andaman & Nicobar Island(3),2026,JAN,11
12,THREE WHEELER (GOODS),Andaman & Nicobar Island(3),2026,JAN,2
13,THREE WHEELER (PASSENGER),Andaman & Nicobar Island(3),2026,JAN,48
1,AMBULANCE,Andaman & Nicobar Island(3),2026,FEB,4
2,BUS,Andaman & Nicobar Island(3),2026,FEB,2
3,CONSTRUCTION EQUIPMENT VEHICLE,Andaman & Nicobar Island(3),2026,FEB,0
4,GOODS CARRIER,Andaman & Nicobar Island(3),2026,FEB,14
5,MAXI CAB,Andaman & Nicobar Island(3),2026,FEB,1
6,M-CYCLE/SCOOTER,Andaman & Nicobar Island(3),2026,FEB,417
7,MOPED,Andaman & Nicobar Island(3),2026,FEB,1
8,MOTOR CAB,Andaman & Nicobar Island(3),2026,FEB,22
9,MOTOR CAR,Andaman & Nicobar Island(3),2026,FEB,121
10,MOTOR CYCLE/SCOOTER-USED FOR HIRE,Andaman & Nicobar Island(3),2026,FEB,20
11,OMNI BUS,Andaman & Nicobar Island(3),2026,FEB,6
12,THREE WHEELER (GOODS),Andaman & Nicobar Island(3),2026,FEB,1
13,THREE WHEELER (PASSENGER),Andaman & Nicobar Island(3),2026,FEB,28
1,ADAPTED VEHICLE,Andhra Pradesh(84),2026,JAN,10
2,AGRICULTURAL TRACTOR,Andhra Pradesh(84),2026,JAN,"1,920"
3,AMBULANCE,Andhra Pradesh(84),2026,JAN,30
4,ARTICULATED VEHICLE,Andhra Pradesh(84),2026,JAN,76
5,BUS,Andhra Pradesh(84),2026,JAN,37
6,CONSTRUCTION EQUIPMENT VEHICLE,Andhra Pradesh(84),2026,JAN,210
7,CRANE MOUNTED VEHICLE,Andhra Pradesh(84),2026,JAN,21
8,EDUCATIONAL INSTITUTION BUS,Andhra Pradesh(84),2026,JAN,10
9,E-RICKSHAW(P),Andhra Pradesh(84),2026,JAN,2
10,E-RICKSHAW WITH CART (G),Andhra Pradesh(84),2026,JAN,69
11,FIRE TENDERS,Andhra Pradesh(84),2026,JAN,2
12,FORK LIFT,Andhra Pradesh(84),2026,JAN,4
13,GOODS CARRIER,Andhra Pradesh(84),2026,JAN,"2,344"
14,HARVESTER,Andhra Pradesh(84),2026,JAN,64
15,LIBRARY VAN,Andhra Pradesh(84),2026,JAN,1
16,MAXI CAB,Andhra Pradesh(84),2026,JAN,40
17,M-CYCLE/SCOOTER,Andhra Pradesh(84),2026,JAN,"50,258"
18,M-CYCLE/SCOOTER-WITH SIDE CAR,Andhra Pradesh(84),2026,JAN,4
19,MOBILE CANTEEN,Andhra Pradesh(84),2026,JAN,1
20,MOBILE CLINIC,Andhra Pradesh(84),2026,JAN,0
21,MOPED,Andhra Pradesh(84),2026,JAN,851
22,MOTOR CAB,Andhra Pradesh(84),2026,JAN,613
23,MOTOR CAR,Andhra Pradesh(84),2026,JAN,"8,654"
24,MOTOR CYCLE/SCOOTER-USED FOR HIRE,Andhra Pradesh(84),2026,JAN,124
